NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ELK1	ETS transcription factor ELK1 [Source:HGNC Symbol;Acc:HGNC:3321]	8	1.4068164825439453	0.04396167	Yes	
row_1	LTBR	lymphotoxin beta receptor [Source:HGNC Symbol;Acc:HGNC:6718]	57	1.0480000972747803	0.075224355	Yes	
row_2	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	73	1.0053092241287231	0.1063111	Yes	
row_3	CSF2RA	colony stimulating factor 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2435]	98	0.9427409768104553	0.13511188	Yes	
row_4	FAM131A	family with sequence similarity 131 member A [Source:HGNC Symbol;Acc:HGNC:28308]	129	0.9020211696624756	0.1624199	Yes	
row_5	DTX3L	deltex E3 ubiquitin ligase 3L [Source:HGNC Symbol;Acc:HGNC:30323]	367	0.7241594195365906	0.17681578	Yes	
row_6	OSBPL6	oxysterol binding protein like 6 [Source:HGNC Symbol;Acc:HGNC:16388]	405	0.7070404291152954	0.19774415	Yes	
row_7	CHD3	chromodomain helicase DNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:1918]	465	0.6837530136108398	0.21716233	Yes	
row_8	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	471	0.6807648539543152	0.23839568	Yes	
row_9	PID1	phosphotyrosine interaction domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26084]	619	0.6317107677459717	0.25306594	Yes	
row_10	BLTP3A	bridge-like lipid transfer protein family member 3A [Source:HGNC Symbol;Acc:HGNC:21216]	811	0.579145610332489	0.2645274	Yes	
row_11	SNX27	sorting nexin 27 [Source:HGNC Symbol;Acc:HGNC:20073]	862	0.5683981776237488	0.28063586	Yes	
row_12	ABCC6	ATP binding cassette subfamily C member 6 [Source:HGNC Symbol;Acc:HGNC:57]	960	0.5471263527870178	0.29441366	Yes	
row_13	DNAH5	dynein axonemal heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:2950]	1058	0.5284522175788879	0.30760416	Yes	
row_14	SOX12	SRY-box transcription factor 12 [Source:HGNC Symbol;Acc:HGNC:11198]	1321	0.4858051538467407	0.3136199	Yes	
row_15	VASH2	vasohibin 2 [Source:HGNC Symbol;Acc:HGNC:25723]	1333	0.4842090904712677	0.32845944	Yes	
row_16	HSD11B1L	hydroxysteroid 11-beta dehydrogenase 1 like [Source:HGNC Symbol;Acc:HGNC:30419]	1532	0.45512649416923523	0.33577302	Yes	
row_17	ELOVL6	ELOVL fatty acid elongase 6 [Source:HGNC Symbol;Acc:HGNC:15829]	1869	0.4199744164943695	0.33710217	Yes	
row_18	HCFC1	host cell factor C1 [Source:HGNC Symbol;Acc:HGNC:4839]	2082	0.4017546772956848	0.34224224	Yes	
row_19	CASTOR2	cytosolic arginine sensor for mTORC1 subunit 2 [Source:HGNC Symbol;Acc:HGNC:37073]	2312	0.3813133239746094	0.34613842	Yes	
