NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MIR12121	MIR12121	Details ...	26	-0.6216916	-2.0781837	0.0	0.012292969	0.013	5289	tags=50%, list=19%, signal=61%	
MIR4776_3P	MIR4776_3P	Details ...	142	-0.4087304	-1.8764209	0.001984127	0.19260979	0.188	5289	tags=36%, list=19%, signal=44%	
MIR24_1_5P_MIR24_2_5P	MIR24_1_5P_MIR24_2_5P	Details ...	44	-0.4731101	-1.8008788	0.002105263	0.33724132	0.331	8607	tags=55%, list=30%, signal=78%	
MIR3160_3P	MIR3160_3P	Details ...	66	-0.43978092	-1.777194	0.001980198	0.3399075	0.38	2846	tags=33%, list=10%, signal=37%	
MIR10393_5P	MIR10393_5P	Details ...	142	-0.39388764	-1.7515093	0.002020202	0.36956888	0.447	7286	tags=44%, list=26%, signal=58%	
MIR3064_3P	MIR3064_3P	Details ...	156	-0.38631412	-1.7424148	0.0	0.34524512	0.47	4808	tags=31%, list=17%, signal=37%	
MIR1914_5P	MIR1914_5P	Details ...	57	-0.45933318	-1.7389013	0.0100603625	0.31036684	0.483	2737	tags=25%, list=10%, signal=27%	
MIR4715_3P	MIR4715_3P	Details ...	65	-0.3832739	-1.7180755	0.0	0.34462565	0.538	4246	tags=29%, list=15%, signal=34%	
MIR5196_3P	MIR5196_3P	Details ...	65	-0.3983514	-1.7068344	0.005964215	0.3482183	0.571	8649	tags=54%, list=30%, signal=77%	
MIR499A_3P	MIR499A_3P	Details ...	161	-0.3588044	-1.7044369	0.001996008	0.3233919	0.577	5212	tags=34%, list=18%, signal=41%	
MIR1285_5P	MIR1285_5P	Details ...	65	-0.4339937	-1.7036093	0.012024048	0.29669884	0.578	6436	tags=40%, list=23%, signal=52%	
MIR12116	MIR12116	Details ...	57	-0.47374943	-1.6996938	0.017857144	0.28559548	0.59	7334	tags=47%, list=26%, signal=64%	
MIR4452	MIR4452	Details ...	159	-0.3476989	-1.6963699	0.0	0.27514213	0.603	7877	tags=43%, list=28%, signal=59%	
MIR499B_3P	MIR499B_3P	Details ...	163	-0.35389674	-1.6942478	0.0	0.2626529	0.609	5212	tags=33%, list=18%, signal=40%	
MIR4709_5P	MIR4709_5P	Details ...	100	-0.3791838	-1.6834807	0.0038314175	0.27747777	0.633	6359	tags=36%, list=22%, signal=46%	
MIR4484	MIR4484	Details ...	33	-0.4804712	-1.6795857	0.017612524	0.2734404	0.649	5428	tags=39%, list=19%, signal=49%	
MIR4774_5P	MIR4774_5P	Details ...	92	-0.3777375	-1.6572746	0.018108651	0.33331525	0.706	3688	tags=28%, list=13%, signal=32%	
MIR1269A_MIR1269B	MIR1269A_MIR1269B	Details ...	50	-0.41676465	-1.6563684	0.020242915	0.31828544	0.708	3909	tags=36%, list=14%, signal=42%	
MIR9898	MIR9898	Details ...	55	-0.37161097	-1.6399076	0.015594542	0.36151338	0.742	2747	tags=24%, list=10%, signal=26%	
