NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MIR4507	MIR4507	Details ...	34	0.56953853	2.0344424	0.0	0.0147984	0.02	2237	tags=32%, list=8%, signal=35%	
MIR3940_5P	MIR3940_5P	Details ...	33	0.53540164	1.917649	0.0	0.04985766	0.112	2237	tags=30%, list=8%, signal=33%	
MIR6510_5P	MIR6510_5P	Details ...	81	0.4214368	1.8757368	0.0	0.06946279	0.18	2877	tags=23%, list=10%, signal=26%	
MIR7160_3P	MIR7160_3P	Details ...	29	0.52289516	1.8680434	0.0019230769	0.058165543	0.192	2397	tags=24%, list=8%, signal=26%	
MIR197_5P	MIR197_5P	Details ...	60	0.4288898	1.8549356	0.0	0.057599127	0.215	1749	tags=23%, list=6%, signal=25%	
MIR6749_3P	MIR6749_3P	Details ...	109	0.36880675	1.7642246	0.0	0.16692156	0.425	3659	tags=25%, list=13%, signal=28%	
MIR6837_5P	MIR6837_5P	Details ...	116	0.39083242	1.7215465	0.004008016	0.24666843	0.522	2627	tags=22%, list=9%, signal=24%	
MIR4685_5P	MIR4685_5P	Details ...	114	0.37565085	1.6886383	0.006024096	0.32830447	0.63	2627	tags=21%, list=9%, signal=23%	
MIR6887_3P	MIR6887_3P	Details ...	175	0.3417032	1.673452	0.003921569	0.3480166	0.669	4160	tags=25%, list=15%, signal=29%	
MIR1291	MIR1291	Details ...	107	0.36037236	1.6598641	0.008163265	0.36506212	0.697	4594	tags=28%, list=16%, signal=33%	
MIR3132	MIR3132	Details ...	66	0.36888736	1.6429164	0.001968504	0.3997678	0.74	1749	tags=21%, list=6%, signal=23%	
MIR1227_5P	MIR1227_5P	Details ...	99	0.3851293	1.6360947	0.016494846	0.39557406	0.752	2624	tags=22%, list=9%, signal=24%	
MIR661	MIR661	Details ...	152	0.33283052	1.5930102	0.018072288	0.5833025	0.835	5037	tags=30%, list=18%, signal=36%	
MIR1587	MIR1587	Details ...	55	0.3784225	1.5919081	0.002004008	0.548487	0.837	2894	tags=27%, list=10%, signal=30%	
MIR6829_5P	MIR6829_5P	Details ...	93	0.3315577	1.5870019	0.007905139	0.53900427	0.843	5946	tags=34%, list=21%, signal=43%	
MIR6893_5P	MIR6893_5P	Details ...	176	0.34174156	1.5868449	0.007736944	0.5061753	0.843	3826	tags=28%, list=13%, signal=33%	
MIR940	MIR940	Details ...	176	0.33848906	1.5843402	0.009578544	0.4891431	0.849	3826	tags=27%, list=13%, signal=31%	
MIR4489	MIR4489	Details ...	49	0.39521462	1.5743726	0.02584493	0.5095573	0.863	3563	tags=27%, list=13%, signal=30%	
MIR4281	MIR4281	Details ...	17	0.5379447	1.5673772	0.0390625	0.5158333	0.873	1080	tags=18%, list=4%, signal=18%	
MIR7155_5P	MIR7155_5P	Details ...	91	0.32271135	1.5668808	0.005988024	0.49228662	0.874	4538	tags=26%, list=16%, signal=31%	
MIR6775_3P	MIR6775_3P		79	0.34271392	1.5611752	0.016427105	0.49619222	0.884	6050	tags=30%, list=21%, signal=38%	
MIR505_5P	MIR505_5P		52	0.4409337	1.5563219	0.037623763	0.4964258	0.891	4350	tags=35%, list=15%, signal=41%	
MIR4656	MIR4656		105	0.33325115	1.5543239	0.007575758	0.48268405	0.894	2793	tags=22%, list=10%, signal=24%	
MIR6808_5P	MIR6808_5P		175	0.33011675	1.5530667	0.0078125	0.46756676	0.898	3826	tags=27%, list=13%, signal=32%	
MIR6742_5P	MIR6742_5P		43	0.44668558	1.5491813	0.034552846	0.4669446	0.903	2967	tags=30%, list=10%, signal=34%	
MIR6508_3P	MIR6508_3P		45	0.34594914	1.5467092	0.0038986355	0.45979434	0.906	1528	tags=18%, list=5%, signal=19%	
MIR6883_5P	MIR6883_5P		387	0.3018828	1.5446669	0.00996016	0.45167595	0.909	5934	tags=33%, list=21%, signal=41%	
MIR6846_3P	MIR6846_3P		24	0.45072532	1.5419693	0.037181996	0.44641128	0.911	1742	tags=21%, list=6%, signal=22%	
MIR6721_5P	MIR6721_5P		316	0.29769325	1.5387208	0.011857707	0.4443815	0.915	4899	tags=26%, list=17%, signal=31%	
MIR378G	MIR378G		80	0.34987557	1.5327417	0.033962265	0.45613578	0.918	5859	tags=33%, list=21%, signal=41%	
MIR4763_3P	MIR4763_3P		238	0.31351364	1.5253481	0.020833334	0.47367942	0.921	5482	tags=29%, list=19%, signal=36%	
MIR450A_2_3P	MIR450A_2_3P		127	0.31910804	1.5251986	0.0	0.459418	0.921	3833	tags=25%, list=13%, signal=29%	
MIR6829_3P	MIR6829_3P		80	0.3418559	1.5227147	0.015503876	0.45547047	0.925	3645	tags=24%, list=13%, signal=27%	
MIR1207_3P	MIR1207_3P		129	0.3067705	1.520523	0.015065913	0.45068437	0.928	4570	tags=26%, list=16%, signal=30%	
MIR6791_3P	MIR6791_3P		79	0.34224403	1.5115714	0.017509727	0.47467747	0.94	3645	tags=24%, list=13%, signal=28%	
MIR6778_5P	MIR6778_5P		98	0.3476941	1.509599	0.029166667	0.46998444	0.943	4220	tags=27%, list=15%, signal=31%	
MIR6836_3P	MIR6836_3P		54	0.36231786	1.5092798	0.020072993	0.45883936	0.943	4409	tags=31%, list=16%, signal=37%	
MIR6848_5P	MIR6848_5P		78	0.35320184	1.5072048	0.024904214	0.4558137	0.944	5902	tags=40%, list=21%, signal=50%	
MIR8085	MIR8085		211	0.30112383	1.5032362	0.007707129	0.45997402	0.948	4809	tags=27%, list=17%, signal=32%	
MIR6810_5P	MIR6810_5P		69	0.31965438	1.5024745	0.0116959065	0.4516109	0.949	4063	tags=28%, list=14%, signal=32%	
MIR149_3P	MIR149_3P		414	0.29099673	1.5020865	0.021782178	0.44200662	0.952	6088	tags=33%, list=21%, signal=41%	
MIR3918	MIR3918		86	0.31214264	1.4990747	0.028282829	0.4427118	0.954	4968	tags=22%, list=17%, signal=27%	
MIR3679_5P	MIR3679_5P		75	0.32884195	1.4964786	0.022813689	0.44268376	0.955	5259	tags=32%, list=19%, signal=39%	
MIR6846_5P	MIR6846_5P		79	0.3529286	1.4944348	0.026119404	0.44005892	0.956	5902	tags=41%, list=21%, signal=51%	
MIR6785_5P	MIR6785_5P		491	0.28306088	1.4937078	0.017441861	0.43293503	0.957	5033	tags=27%, list=18%, signal=33%	
MIR615_5P	MIR615_5P		35	0.4136337	1.4897802	0.042471044	0.43825698	0.958	2250	tags=20%, list=8%, signal=22%	
MIR4761_5P	MIR4761_5P		62	0.32650042	1.4879824	0.017612524	0.43552142	0.961	2512	tags=21%, list=9%, signal=23%	
MIR9986	MIR9986		151	0.2849638	1.4864626	0.0055658626	0.43188953	0.961	4146	tags=23%, list=15%, signal=26%	
MIR1225_3P	MIR1225_3P		59	0.3464035	1.4857295	0.027237354	0.42554355	0.961	4273	tags=34%, list=15%, signal=40%	
MIR6731_5P	MIR6731_5P		210	0.29964584	1.4852616	0.007575758	0.41861367	0.961	4809	tags=27%, list=17%, signal=32%	
