NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AQP9	aquaporin 9 [Source:HGNC Symbol;Acc:HGNC:643]	80	0.9928036332130432	0.06567573	No	
row_1	SCARA5	scavenger receptor class A member 5 [Source:HGNC Symbol;Acc:HGNC:28701]	2668	0.3543485999107361	-0.001176294	No	
row_2	KPNA1	karyopherin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6394]	2846	0.3403916656970978	0.016062545	No	
row_3	HMGA2	high mobility group AT-hook 2 [Source:HGNC Symbol;Acc:HGNC:5009]	3585	0.3026001751422882	0.010895099	No	
row_4	UBE2A	ubiquitin conjugating enzyme E2 A [Source:HGNC Symbol;Acc:HGNC:12472]	3783	0.29236385226249695	0.024114387	No	
row_5	TCF12	transcription factor 12 [Source:HGNC Symbol;Acc:HGNC:11623]	5030	0.23812314867973328	-0.0034300466	No	
row_6	CIC	capicua transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:14214]	5364	0.22763916850090027	5.238063E-4	No	
row_7	WNT5A	Wnt family member 5A [Source:HGNC Symbol;Acc:HGNC:12784]	5697	0.214752197265625	0.0036238064	No	
row_8	DOCK1	dedicator of cytokinesis 1 [Source:HGNC Symbol;Acc:HGNC:2987]	6436	0.18948303163051605	-0.009348225	No	
row_9	CAMK2G	calcium/calmodulin dependent protein kinase II gamma [Source:HGNC Symbol;Acc:HGNC:1463]	7078	0.17426098883152008	-0.019947182	No	
row_10	MARCHF7	membrane associated ring-CH-type finger 7 [Source:HGNC Symbol;Acc:HGNC:17393]	7097	0.17355771362781525	-0.008607718	No	
row_11	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	8665	0.12546275556087494	-0.05525397	No	
row_12	RAB5B	RAB5B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9784]	8991	0.11271724849939346	-0.05894689	No	
