NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	1108	0.5197442770004272	-0.019011118	No	
row_1	HOXA5	homeobox A5 [Source:HGNC Symbol;Acc:HGNC:5106]	1137	0.5139384269714355	-6.066833E-5	No	
row_2	DNAJC5	DnaJ heat shock protein family (Hsp40) member C5 [Source:HGNC Symbol;Acc:HGNC:16235]	1436	0.46879321336746216	0.0075914697	No	
row_3	CEP170	centrosomal protein 170 [Source:HGNC Symbol;Acc:HGNC:28920]	2028	0.40642866492271423	0.002463957	No	
row_4	PPARGC1A	PPARG coactivator 1 alpha [Source:HGNC Symbol;Acc:HGNC:9237]	2213	0.3900117874145508	0.011090258	No	
row_5	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	2277	0.3846098482608795	0.023785306	No	
row_6	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]	3362	0.3139123022556305	-0.0023633637	No	
row_7	TMEM33	transmembrane protein 33 [Source:HGNC Symbol;Acc:HGNC:25541]	3417	0.3114398121833801	0.007810958	No	
row_8	PI4KAP2	phosphatidylinositol 4-kinase alpha pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:33577]	3426	0.31080612540245056	0.01958717	No	
row_9	CNIH1	cornichon family AMPA receptor auxiliary protein 1 [Source:HGNC Symbol;Acc:HGNC:19431]	3736	0.29455748200416565	0.020090133	No	
row_10	SLC17A5	solute carrier family 17 member 5 [Source:HGNC Symbol;Acc:HGNC:10933]	3881	0.28763827681541443	0.026158735	No	
row_11	WTAP	WT1 associated protein [Source:HGNC Symbol;Acc:HGNC:16846]	4119	0.27683162689208984	0.028519735	No	
row_12	VKORC1L1	vitamin K epoxide reductase complex subunit 1 like 1 [Source:HGNC Symbol;Acc:HGNC:21492]	4831	0.24680964648723602	0.012956126	No	
row_13	LAMC1	laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492]	5384	0.2267119586467743	0.0022346887	No	
row_14	GRB2	growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	5854	0.20803804695606232	-0.006276555	No	
row_15	MARK3	microtubule affinity regulating kinase 3 [Source:HGNC Symbol;Acc:HGNC:6897]	5896	0.20599186420440674	2.6611134E-4	No	
row_16	TIA1	TIA1 cytotoxic granule associated RNA binding protein [Source:HGNC Symbol;Acc:HGNC:11802]	6406	0.19084776937961578	-0.010326431	No	
row_17	TDRD5	tudor domain containing 5 [Source:HGNC Symbol;Acc:HGNC:20614]	6524	0.1886768639087677	-0.0071427976	No	
row_18	STK38	serine/threonine kinase 38 [Source:HGNC Symbol;Acc:HGNC:17847]	7006	0.1777021288871765	-0.017255353	No	
row_19	SLC25A3	solute carrier family 25 member 3 [Source:HGNC Symbol;Acc:HGNC:10989]	7066	0.17488017678260803	-0.012556247	No	
row_20	SMG5	SMG5 nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:24644]	7081	0.17418354749679565	-0.0062930523	No	
row_21	ZMIZ1	zinc finger MIZ-type containing 1 [Source:HGNC Symbol;Acc:HGNC:16493]	7503	0.1666284054517746	-0.014713771	No	
row_22	CCDC138	coiled-coil domain containing 138 [Source:HGNC Symbol;Acc:HGNC:26531]	7969	0.15252947807312012	-0.025237279	No	
row_23	WDR45B	WD repeat domain 45B [Source:HGNC Symbol;Acc:HGNC:25072]	7981	0.15217497944831848	-0.019721927	No	
row_24	TBC1D25	TBC1 domain family member 25 [Source:HGNC Symbol;Acc:HGNC:8092]	8527	0.13044767081737518	-0.03393085	No	
row_25	PHF20L1	PHD finger protein 20 like 1 [Source:HGNC Symbol;Acc:HGNC:24280]	8735	0.12265133857727051	-0.0364912	No	
row_26	ABCB9	ATP binding cassette subfamily B member 9 [Source:HGNC Symbol;Acc:HGNC:50]	9069	0.11032602190971375	-0.043984894	No	
row_27	KCNIP2	potassium voltage-gated channel interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:15522]	9211	0.10665563493967056	-0.044832226	No	
row_28	PARL	presenilin associated rhomboid like [Source:HGNC Symbol;Acc:HGNC:18253]	9453	0.09790629893541336	-0.049554847	No	
row_29	ARL8B	ADP ribosylation factor like GTPase 8B [Source:HGNC Symbol;Acc:HGNC:25564]	9706	0.08925475925207138	-0.055002082	No	
row_30	UBR5	ubiquitin protein ligase E3 component n-recognin 5 [Source:HGNC Symbol;Acc:HGNC:16806]	9860	0.08415449410676956	-0.057146743	No	
row_31	GALNT1	polypeptide N-acetylgalactosaminyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4123]	10477	0.06354087591171265	-0.07646204	No	
row_32	FAM91A1	family with sequence similarity 91 member A1 [Source:HGNC Symbol;Acc:HGNC:26306]	10707	0.05602029338479042	-0.0823855	No	
row_33	ANKRD12	ankyrin repeat domain 12 [Source:HGNC Symbol;Acc:HGNC:29135]	10880	0.04986945539712906	-0.08653221	No	
row_34	PPM1A	protein phosphatase, Mg2+/Mn2+ dependent 1A [Source:HGNC Symbol;Acc:HGNC:9275]	11006	0.046498704701662064	-0.089147866	No	
row_35	HNRNPR	heterogeneous nuclear ribonucleoprotein R [Source:HGNC Symbol;Acc:HGNC:5047]	11079	0.043954890221357346	-0.08998823	No	
row_36	TTC13	tetratricopeptide repeat domain 13 [Source:HGNC Symbol;Acc:HGNC:26204]	11104	0.04307825490832329	-0.08916542	No	
row_37	TRIP12	thyroid hormone receptor interactor 12 [Source:HGNC Symbol;Acc:HGNC:12306]	11304	0.036575064063072205	-0.094782606	No	
row_38	FGF7	fibroblast growth factor 7 [Source:HGNC Symbol;Acc:HGNC:3685]	11991	0.01733463816344738	-0.11836574	No	
row_39	MMD	monocyte to macrophage differentiation associated [Source:HGNC Symbol;Acc:HGNC:7153]	12239	0.009506268426775932	-0.12673038	No	
row_40	PCCB	propionyl-CoA carboxylase subunit beta [Source:HGNC Symbol;Acc:HGNC:8654]	12310	0.007208183407783508	-0.12892577	No	
row_41	CNOT6	CCR4-NOT transcription complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:14099]	12673	-0.0026569038163870573	-0.14162235	No	
row_42	NUP35	nucleoporin 35 [Source:HGNC Symbol;Acc:HGNC:29797]	12831	-0.006723854225128889	-0.14691271	No	
row_43	MROH7	maestro heat like repeat family member 7 [Source:HGNC Symbol;Acc:HGNC:24802]	12976	-0.010905221104621887	-0.15158117	No	
row_44	CLIP1	CAP-Gly domain containing linker protein 1 [Source:HGNC Symbol;Acc:HGNC:10461]	13095	-0.013895518146455288	-0.1552143	No	
row_45	CSMD3	CUB and Sushi multiple domains 3 [Source:HGNC Symbol;Acc:HGNC:19291]	13225	-0.017742393538355827	-0.1590871	No	
row_46	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	13781	-0.03365897759795189	-0.17740494	No	
row_47	GABPB2	GA binding protein transcription factor subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:28441]	13835	-0.03507476672530174	-0.17791805	No	
row_48	NMT2	N-myristoyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:7858]	14090	-0.04171062260866165	-0.18528068	No	
row_49	UBR1	ubiquitin protein ligase E3 component n-recognin 1 [Source:HGNC Symbol;Acc:HGNC:16808]	14149	-0.04326694831252098	-0.18565273	No	
row_50	SRP54	signal recognition particle 54 [Source:HGNC Symbol;Acc:HGNC:11301]	14307	-0.04765215516090393	-0.18935509	No	
row_51	E2F3	E2F transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3115]	14451	-0.05199195444583893	-0.19239405	No	
row_52	MXI1	MAX interactor 1, dimerization protein [Source:HGNC Symbol;Acc:HGNC:7534]	14509	-0.053622614592313766	-0.19232894	No	
row_53	HP1BP3	heterochromatin protein 1 binding protein 3 [Source:HGNC Symbol;Acc:HGNC:24973]	14543	-0.05461886525154114	-0.1913766	No	
row_54	PCDH11Y	protocadherin 11 Y-linked [Source:HGNC Symbol;Acc:HGNC:15813]	14906	-0.0648132935166359	-0.20166154	No	
row_55	AP3B1	adaptor related protein complex 3 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:566]	15004	-0.06749666482210159	-0.20247245	No	
row_56	BPTF	bromodomain PHD finger transcription factor [Source:HGNC Symbol;Acc:HGNC:3581]	15816	-0.09054569900035858	-0.22763482	No	
row_57	CDK17	cyclin dependent kinase 17 [Source:HGNC Symbol;Acc:HGNC:8750]	15888	-0.09268280118703842	-0.22654922	No	
row_58	FBXO22	F-box protein 22 [Source:HGNC Symbol;Acc:HGNC:13593]	15909	-0.09310349076986313	-0.22364403	No	
row_59	PRPF38B	pre-mRNA processing factor 38B [Source:HGNC Symbol;Acc:HGNC:25512]	15920	-0.09341678768396378	-0.2203731	No	
row_60	ACE	angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707]	16295	-0.10287749767303467	-0.22960548	No	
row_61	TNRC6B	trinucleotide repeat containing adaptor 6B [Source:HGNC Symbol;Acc:HGNC:29190]	16966	-0.12140658497810364	-0.24858496	No	
row_62	STMN4	stathmin 4 [Source:HGNC Symbol;Acc:HGNC:16078]	17194	-0.12802301347255707	-0.25164405	No	
row_63	GATA3	GATA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4172]	17220	-0.12883219122886658	-0.2475294	No	
row_64	EPHA7	EPH receptor A7 [Source:HGNC Symbol;Acc:HGNC:3390]	17282	-0.13072286546230316	-0.24461429	No	
row_65	INTS2	integrator complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:29241]	17579	-0.13819341361522675	-0.24971849	No	
row_66	RAD9A	RAD9 checkpoint clamp component A [Source:HGNC Symbol;Acc:HGNC:9827]	17910	-0.14793838560581207	-0.25564677	No	
row_67	SRSF3	serine and arginine rich splicing factor 3 [Source:HGNC Symbol;Acc:HGNC:10785]	18095	-0.15315280854701996	-0.25621045	No	
row_68	PAK4	p21 (RAC1) activated kinase 4 [Source:HGNC Symbol;Acc:HGNC:16059]	18357	-0.1607077270746231	-0.25920358	No	
row_69	CLINT1	clathrin interactor 1 [Source:HGNC Symbol;Acc:HGNC:23186]	18404	-0.16193711757659912	-0.254547	No	
row_70	CENPJ	centromere protein J [Source:HGNC Symbol;Acc:HGNC:17272]	18640	-0.17018213868141174	-0.2562532	No	
row_71	MSL2	MSL complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:25544]	19871	-0.19445841014385223	-0.29219893	No	
row_72	TENT4B	terminal nucleotidyltransferase 4B [Source:HGNC Symbol;Acc:HGNC:30758]	19993	-0.1951807588338852	-0.28890437	No	
row_73	PTPRT	protein tyrosine phosphatase receptor type T [Source:HGNC Symbol;Acc:HGNC:9682]	20135	-0.1953880339860916	-0.28630894	No	
row_74	AZIN1	antizyme inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:16432]	20484	-0.20463383197784424	-0.29067394	No	
row_75	B4GALT3	beta-1,4-galactosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:926]	20679	-0.21107031404972076	-0.289344	No	
row_76	SFRP2	secreted frizzled related protein 2 [Source:HGNC Symbol;Acc:HGNC:10777]	20707	-0.21178974211215973	-0.2820814	No	
row_77	RAP1A	RAP1A, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9855]	21162	-0.2230658382177353	-0.2894792	No	
row_78	PLAGL2	PLAG1 like zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:9047]	21374	-0.22626623511314392	-0.28816077	No	
row_79	EPC2	enhancer of polycomb homolog 2 [Source:HGNC Symbol;Acc:HGNC:24543]	21469	-0.22897882759571075	-0.28260022	No	
row_80	HIVEP1	HIVEP zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:4920]	22492	-0.25534486770629883	-0.30882907	Yes	
row_81	RSBN1	round spermatid basic protein 1 [Source:HGNC Symbol;Acc:HGNC:25642]	22550	-0.2567891478538513	-0.30088124	Yes	
row_82	STYX	serine/threonine/tyrosine interacting protein [Source:HGNC Symbol;Acc:HGNC:11447]	22638	-0.25952646136283875	-0.2938879	Yes	
row_83	RSRP1	arginine and serine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:25234]	22756	-0.2628549635410309	-0.28782624	Yes	
row_84	EPN2	epsin 2 [Source:HGNC Symbol;Acc:HGNC:18639]	22969	-0.2688913345336914	-0.28488934	Yes	
row_85	CHMP5	charged multivesicular body protein 5 [Source:HGNC Symbol;Acc:HGNC:26942]	23098	-0.27240902185440063	-0.2788459	Yes	
row_86	YTHDF3	YTH N6-methyladenosine RNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:26465]	23765	-0.2958342432975769	-0.29091626	Yes	
row_87	UST	uronyl 2-sulfotransferase [Source:HGNC Symbol;Acc:HGNC:17223]	23880	-0.3003411591053009	-0.28329405	Yes	
row_88	DLEC1	DLEC1 cilia and flagella associated protein [Source:HGNC Symbol;Acc:HGNC:2899]	23958	-0.30349311232566833	-0.2742413	Yes	
row_89	BRWD1	bromodomain and WD repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:12760]	24117	-0.3103362023830414	-0.26778704	Yes	
row_90	UBE2D2	ubiquitin conjugating enzyme E2 D2 [Source:HGNC Symbol;Acc:HGNC:12475]	24619	-0.3295484483242035	-0.27271524	Yes	
row_91	TOP1	DNA topoisomerase I [Source:HGNC Symbol;Acc:HGNC:11986]	24844	-0.3387484848499298	-0.26749223	Yes	
row_92	MIER1	MIER1 transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:29657]	25130	-0.35005974769592285	-0.26398724	Yes	
row_93	CLYBL	citramalyl-CoA lyase [Source:HGNC Symbol;Acc:HGNC:18355]	25140	-0.3504236042499542	-0.25070924	Yes	
row_94	SLA	Src like adaptor [Source:HGNC Symbol;Acc:HGNC:10902]	26124	-0.40080463886260986	-0.26991537	Yes	
row_95	FGF7P3	fibroblast growth factor 7 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:26671]	26185	-0.4052761197090149	-0.2563124	Yes	
row_96	CYCS	cytochrome c, somatic [Source:HGNC Symbol;Acc:HGNC:19986]	26369	-0.41844063997268677	-0.24654773	Yes	
