NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ELK1	ETS transcription factor ELK1 [Source:HGNC Symbol;Acc:HGNC:3321]	8	1.4068164825439453	0.09402026	Yes	
row_1	EXOC3L1	exocyst complex component 3 like 1 [Source:HGNC Symbol;Acc:HGNC:27540]	167	0.8654069304466248	0.1464552	Yes	
row_2	ACACA	acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]	302	0.755825400352478	0.1923915	Yes	
row_3	SOX4	SRY-box transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11200]	510	0.6648942828178406	0.22965641	Yes	
row_4	KLHL18	kelch like family member 18 [Source:HGNC Symbol;Acc:HGNC:29120]	525	0.6607199311256409	0.27345216	Yes	
row_5	RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1 [Source:HGNC Symbol;Acc:HGNC:15864]	677	0.613161027431488	0.3092254	Yes	
row_6	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	944	0.5507965683937073	0.33676004	Yes	
row_7	RAB5IF	RAB5 interacting factor [Source:HGNC Symbol;Acc:HGNC:15870]	1265	0.49311763048171997	0.35852274	Yes	
row_8	IDH3G	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:5386]	1452	0.4666433334350586	0.38323945	Yes	
row_9	CAPN6	calpain 6 [Source:HGNC Symbol;Acc:HGNC:1483]	2462	0.3694482445716858	0.3723986	No	
row_10	PTGIR	prostaglandin I2 receptor [Source:HGNC Symbol;Acc:HGNC:9602]	3317	0.3158389627933502	0.3634339	No	
row_11	AIRE	autoimmune regulator [Source:HGNC Symbol;Acc:HGNC:360]	3989	0.28244414925575256	0.3586884	No	
row_12	PPP1CB	protein phosphatase 1 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9282]	4872	0.24497896432876587	0.3439857	No	
row_13	GTF2I	general transcription factor IIi [Source:HGNC Symbol;Acc:HGNC:4659]	4925	0.2417164295911789	0.3583536	No	
row_14	ADIPOR1	adiponectin receptor 1 [Source:HGNC Symbol;Acc:HGNC:24040]	5654	0.21561001241207123	0.34711662	No	
row_15	LEP	leptin [Source:HGNC Symbol;Acc:HGNC:6553]	5750	0.21253317594528198	0.3580109	No	
row_16	COL11A1	collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]	6289	0.19279219210147858	0.35194913	No	
row_17	ZNF775	zinc finger protein 775 [Source:HGNC Symbol;Acc:HGNC:28501]	6681	0.18521670997142792	0.35056695	No	
row_18	ERP29	endoplasmic reticulum protein 29 [Source:HGNC Symbol;Acc:HGNC:13799]	6804	0.18251191079616547	0.35849604	No	
row_19	HECW2	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:29853]	6823	0.18176189064979553	0.37004483	No	
row_20	BCORL1	BCL6 corepressor like 1 [Source:HGNC Symbol;Acc:HGNC:25657]	8456	0.13339141011238098	0.32139587	No	
row_21	CALN1	calneuron 1 [Source:HGNC Symbol;Acc:HGNC:13248]	8811	0.11981179565191269	0.31693512	No	
row_22	ABCB9	ATP binding cassette subfamily B member 9 [Source:HGNC Symbol;Acc:HGNC:50]	9069	0.11032602190971375	0.31526145	No	
row_23	SMURF1	SMAD specific E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:16807]	9618	0.09188033640384674	0.30208245	No	
row_24	TOX4	TOX high mobility group box family member 4 [Source:HGNC Symbol;Acc:HGNC:20161]	9890	0.08293970674276352	0.29807898	No	
row_25	PCGF3	polycomb group ring finger 3 [Source:HGNC Symbol;Acc:HGNC:10066]	10766	0.05355720967054367	0.2707918	No	
row_26	H3-3A	H3.3 histone A [Source:HGNC Symbol;Acc:HGNC:4764]	11218	0.03942837566137314	0.25751975	No	
row_27	LRP5L	LDL receptor related protein 5 like (pseudogene) [Source:HGNC Symbol;Acc:HGNC:25323]	11830	0.021557766944169998	0.23740366	No	
row_28	IGF2BP2	insulin like growth factor 2 mRNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:28867]	12194	0.011110980994999409	0.2253388	No	
row_29	PRKG1	protein kinase cGMP-dependent 1 [Source:HGNC Symbol;Acc:HGNC:9414]	13113	-0.014613521285355091	0.19392373	No	
row_30	LARP4B	La ribonucleoprotein 4B [Source:HGNC Symbol;Acc:HGNC:28987]	13492	-0.025712011381983757	0.18230829	No	
row_31	RAB10	RAB10, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9759]	14399	-0.05062228441238403	0.15373042	No	
row_32	CXXC1	CXXC finger protein 1 [Source:HGNC Symbol;Acc:HGNC:24343]	14607	-0.05634760856628418	0.15020287	No	
row_33	SLC7A8	solute carrier family 7 member 8 [Source:HGNC Symbol;Acc:HGNC:11066]	15686	-0.08742688596248627	0.118022524	No	
row_34	LRRC1	leucine rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:14307]	15815	-0.0905020460486412	0.11957221	No	
