NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MBOAT7	membrane bound O-acyltransferase domain containing 7 [Source:HGNC Symbol;Acc:HGNC:15505]	193	0.8429046273231506	0.009636921	Yes	
row_1	GPAT3	glycerol-3-phosphate acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:28157]	245	0.7977842688560486	0.02343123	Yes	
row_2	RASGRP4	RAS guanyl releasing protein 4 [Source:HGNC Symbol;Acc:HGNC:18958]	248	0.7961497902870178	0.0389327	Yes	
row_3	ACVR1B	activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]	332	0.744628369808197	0.050551537	Yes	
row_4	SEMA4A	semaphorin 4A [Source:HGNC Symbol;Acc:HGNC:10729]	354	0.7326680421829224	0.06413697	Yes	
row_5	C17orf49	chromosome 17 open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:28737]	632	0.6268618106842041	0.06656679	Yes	
row_6	PSAP	prosaposin [Source:HGNC Symbol;Acc:HGNC:9498]	715	0.6016472578048706	0.07542445	Yes	
row_7	PLPPR2	phospholipid phosphatase related 2 [Source:HGNC Symbol;Acc:HGNC:29566]	749	0.5949030518531799	0.085889325	Yes	
row_8	DENND5A	DENN domain containing 5A [Source:HGNC Symbol;Acc:HGNC:19344]	843	0.5733124613761902	0.09380235	Yes	
row_9	PIGS	phosphatidylinositol glycan anchor biosynthesis class S [Source:HGNC Symbol;Acc:HGNC:14937]	858	0.5708471536636353	0.10447106	Yes	
row_10	MMP14	matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]	874	0.5669256448745728	0.11502757	Yes	
row_11	AARS1	alanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:20]	922	0.5556455850601196	0.12422769	Yes	
row_12	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	944	0.5507965683937073	0.13425577	Yes	
row_13	NEFM	neurofilament medium chain [Source:HGNC Symbol;Acc:HGNC:7734]	977	0.5438573956489563	0.1437577	Yes	
row_14	DAGLA	diacylglycerol lipase alpha [Source:HGNC Symbol;Acc:HGNC:1165]	1040	0.5325146317481995	0.151973	Yes	
row_15	PLK3	polo like kinase 3 [Source:HGNC Symbol;Acc:HGNC:2154]	1070	0.5261046290397644	0.16123416	Yes	
row_16	TRPM6	transient receptor potential cation channel subfamily M member 6 [Source:HGNC Symbol;Acc:HGNC:17995]	1086	0.5240725874900818	0.17095248	Yes	
row_17	ZER1	zyg-11 related cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:30960]	1158	0.5109671354293823	0.17842688	Yes	
row_18	LINC02913	long intergenic non-protein coding RNA 2913 [Source:HGNC Symbol;Acc:HGNC:31370]	1195	0.5048273801803589	0.18702343	Yes	
row_19	ATP13A2	ATPase cation transporting 13A2 [Source:HGNC Symbol;Acc:HGNC:30213]	1319	0.4867529571056366	0.1921786	Yes	
row_20	OTUD5	OTU deubiquitinase 5 [Source:HGNC Symbol;Acc:HGNC:25402]	1331	0.4845364987850189	0.20126557	Yes	
row_21	TSPAN14	tetraspanin 14 [Source:HGNC Symbol;Acc:HGNC:23303]	1361	0.4800755977630615	0.20962644	Yes	
row_22	PER1	period circadian regulator 1 [Source:HGNC Symbol;Acc:HGNC:8845]	1501	0.4597989618778229	0.21368651	Yes	
row_23	PHC1	polyhomeotic homolog 1 [Source:HGNC Symbol;Acc:HGNC:3182]	1582	0.4498569369316101	0.21964619	Yes	
