NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	65	1.025398850440979	0.021213803	Yes	
row_1	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	73	1.0053092241287231	0.044021	Yes	
row_2	LIMK2	LIM domain kinase 2 [Source:HGNC Symbol;Acc:HGNC:6614]	122	0.9136693477630615	0.06327454	Yes	
row_3	S100A8	S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]	159	0.8730252981185913	0.08202097	Yes	
row_4	RASGRP4	RAS guanyl releasing protein 4 [Source:HGNC Symbol;Acc:HGNC:18958]	248	0.7961497902870178	0.09716276	Yes	
row_5	THRA	thyroid hormone receptor alpha [Source:HGNC Symbol;Acc:HGNC:11796]	283	0.7712920904159546	0.11364693	Yes	
row_6	PHF13	PHD finger protein 13 [Source:HGNC Symbol;Acc:HGNC:22983]	464	0.6838257312774658	0.1229545	Yes	
row_7	TWIST1	twist family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:12428]	636	0.6245601177215576	0.13122167	Yes	
row_8	SNX27	sorting nexin 27 [Source:HGNC Symbol;Acc:HGNC:20073]	862	0.5683981776237488	0.13628839	Yes	
row_9	ACOT7	acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:HGNC:24157]	887	0.5640259981155396	0.14837341	Yes	
row_10	GRAMD1A	GRAM domain containing 1A [Source:HGNC Symbol;Acc:HGNC:29305]	936	0.5516159534454346	0.15932386	Yes	
row_11	ROM1	retinal outer segment membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:10254]	1139	0.5136645436286926	0.1639499	Yes	
row_12	VCP	valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666]	1147	0.5129956603050232	0.17546672	Yes	
row_13	STIP1	stress induced phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11387]	1363	0.4799825847148895	0.17885992	Yes	
row_14	RARA	retinoic acid receptor alpha [Source:HGNC Symbol;Acc:HGNC:9864]	1427	0.4701244831085205	0.18741027	Yes	
row_15	SLC12A5	solute carrier family 12 member 5 [Source:HGNC Symbol;Acc:HGNC:13818]	1450	0.4668632447719574	0.19733785	Yes	
row_16	BNIPL	BCL2 interacting protein like [Source:HGNC Symbol;Acc:HGNC:16976]	1461	0.46503567695617676	0.20764852	Yes	
row_17	LRRC4	leucine rich repeat containing 4 [Source:HGNC Symbol;Acc:HGNC:15586]	1503	0.45952045917510986	0.21673481	Yes	
row_18	TOMM34	translocase of outer mitochondrial membrane 34 [Source:HGNC Symbol;Acc:HGNC:15746]	1513	0.4576016068458557	0.22691041	Yes	
row_19	SMARCD2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2 [Source:HGNC Symbol;Acc:HGNC:11107]	1541	0.45444124937057495	0.23637605	Yes	
row_20	IER5L	immediate early response 5 like [Source:HGNC Symbol;Acc:HGNC:23679]	1760	0.43108075857162476	0.23854153	Yes	
row_21	TXNL4B	thioredoxin like 4B [Source:HGNC Symbol;Acc:HGNC:26041]	2172	0.39422810077667236	0.23302661	Yes	
row_22	GRK6	G protein-coupled receptor kinase 6 [Source:HGNC Symbol;Acc:HGNC:4545]	2404	0.3728245496749878	0.23339568	Yes	
row_23	PPP1R9B	protein phosphatase 1 regulatory subunit 9B [Source:HGNC Symbol;Acc:HGNC:9298]	2531	0.3644981384277344	0.23729245	Yes	
row_24	ZBTB47	zinc finger and BTB domain containing 47 [Source:HGNC Symbol;Acc:HGNC:26955]	2703	0.3520696759223938	0.23931049	Yes	
row_25	SORT1	sortilin 1 [Source:HGNC Symbol;Acc:HGNC:11186]	2730	0.34956544637680054	0.24640639	Yes	
row_26	TEAD3	TEA domain transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11716]	2916	0.33625999093055725	0.24756604	Yes	
row_27	SSBP3	single stranded DNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:15674]	2952	0.3341027796268463	0.2539886	Yes	
row_28	TMUB2	transmembrane and ubiquitin like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28459]	3386	0.3129294812679291	0.24583007	Yes	
row_29	UBR7	ubiquitin protein ligase E3 component n-recognin 7 [Source:HGNC Symbol;Acc:HGNC:20344]	3538	0.3048866093158722	0.24747436	Yes	
row_30	MAT2A	methionine adenosyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:6904]	3806	0.29149648547172546	0.24470334	Yes	
row_31	RREB1	ras responsive element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10449]	3823	0.2904607355594635	0.25079793	Yes	
row_32	ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:24097]	3854	0.2890276312828064	0.2563638	Yes	
row_33	TRIM35	tripartite motif containing 35 [Source:HGNC Symbol;Acc:HGNC:16285]	4034	0.28070753812789917	0.25646195	Yes	
row_34	COMMD3	COMM domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23332]	4045	0.2803996205329895	0.2625383	Yes	
row_35	DNAJB2	DnaJ heat shock protein family (Hsp40) member B2 [Source:HGNC Symbol;Acc:HGNC:5228]	4096	0.277859628200531	0.26713976	Yes	
row_36	ZFAND3	zinc finger AN1-type containing 3 [Source:HGNC Symbol;Acc:HGNC:18019]	4345	0.2663021683692932	0.26446384	Yes	
row_37	PACSIN2	protein kinase C and casein kinase substrate in neurons 2 [Source:HGNC Symbol;Acc:HGNC:8571]	4404	0.26427170634269714	0.26847038	Yes	
row_38	ATXN2L	ataxin 2 like [Source:HGNC Symbol;Acc:HGNC:31326]	4430	0.26259535551071167	0.27360716	Yes	
row_39	OVOL1	ovo like transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:8525]	4539	0.2580729126930237	0.27570075	Yes	
row_40	PPP1R3F	protein phosphatase 1 regulatory subunit 3F [Source:HGNC Symbol;Acc:HGNC:14944]	5440	0.22397804260253906	0.2489631	No	
row_41	IQSEC2	IQ motif and Sec7 domain ArfGEF 2 [Source:HGNC Symbol;Acc:HGNC:29059]	5763	0.21212786436080933	0.24242403	No	
row_42	MBD6	methyl-CpG binding domain protein 6 [Source:HGNC Symbol;Acc:HGNC:20445]	5865	0.20757822692394257	0.24360749	No	
row_43	DGKZ	diacylglycerol kinase zeta [Source:HGNC Symbol;Acc:HGNC:2857]	5941	0.20416484773159027	0.24563348	No	
row_44	PARP6	poly(ADP-ribose) polymerase family member 6 [Source:HGNC Symbol;Acc:HGNC:26921]	6096	0.20006223022937775	0.24476756	No	
row_45	NSD2	nuclear receptor binding SET domain protein 2 [Source:HGNC Symbol;Acc:HGNC:12766]	6430	0.189571350812912	0.2373216	No	
row_46	FOSL1	FOS like 1, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:13718]	6576	0.18707850575447083	0.23647666	No	
row_47	SH2B3	SH2B adaptor protein 3 [Source:HGNC Symbol;Acc:HGNC:29605]	6680	0.18527473509311676	0.2370778	No	
row_48	EI24	EI24 autophagy associated transmembrane protein [Source:HGNC Symbol;Acc:HGNC:13276]	6776	0.18370139598846436	0.23792619	No	
row_49	MDGA2	MAM domain containing glycosylphosphatidylinositol anchor 2 [Source:HGNC Symbol;Acc:HGNC:19835]	6994	0.1781187653541565	0.23432583	No	
row_50	CAMK2G	calcium/calmodulin dependent protein kinase II gamma [Source:HGNC Symbol;Acc:HGNC:1463]	7078	0.17426098883152008	0.2353827	No	
row_51	DGKI	diacylglycerol kinase iota [Source:HGNC Symbol;Acc:HGNC:2855]	7484	0.16744132339954376	0.2248793	No	
row_52	TOR2A	torsin family 2 member A [Source:HGNC Symbol;Acc:HGNC:11996]	7498	0.16675785183906555	0.22824322	No	
row_53	MAP3K3	mitogen-activated protein kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6855]	7928	0.15440179407596588	0.21659079	No	
row_54	CHRD	chordin [Source:HGNC Symbol;Acc:HGNC:1949]	8128	0.14572696387767792	0.21288505	No	
row_55	XBP1	X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]	8289	0.13938720524311066	0.21041515	No	
row_56	SEPTIN6	septin 6 [Source:HGNC Symbol;Acc:HGNC:15848]	8704	0.1238698810338974	0.19859377	No	
row_57	PHAF1	phagosome assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:29564]	8719	0.123052217066288	0.20091994	No	
row_58	RGS16	regulator of G protein signaling 16 [Source:HGNC Symbol;Acc:HGNC:9997]	8808	0.11988301575183868	0.20055267	No	
row_59	CHD4	chromodomain helicase DNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:1919]	8986	0.11283290386199951	0.19687171	No	
row_60	B3GAT3	beta-1,3-glucuronyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:923]	9068	0.11041443049907684	0.19653521	No	
