NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ELK1	ETS transcription factor ELK1 [Source:HGNC Symbol;Acc:HGNC:3321]	8	1.4068164825439453	0.08740118	Yes	
row_1	ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16925]	511	0.6647700667381287	0.111113764	Yes	
row_2	GNB2	G protein subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:4398]	617	0.6318874955177307	0.14679126	Yes	
row_3	IPO11	importin 11 [Source:HGNC Symbol;Acc:HGNC:20628]	902	0.5605097413063049	0.17170112	Yes	
row_4	TRPM2	transient receptor potential cation channel subfamily M member 2 [Source:HGNC Symbol;Acc:HGNC:12339]	980	0.5434616804122925	0.20285565	Yes	
row_5	SOX12	SRY-box transcription factor 12 [Source:HGNC Symbol;Acc:HGNC:11198]	1321	0.4858051538467407	0.22113249	Yes	
row_6	ZNF219	zinc finger protein 219 [Source:HGNC Symbol;Acc:HGNC:13011]	1358	0.48024874925613403	0.24979445	Yes	
row_7	FAM89B	family with sequence similarity 89 member B [Source:HGNC Symbol;Acc:HGNC:16708]	1708	0.4368671476840973	0.2647034	Yes	
row_8	LRRC41	leucine rich repeat containing 41 [Source:HGNC Symbol;Acc:HGNC:16917]	1986	0.4100508391857147	0.2804826	Yes	
row_9	ARRB1	arrestin beta 1 [Source:HGNC Symbol;Acc:HGNC:711]	2569	0.3615845739841461	0.28247428	Yes	
row_10	SRF	serum response factor [Source:HGNC Symbol;Acc:HGNC:11291]	3631	0.29952725768089294	0.263689	Yes	
row_11	PPP2R5B	protein phosphatase 2 regulatory subunit B'beta [Source:HGNC Symbol;Acc:HGNC:9310]	3691	0.2971453368663788	0.28012663	Yes	
row_12	UNC5A	unc-5 netrin receptor A [Source:HGNC Symbol;Acc:HGNC:12567]	3722	0.29517948627471924	0.29746544	Yes	
row_13	GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	3793	0.29209524393081665	0.31320003	Yes	
row_14	LYPLA2	lysophospholipase 2 [Source:HGNC Symbol;Acc:HGNC:6738]	3967	0.283616304397583	0.32477012	Yes	
row_15	GMPR	guanosine monophosphate reductase [Source:HGNC Symbol;Acc:HGNC:4376]	4237	0.27053484320640564	0.33213603	Yes	
row_16	EPN1	epsin 1 [Source:HGNC Symbol;Acc:HGNC:21604]	4780	0.24811063706874847	0.32846716	Yes	
row_17	VKORC1L1	vitamin K epoxide reductase complex subunit 1 like 1 [Source:HGNC Symbol;Acc:HGNC:21492]	4831	0.24680964648723602	0.3420852	Yes	
row_18	IQSEC2	IQ motif and Sec7 domain ArfGEF 2 [Source:HGNC Symbol;Acc:HGNC:29059]	5763	0.21212786436080933	0.32244164	Yes	
row_19	DBN1	drebrin 1 [Source:HGNC Symbol;Acc:HGNC:2695]	5786	0.21133971214294434	0.33483732	Yes	
row_20	PARP6	poly(ADP-ribose) polymerase family member 6 [Source:HGNC Symbol;Acc:HGNC:26921]	6096	0.20006223022937775	0.3363988	Yes	
row_21	HOXD3	homeobox D3 [Source:HGNC Symbol;Acc:HGNC:5137]	6342	0.19279219210147858	0.3397664	Yes	
row_22	SMG7	SMG7 nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:16792]	6361	0.19251026213169098	0.3511297	Yes	
row_23	POU3F1	POU class 3 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9214]	6448	0.1889096051454544	0.35986814	Yes	
row_24	ONECUT2	one cut homeobox 2 [Source:HGNC Symbol;Acc:HGNC:8139]	6605	0.18685382604599	0.3660074	Yes	
row_25	SYNGAP1	synaptic Ras GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:11497]	6667	0.18596449494361877	0.37544477	Yes	
row_26	ACTR1A	actin related protein 1A [Source:HGNC Symbol;Acc:HGNC:167]	6678	0.18551668524742126	0.3866546	Yes	
row_27	ZBTB4	zinc finger and BTB domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23847]	7477	0.16774210333824158	0.36893955	Yes	
row_28	ZC3H10	zinc finger CCCH-type containing 10 [Source:HGNC Symbol;Acc:HGNC:25893]	7562	0.1640007048845291	0.37619606	Yes	
row_29	MAP7D2	MAP7 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25899]	7573	0.163643017411232	0.38604254	Yes	
row_30	RTN2	reticulon 2 [Source:HGNC Symbol;Acc:HGNC:10468]	7765	0.16121722757816315	0.3893484	Yes	
row_31	PPFIA3	PTPRF interacting protein alpha 3 [Source:HGNC Symbol;Acc:HGNC:9247]	7986	0.15198664367198944	0.3910552	Yes	
row_32	SOX21	SRY-box transcription factor 21 [Source:HGNC Symbol;Acc:HGNC:11197]	8198	0.14290796220302582	0.39251384	Yes	
row_33	CTIF	cap binding complex dependent translation initiation factor [Source:HGNC Symbol;Acc:HGNC:23925]	8444	0.1337582767009735	0.392202	No	
row_34	PRKACA	protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380]	9143	0.10817286372184753	0.37430423	No	
row_35	CACNB1	calcium voltage-gated channel auxiliary subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:1401]	9611	0.09206201136112213	0.36355677	No	
