NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	373	0.7204309701919556	0.14524014	No	
row_1	CAPZA2	capping actin protein of muscle Z-line subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:1490]	6272	0.19279803335666656	-0.020246984	No	
row_2	SLC22A2	solute carrier family 22 member 2 [Source:HGNC Symbol;Acc:HGNC:10966]	6310	0.19279219210147858	0.02083424	No	
row_3	EI24	EI24 autophagy associated transmembrane protein [Source:HGNC Symbol;Acc:HGNC:13276]	6776	0.18370139598846436	0.04483209	No	
row_4	CARF	calcium responsive transcription factor [Source:HGNC Symbol;Acc:HGNC:14435]	9101	0.10936793684959412	-0.0130322715	No	
row_5	EIF4G2	eukaryotic translation initiation factor 4 gamma 2 [Source:HGNC Symbol;Acc:HGNC:3297]	9707	0.08925163745880127	-0.014733427	No	
row_6	GDF6	growth differentiation factor 6 [Source:HGNC Symbol;Acc:HGNC:4221]	10071	0.07696419209241867	-0.010606737	No	
row_7	EDEM3	ER degradation enhancing alpha-mannosidase like protein 3 [Source:HGNC Symbol;Acc:HGNC:16787]	10586	0.06009422242641449	-0.015510863	No	
row_8	CACFD1	calcium channel flower domain containing 1 [Source:HGNC Symbol;Acc:HGNC:1365]	12218	0.010374180972576141	-0.07071433	No	
row_9	ZBTB26	zinc finger and BTB domain containing 26 [Source:HGNC Symbol;Acc:HGNC:23383]	12320	0.007016973104327917	-0.072731376	No	
row_10	TNFSF12	TNF superfamily member 12 [Source:HGNC Symbol;Acc:HGNC:11927]	13078	-0.013457879424095154	-0.09645296	No	
row_11	HTR1D	5-hydroxytryptamine receptor 1D [Source:HGNC Symbol;Acc:HGNC:5289]	13280	-0.018977629020810127	-0.09936494	No	
row_12	LIN28B	lin-28 homolog B [Source:HGNC Symbol;Acc:HGNC:32207]	14908	-0.06488557904958725	-0.14244312	No	
row_13	PCGF5	polycomb group ring finger 5 [Source:HGNC Symbol;Acc:HGNC:28264]	15578	-0.08449279516935349	-0.14744617	No	
row_14	TNRC6B	trinucleotide repeat containing adaptor 6B [Source:HGNC Symbol;Acc:HGNC:29190]	16966	-0.12140658497810364	-0.16963948	No	
row_15	UBE2E3	ubiquitin conjugating enzyme E2 E3 [Source:HGNC Symbol;Acc:HGNC:12479]	17245	-0.12948830425739288	-0.1509696	No	
row_16	SLC20A1	solute carrier family 20 member 1 [Source:HGNC Symbol;Acc:HGNC:10946]	17864	-0.14649830758571625	-0.14054327	No	
row_17	GLMN	glomulin, FKBP associated protein [Source:HGNC Symbol;Acc:HGNC:14373]	24851	-0.3390742838382721	-0.31221795	Yes	
row_18	ARHGEF5	Rho guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:13209]	26857	-0.4565337002277374	-0.282515	Yes	
row_19	ZNF362	zinc finger protein 362 [Source:HGNC Symbol;Acc:HGNC:18079]	28176	-0.7039332389831543	-0.1742082	Yes	
row_20	ADGRL3	adhesion G protein-coupled receptor L3 [Source:HGNC Symbol;Acc:HGNC:20974]	28304	-0.8270249366760254	0.003136789	Yes	
