NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TRIOBP	TRIO and F-actin binding protein [Source:HGNC Symbol;Acc:HGNC:17009]	127	0.9036102294921875	0.058128845	Yes	
row_1	CHD3	chromodomain helicase DNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:1918]	465	0.6837530136108398	0.09361311	Yes	
row_2	TRPV4	transient receptor potential cation channel subfamily V member 4 [Source:HGNC Symbol;Acc:HGNC:18083]	545	0.6554638743400574	0.13624194	Yes	
row_3	MAP1A	microtubule associated protein 1A [Source:HGNC Symbol;Acc:HGNC:6835]	1288	0.4904246926307678	0.14403832	Yes	
row_4	CDHR5	cadherin related family member 5 [Source:HGNC Symbol;Acc:HGNC:7521]	1379	0.47792497277259827	0.1739774	Yes	
row_5	AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:324]	1471	0.46354272961616516	0.20288466	Yes	
row_6	C2CD2L	C2CD2 like [Source:HGNC Symbol;Acc:HGNC:29000]	1604	0.44735008478164673	0.22922306	Yes	
row_7	SEH1L	SEH1 like nucleoporin [Source:HGNC Symbol;Acc:HGNC:30379]	1634	0.4437636137008667	0.2589478	Yes	
row_8	HPS1	HPS1 biogenesis of lysosomal organelles complex 3 subunit 1 [Source:HGNC Symbol;Acc:HGNC:5163]	1961	0.41254904866218567	0.27602866	Yes	
row_9	SCAF1	SR-related CTD associated factor 1 [Source:HGNC Symbol;Acc:HGNC:30403]	2510	0.36575448513031006	0.2820329	Yes	
row_10	TLN1	talin 1 [Source:HGNC Symbol;Acc:HGNC:11845]	2646	0.35599711537361145	0.30193564	Yes	
row_11	ATXN2L	ataxin 2 like [Source:HGNC Symbol;Acc:HGNC:31326]	4430	0.26259535551071167	0.25720945	Yes	
row_12	AGFG1	ArfGAP with FG repeats 1 [Source:HGNC Symbol;Acc:HGNC:5175]	4516	0.2588579058647156	0.27214596	Yes	
row_13	B4GALT5	beta-1,4-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:928]	4529	0.2581150233745575	0.2896071	Yes	
row_14	VWA1	von Willebrand factor A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30910]	4728	0.25095051527023315	0.300008	Yes	
row_15	GDAP2	ganglioside induced differentiation associated protein 2 [Source:HGNC Symbol;Acc:HGNC:18010]	5517	0.22143732011318207	0.2875431	Yes	
row_16	GIPC1	GIPC PDZ domain containing family member 1 [Source:HGNC Symbol;Acc:HGNC:1226]	5595	0.2190360426902771	0.30000266	Yes	
row_17	MBD6	methyl-CpG binding domain protein 6 [Source:HGNC Symbol;Acc:HGNC:20445]	5865	0.20757822692394257	0.30489275	Yes	
row_18	APH1A	aph-1 homolog A, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:29509]	6658	0.18638131022453308	0.2898577	No	
row_19	SYNGAP1	synaptic Ras GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:11497]	6667	0.18596449494361877	0.30246073	No	
row_20	ZBTB4	zinc finger and BTB domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23847]	7477	0.16774210333824158	0.28553423	No	
