NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLITRK4	SLIT and NTRK like family member 4 [Source:HGNC Symbol;Acc:HGNC:23502]	82	0.9853966236114502	0.010310016	No	
row_1	ETF1	eukaryotic translation termination factor 1 [Source:HGNC Symbol;Acc:HGNC:3477]	83	0.9850785732269287	0.023535158	No	
row_2	STEAP4	STEAP4 metalloreductase [Source:HGNC Symbol;Acc:HGNC:21923]	339	0.7405148148536682	0.024398308	No	
row_3	E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	348	0.7343818545341492	0.03397291	No	
row_4	PHC2	polyhomeotic homolog 2 [Source:HGNC Symbol;Acc:HGNC:3183]	524	0.6610284447669983	0.036617108	No	
row_5	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B [Source:HGNC Symbol;Acc:HGNC:20154]	640	0.6236587166786194	0.040895745	No	
row_6	SRGAP2	SLIT-ROBO Rho GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:19751]	912	0.5584871172904968	0.038745448	No	
row_7	KLHL35	kelch like family member 35 [Source:HGNC Symbol;Acc:HGNC:26597]	1000	0.5402399301528931	0.042901017	No	
row_8	WDFY3	WD repeat and FYVE domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20751]	1198	0.504115879535675	0.042655338	No	
row_9	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:8728]	1339	0.4827844500541687	0.04415261	No	
row_10	KIF1B	kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]	1390	0.47627362608909607	0.048766688	No	
row_11	ZNF410	zinc finger protein 410 [Source:HGNC Symbol;Acc:HGNC:20144]	1457	0.46546080708503723	0.05266596	No	
row_12	PDGFD	platelet derived growth factor D [Source:HGNC Symbol;Acc:HGNC:30620]	1509	0.45818397402763367	0.057001572	No	
row_13	CSNK1A1	casein kinase 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2451]	1828	0.42502710223197937	0.0513862	No	
row_14	AMOT	angiomotin [Source:HGNC Symbol;Acc:HGNC:17810]	1926	0.4147278368473053	0.053500686	No	
row_15	CEP170	centrosomal protein 170 [Source:HGNC Symbol;Acc:HGNC:28920]	2028	0.40642866492271423	0.055361338	No	
row_16	TJP1	tight junction protein 1 [Source:HGNC Symbol;Acc:HGNC:11827]	2087	0.401181697845459	0.058682453	No	
row_17	PRUNE2	prune homolog 2 with BCH domain [Source:HGNC Symbol;Acc:HGNC:25209]	2146	0.39645904302597046	0.061940163	No	
row_18	MLEC	malectin [Source:HGNC Symbol;Acc:HGNC:28973]	2180	0.3935065269470215	0.066048294	No	
row_19	SET	SET nuclear proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10760]	2216	0.38984695076942444	0.07003609	No	
row_20	BMP2K	BMP2 inducible kinase [Source:HGNC Symbol;Acc:HGNC:18041]	2271	0.3849726915359497	0.073281996	No	
row_21	HDAC5	histone deacetylase 5 [Source:HGNC Symbol;Acc:HGNC:14068]	2387	0.3743852972984314	0.07421402	No	
row_22	VEGFD	vascular endothelial growth factor D [Source:HGNC Symbol;Acc:HGNC:3708]	2450	0.36988964676856995	0.07697262	No	
row_23	TRA2B	transformer 2 beta homolog [Source:HGNC Symbol;Acc:HGNC:10781]	2516	0.3652983009815216	0.07956276	No	
row_24	ANTXR2	ANTXR cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:21732]	2597	0.3598114848136902	0.081545204	No	
row_25	BACH1	BTB domain and CNC homolog 1 [Source:HGNC Symbol;Acc:HGNC:935]	2747	0.3480885326862335	0.0809137	No	
row_26	CALML4	calmodulin like 4 [Source:HGNC Symbol;Acc:HGNC:18445]	2757	0.3478555977344513	0.08526341	No	
row_27	APBB2	amyloid beta precursor protein binding family B member 2 [Source:HGNC Symbol;Acc:HGNC:582]	2820	0.3427183926105499	0.08765721	No	
row_28	CHP1	calcineurin like EF-hand protein 1 [Source:HGNC Symbol;Acc:HGNC:17433]	3059	0.328132688999176	0.08358918	No	
row_29	DCP2	decapping mRNA 2 [Source:HGNC Symbol;Acc:HGNC:24452]	3061	0.32806915044784546	0.08795806	No	
row_30	MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]	3079	0.3269606828689575	0.09174242	No	
