NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MSRA	methionine sulfoxide reductase A [Source:HGNC Symbol;Acc:HGNC:7377]	2630	0.35689666867256165	-0.044594396	No	
row_1	GRIP1	glutamate receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:18708]	8702	0.12392640858888626	-0.24189578	No	
row_2	MRAS	muscle RAS oncogene homolog [Source:HGNC Symbol;Acc:HGNC:7227]	8886	0.11674394458532333	-0.23260765	No	
row_3	ARHGEF15	Rho guanine nucleotide exchange factor 15 [Source:HGNC Symbol;Acc:HGNC:15590]	9219	0.1064973846077919	-0.22995333	No	
row_4	ZNF99	zinc finger protein 99 [Source:HGNC Symbol;Acc:HGNC:13175]	9463	0.09763588756322861	-0.22535636	No	
row_5	ZNRF3	zinc and ring finger 3 [Source:HGNC Symbol;Acc:HGNC:18126]	9679	0.08998508751392365	-0.2208038	No	
row_6	ZNF730	zinc finger protein 730 [Source:HGNC Symbol;Acc:HGNC:32470]	12720	-0.004029442556202412	-0.32742357	No	
row_7	ZNF676	zinc finger protein 676 [Source:HGNC Symbol;Acc:HGNC:20429]	14425	-0.05133380740880966	-0.3805706	No	
row_8	OXR1	oxidation resistance 1 [Source:HGNC Symbol;Acc:HGNC:15822]	14550	-0.054713428020477295	-0.3775654	No	
row_9	GPR107	G protein-coupled receptor 107 [Source:HGNC Symbol;Acc:HGNC:17830]	15201	-0.07317434251308441	-0.39061344	No	
row_10	BPTF	bromodomain PHD finger transcription factor [Source:HGNC Symbol;Acc:HGNC:3581]	15816	-0.09054569900035858	-0.40005043	No	
row_11	ZNF468	zinc finger protein 468 [Source:HGNC Symbol;Acc:HGNC:33105]	16261	-0.10205543786287308	-0.4019431	No	
row_12	ZNF493	zinc finger protein 493 [Source:HGNC Symbol;Acc:HGNC:23708]	18311	-0.1592826247215271	-0.45269838	No	
row_13	ZNF107	zinc finger protein 107 [Source:HGNC Symbol;Acc:HGNC:12887]	23106	-0.27254337072372437	-0.5849482	Yes	
row_14	PDCD10	programmed cell death 10 [Source:HGNC Symbol;Acc:HGNC:8761]	24149	-0.311566561460495	-0.57967526	Yes	
row_15	GPR158	G protein-coupled receptor 158 [Source:HGNC Symbol;Acc:HGNC:23689]	24498	-0.3245234787464142	-0.5481913	Yes	
row_16	LNPEP	leucyl and cystinyl aminopeptidase [Source:HGNC Symbol;Acc:HGNC:6656]	25386	-0.36097797751426697	-0.530793	Yes	
row_17	ZNF600	zinc finger protein 600 [Source:HGNC Symbol;Acc:HGNC:30951]	25389	-0.3610227406024933	-0.48219156	Yes	
row_18	ZNF708	zinc finger protein 708 [Source:HGNC Symbol;Acc:HGNC:12945]	25802	-0.3820563554763794	-0.44520733	Yes	
row_19	ZNF728	zinc finger protein 728 [Source:HGNC Symbol;Acc:HGNC:32463]	26862	-0.4570118188858032	-0.4209252	Yes	
row_20	ZNF208	zinc finger protein 208 [Source:HGNC Symbol;Acc:HGNC:12999]	27098	-0.47828081250190735	-0.36472884	Yes	
row_21	ZNF138	zinc finger protein 138 [Source:HGNC Symbol;Acc:HGNC:12922]	27440	-0.5162119269371033	-0.30715534	Yes	
row_22	ZNF732	zinc finger protein 732 [Source:HGNC Symbol;Acc:HGNC:37138]	27777	-0.5759506821632385	-0.24135178	Yes	
row_23	ZNF737	zinc finger protein 737 [Source:HGNC Symbol;Acc:HGNC:32468]	27873	-0.5985705256462097	-0.1640032	Yes	
row_24	ZNF117	zinc finger protein 117 [Source:HGNC Symbol;Acc:HGNC:12897]	28031	-0.6416245698928833	-0.08303577	Yes	
row_25	ZNF28	zinc finger protein 28 [Source:HGNC Symbol;Acc:HGNC:13073]	28182	-0.7103068828582764	0.007437957	Yes	
