NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RHOBTB3	Rho related BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18757]	254	0.7926909923553467	0.045043886	No	
row_1	CREB5	cAMP responsive element binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16844]	418	0.702613890171051	0.08716147	No	
row_2	MXD3	MAX dimerization protein 3 [Source:HGNC Symbol;Acc:HGNC:14008]	1407	0.47299912571907043	0.084528945	No	
row_3	PLB1	phospholipase B1 [Source:HGNC Symbol;Acc:HGNC:30041]	2170	0.3945873975753784	0.08452778	No	
row_4	USP9X	ubiquitin specific peptidase 9 X-linked [Source:HGNC Symbol;Acc:HGNC:12632]	2253	0.386825829744339	0.1079888	No	
row_5	MSRA	methionine sulfoxide reductase A [Source:HGNC Symbol;Acc:HGNC:7377]	2630	0.35689666867256165	0.1190382	No	
row_6	RBMS3	RNA binding motif single stranded interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:13427]	7916	0.15492033958435059	-0.056866445	No	
row_7	ZFPM2	zinc finger protein, FOG family member 2 [Source:HGNC Symbol;Acc:HGNC:16700]	8514	0.13092228770256042	-0.069009505	No	
row_8	SLC25A21	solute carrier family 25 member 21 [Source:HGNC Symbol;Acc:HGNC:14411]	8976	0.11317374557256699	-0.077563554	No	
row_9	PCDHGC3	protocadherin gamma subfamily C, 3 [Source:HGNC Symbol;Acc:HGNC:8716]	10900	0.04930513724684715	-0.14204949	No	
row_10	BRIP1	BRCA1 interacting helicase 1 [Source:HGNC Symbol;Acc:HGNC:20473]	11055	0.04463591426610947	-0.14444174	No	
row_11	HACD1	3-hydroxyacyl-CoA dehydratase 1 [Source:HGNC Symbol;Acc:HGNC:9639]	11541	0.030403217300772667	-0.15948161	No	
row_12	TDRP	testis development related protein [Source:HGNC Symbol;Acc:HGNC:26951]	11901	0.019506383687257767	-0.17081848	No	
row_13	RER1	retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol;Acc:HGNC:30309]	12283	0.008060216903686523	-0.18371134	No	
row_14	ALKBH8	alkB homolog 8, tRNA methyltransferase [Source:HGNC Symbol;Acc:HGNC:25189]	13447	-0.024311067536473274	-0.22308667	No	
row_15	ADCY3	adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234]	14192	-0.04423420876264572	-0.24632198	No	
row_16	ANKIB1	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]	15251	-0.07510456442832947	-0.2785323	No	
row_17	GLO1	glyoxalase I [Source:HGNC Symbol;Acc:HGNC:4323]	15330	-0.07754889875650406	-0.2760009	No	
row_18	BPTF	bromodomain PHD finger transcription factor [Source:HGNC Symbol;Acc:HGNC:3581]	15816	-0.09054569900035858	-0.2869433	No	
row_19	URI1	URI1 prefoldin like chaperone [Source:HGNC Symbol;Acc:HGNC:13236]	15931	-0.09382059425115585	-0.2845734	No	
row_20	EPHA7	EPH receptor A7 [Source:HGNC Symbol;Acc:HGNC:3390]	17282	-0.13072286546230316	-0.32329652	No	
row_21	WAC	WW domain containing adaptor with coiled-coil [Source:HGNC Symbol;Acc:HGNC:17327]	18643	-0.17026738822460175	-0.35967833	No	
row_22	AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16922]	18852	-0.17631977796554565	-0.35500425	No	
row_23	UBFD1	ubiquitin family domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30565]	18949	-0.1788814514875412	-0.3462042	No	
row_24	RIOX2	ribosomal oxygenase 2 [Source:HGNC Symbol;Acc:HGNC:19441]	20001	-0.19537632167339325	-0.36997357	No	
row_25	DAAM1	dishevelled associated activator of morphogenesis 1 [Source:HGNC Symbol;Acc:HGNC:18142]	20307	-0.1990915834903717	-0.36717033	No	
row_26	EMX2	empty spiracles homeobox 2 [Source:HGNC Symbol;Acc:HGNC:3341]	20765	-0.21234279870986938	-0.36882696	No	
row_27	PCDHGA3	protocadherin gamma subfamily A, 3 [Source:HGNC Symbol;Acc:HGNC:8701]	21027	-0.21851739287376404	-0.3631479	No	
row_28	TRAF3	TNF receptor associated factor 3 [Source:HGNC Symbol;Acc:HGNC:12033]	21877	-0.23804287612438202	-0.37688372	No	
row_29	ZNF84	zinc finger protein 84 [Source:HGNC Symbol;Acc:HGNC:13159]	21937	-0.24022553861141205	-0.36259896	No	
row_30	PCDHGB3	protocadherin gamma subfamily B, 3 [Source:HGNC Symbol;Acc:HGNC:8710]	22470	-0.2546526789665222	-0.36401916	No	
row_31	SYNDIG1	synapse differentiation inducing 1 [Source:HGNC Symbol;Acc:HGNC:15885]	22965	-0.2687565088272095	-0.36313778	No	
row_32	PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2 [Source:HGNC Symbol;Acc:HGNC:9288]	24486	-0.32387155294418335	-0.3946996	Yes	
row_33	PCDHGB7	protocadherin gamma subfamily B, 7 [Source:HGNC Symbol;Acc:HGNC:8714]	24839	-0.33862778544425964	-0.3840481	Yes	
row_34	PSG5	pregnancy specific beta-1-glycoprotein 5 [Source:HGNC Symbol;Acc:HGNC:9522]	24981	-0.34425634145736694	-0.36556888	Yes	
row_35	PCDHGA10	protocadherin gamma subfamily A, 10 [Source:HGNC Symbol;Acc:HGNC:8697]	24989	-0.3445475697517395	-0.34234217	Yes	
row_36	PCDHGA2	protocadherin gamma subfamily A, 2 [Source:HGNC Symbol;Acc:HGNC:8700]	25209	-0.3531751334667206	-0.32600722	Yes	
row_37	PCDHGA11	protocadherin gamma subfamily A, 11 [Source:HGNC Symbol;Acc:HGNC:8698]	25641	-0.3736535310745239	-0.31575662	Yes	
row_38	ALG10	ALG10 alpha-1,2-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:23162]	25803	-0.38209402561187744	-0.29540518	Yes	
row_39	PCDHGA1	protocadherin gamma subfamily A, 1 [Source:HGNC Symbol;Acc:HGNC:8696]	26020	-0.39493218064308167	-0.2761195	Yes	
