NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLITRK4	SLIT and NTRK like family member 4 [Source:HGNC Symbol;Acc:HGNC:23502]	82	0.9853966236114502	0.045730177	No	
row_1	JMJD8	jumonji domain containing 8 [Source:HGNC Symbol;Acc:HGNC:14148]	907	0.5596544742584229	0.044250026	No	
row_2	PTPRE	protein tyrosine phosphatase receptor type E [Source:HGNC Symbol;Acc:HGNC:9669]	1091	0.5233166217803955	0.063611716	No	
row_3	SPRED1	sprouty related EVH1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20249]	2152	0.3958250880241394	0.04571355	No	
row_4	SET	SET nuclear proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10760]	2216	0.38984695076942444	0.06272643	No	
row_5	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	3224	0.31978848576545715	0.042947672	No	
row_6	DCBLD2	discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]	4014	0.28171679377555847	0.028988222	No	
row_7	G3BP2	G3BP stress granule assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:30291]	4364	0.2655565142631531	0.029768594	No	
row_8	IL34	interleukin 34 [Source:HGNC Symbol;Acc:HGNC:28529]	4616	0.2557186782360077	0.033524077	No	
row_9	TACC1	transforming acidic coiled-coil containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11522]	4644	0.2546474039554596	0.045136582	No	
row_10	RAB37	RAB37, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30268]	6088	0.20059633255004883	0.0040800944	No	
row_11	YY1	YY1 transcription factor [Source:HGNC Symbol;Acc:HGNC:12856]	6392	0.19157053530216217	0.0028338768	No	
row_12	RHOA	ras homolog family member A [Source:HGNC Symbol;Acc:HGNC:667]	7443	0.16908642649650574	-0.025899902	No	
row_13	SETD3	SET domain containing 3, actin histidine methyltransferase [Source:HGNC Symbol;Acc:HGNC:20493]	7553	0.16443800926208496	-0.021634487	No	
row_14	CADPS	calcium dependent secretion activator [Source:HGNC Symbol;Acc:HGNC:1426]	8656	0.12586314976215363	-0.0543374	No	
row_15	ABCB9	ATP binding cassette subfamily B member 9 [Source:HGNC Symbol;Acc:HGNC:50]	9069	0.11032602190971375	-0.063441746	No	
