NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	7	1.4155610799789429	0.031615544	Yes	
row_1	MFSD14B	major facilitator superfamily domain containing 14B [Source:HGNC Symbol;Acc:HGNC:23376]	22	1.1913444995880127	0.057936236	Yes	
row_2	RBM47	RNA binding motif protein 47 [Source:HGNC Symbol;Acc:HGNC:30358]	40	1.0977951288223267	0.08204496	Yes	
row_3	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	41	1.096213936805725	0.10672007	Yes	
row_4	ETF1	eukaryotic translation termination factor 1 [Source:HGNC Symbol;Acc:HGNC:3477]	83	0.9850785732269287	0.12744175	Yes	
row_5	LRP1	LDL receptor related protein 1 [Source:HGNC Symbol;Acc:HGNC:6692]	95	0.9531129002571106	0.14850622	Yes	
row_6	SQLE	squalene epoxidase [Source:HGNC Symbol;Acc:HGNC:11279]	227	0.8108921051025391	0.1621201	Yes	
row_7	LRRK2	leucine rich repeat kinase 2 [Source:HGNC Symbol;Acc:HGNC:18618]	301	0.7558463215827942	0.17654876	Yes	
row_8	ACACA	acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]	302	0.755825400352478	0.19356194	Yes	
row_9	E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	348	0.7343818545341492	0.20849894	Yes	
row_10	PHC2	polyhomeotic homolog 2 [Source:HGNC Symbol;Acc:HGNC:3183]	524	0.6610284447669983	0.2171814	Yes	
row_11	INPPL1	inositol polyphosphate phosphatase like 1 [Source:HGNC Symbol;Acc:HGNC:6080]	539	0.6568373441696167	0.23147066	Yes	
row_12	DMXL2	Dmx like 2 [Source:HGNC Symbol;Acc:HGNC:2938]	860	0.5696800947189331	0.23296237	Yes	
row_13	SNX27	sorting nexin 27 [Source:HGNC Symbol;Acc:HGNC:20073]	862	0.5683981776237488	0.24572127	Yes	
row_14	ACOT7	acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:HGNC:24157]	887	0.5640259981155396	0.2575673	Yes	
row_15	TRPM2	transient receptor potential cation channel subfamily M member 2 [Source:HGNC Symbol;Acc:HGNC:12339]	980	0.5434616804122925	0.2665425	Yes	
row_16	MGRN1	mahogunin ring finger 1 [Source:HGNC Symbol;Acc:HGNC:20254]	1046	0.530974805355072	0.27619272	Yes	
