NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	7	1.4155610799789429	0.096088625	Yes	
row_1	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	41	1.096213936805725	0.16952682	Yes	
row_2	ETF1	eukaryotic translation termination factor 1 [Source:HGNC Symbol;Acc:HGNC:3477]	83	0.9850785732269287	0.23511943	Yes	
row_3	TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]	107	0.9280051589012146	0.29746306	Yes	
row_4	ILDR2	immunoglobulin like domain containing receptor 2 [Source:HGNC Symbol;Acc:HGNC:18131]	323	0.7495388984680176	0.3408868	Yes	
row_5	SRSF2	serine and arginine rich splicing factor 2 [Source:HGNC Symbol;Acc:HGNC:10783]	667	0.6155884861946106	0.3706783	Yes	
row_6	BANF1	BAF nuclear assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:17397]	2205	0.3909034729003906	0.34305066	Yes	
row_7	CDH9	cadherin 9 [Source:HGNC Symbol;Acc:HGNC:1768]	3086	0.3266451954841614	0.33423108	Yes	
row_8	NRF1	nuclear respiratory factor 1 [Source:HGNC Symbol;Acc:HGNC:7996]	3333	0.3150791823863983	0.346994	Yes	
row_9	CPEB2	cytoplasmic polyadenylation element binding protein 2 [Source:HGNC Symbol;Acc:HGNC:21745]	3531	0.3052988350391388	0.36082023	Yes	
row_10	MAT2A	methionine adenosyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:6904]	3806	0.29149648547172546	0.3709903	Yes	
row_11	EIF3J	eukaryotic translation initiation factor 3 subunit J [Source:HGNC Symbol;Acc:HGNC:3270]	3908	0.28640350699424744	0.3869178	Yes	
row_12	GNAO1	G protein subunit alpha o1 [Source:HGNC Symbol;Acc:HGNC:4389]	4018	0.2813555598258972	0.40221947	Yes	
row_13	ZDHHC9	zinc finger DHHC-type palmitoyltransferase 9 [Source:HGNC Symbol;Acc:HGNC:18475]	4351	0.26615428924560547	0.40861848	Yes	
row_14	COL2A1	collagen type II alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2200]	4531	0.2580729126930237	0.41986585	Yes	
row_15	SRSF8	serine and arginine rich splicing factor 8 [Source:HGNC Symbol;Acc:HGNC:16988]	6854	0.17969821393489838	0.35016727	No	
row_16	TTBK1	tau tubulin kinase 1 [Source:HGNC Symbol;Acc:HGNC:19140]	7418	0.16913241147994995	0.341813	No	
row_17	C1orf21	chromosome 1 open reading frame 21 [Source:HGNC Symbol;Acc:HGNC:15494]	8058	0.14917810261249542	0.32941923	No	
row_18	SMAD6	SMAD family member 6 [Source:HGNC Symbol;Acc:HGNC:6772]	8184	0.14348356425762177	0.33477357	No	
row_19	ZFPM2	zinc finger protein, FOG family member 2 [Source:HGNC Symbol;Acc:HGNC:16700]	8514	0.13092228770256042	0.3320752	No	
row_20	MAGIX	MAGI family member, X-linked [Source:HGNC Symbol;Acc:HGNC:30006]	8533	0.13037170469760895	0.34031254	No	
