NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC25A1	solute carrier family 25 member 1 [Source:HGNC Symbol;Acc:HGNC:10979]	234	0.802857518196106	0.025066951	Yes	
row_1	EGR3	early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]	240	0.8002263307571411	0.058115955	Yes	
row_2	PHC2	polyhomeotic homolog 2 [Source:HGNC Symbol;Acc:HGNC:3183]	524	0.6610284447669983	0.07556279	Yes	
row_3	SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	540	0.6566317677497864	0.10229636	Yes	
row_4	GNB2	G protein subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:4398]	617	0.6318874955177307	0.12584722	Yes	
row_5	TBC1D10B	TBC1 domain family member 10B [Source:HGNC Symbol;Acc:HGNC:24510]	698	0.6063932180404663	0.14819822	Yes	
row_6	B4GALT2	beta-1,4-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:925]	766	0.5902705788612366	0.17033914	Yes	
row_7	RELL2	RELT like 2 [Source:HGNC Symbol;Acc:HGNC:26902]	805	0.5806494951248169	0.19310524	Yes	
row_8	OSR2	odd-skipped related transciption factor 2 [Source:HGNC Symbol;Acc:HGNC:15830]	826	0.5755344033241272	0.21629496	Yes	
row_9	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	944	0.5507965683937073	0.23503023	Yes	
row_10	VCP	valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666]	1147	0.5129956603050232	0.24919268	Yes	
row_11	MYCL	MYCL proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7555]	1200	0.5034335255622864	0.2682581	Yes	
row_12	NEUROD2	neuronal differentiation 2 [Source:HGNC Symbol;Acc:HGNC:7763]	1693	0.43779468536376953	0.26905155	Yes	
row_13	SNX17	sorting nexin 17 [Source:HGNC Symbol;Acc:HGNC:14979]	1924	0.4148215651512146	0.27814844	Yes	
row_14	MINK1	misshapen like kinase 1 [Source:HGNC Symbol;Acc:HGNC:17565]	2473	0.36792486906051636	0.27406222	Yes	
row_15	KCTD15	potassium channel tetramerization domain containing 15 [Source:HGNC Symbol;Acc:HGNC:23297]	2689	0.3529506325721741	0.2811202	Yes	
row_16	TAOK2	TAO kinase 2 [Source:HGNC Symbol;Acc:HGNC:16835]	2989	0.33180445432662964	0.28433222	Yes	
row_17	ATOH8	atonal bHLH transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24126]	3115	0.3246084153652191	0.2933934	Yes	
