NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TRIOBP	TRIO and F-actin binding protein [Source:HGNC Symbol;Acc:HGNC:17009]	127	0.9036102294921875	0.028229835	Yes	
row_1	DPYSL2	dihydropyrimidinase like 2 [Source:HGNC Symbol;Acc:HGNC:3014]	134	0.8981435298919678	0.0605384	Yes	
row_2	ACVR1B	activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]	332	0.744628369808197	0.080537595	Yes	
row_3	NFKBIZ	NFKB inhibitor zeta [Source:HGNC Symbol;Acc:HGNC:29805]	383	0.7142737507820129	0.10463332	Yes	
row_4	PHC2	polyhomeotic homolog 2 [Source:HGNC Symbol;Acc:HGNC:3183]	524	0.6610284447669983	0.12362009	Yes	
row_5	ZYG11B	zyg-11 family member B, cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:25820]	604	0.6361721754074097	0.14386287	Yes	
row_6	DENND5A	DENN domain containing 5A [Source:HGNC Symbol;Acc:HGNC:19344]	843	0.5733124613761902	0.15620981	Yes	
row_7	IPO11	importin 11 [Source:HGNC Symbol;Acc:HGNC:20628]	902	0.5605097413063049	0.17445518	Yes	
row_8	PTPRE	protein tyrosine phosphatase receptor type E [Source:HGNC Symbol;Acc:HGNC:9669]	1091	0.5233166217803955	0.18675905	Yes	
row_9	HOXA5	homeobox A5 [Source:HGNC Symbol;Acc:HGNC:5106]	1137	0.5139384269714355	0.20377761	Yes	
row_10	KIAA0930	KIAA0930 [Source:HGNC Symbol;Acc:HGNC:1314]	1276	0.4917563498020172	0.21670595	Yes	
row_11	HTT	huntingtin [Source:HGNC Symbol;Acc:HGNC:4851]	1701	0.4373264014720917	0.21755494	Yes	
row_12	GAPVD1	GTPase activating protein and VPS9 domains 1 [Source:HGNC Symbol;Acc:HGNC:23375]	1953	0.4130750894546509	0.22364041	Yes	
row_13	ZNRF1	zinc and ring finger 1 [Source:HGNC Symbol;Acc:HGNC:18452]	2096	0.4006994366645813	0.23313032	Yes	
row_14	MAPKAPK2	MAPK activated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:6887]	2459	0.36947980523109436	0.23371403	Yes	
row_15	MINK1	misshapen like kinase 1 [Source:HGNC Symbol;Acc:HGNC:17565]	2473	0.36792486906051636	0.24657665	Yes	
row_16	PCDH19	protocadherin 19 [Source:HGNC Symbol;Acc:HGNC:14270]	2655	0.35546571016311646	0.25305027	Yes	
row_17	MAP3K11	mitogen-activated protein kinase kinase kinase 11 [Source:HGNC Symbol;Acc:HGNC:6850]	3018	0.3304147720336914	0.25221947	Yes	
row_18	DAG1	dystroglycan 1 [Source:HGNC Symbol;Acc:HGNC:2666]	3520	0.30593380331993103	0.24558939	Yes	
row_19	MAP4K2	mitogen-activated protein kinase kinase kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6864]	3554	0.3041398823261261	0.25543556	Yes	
row_20	M6PR	mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]	3643	0.2989865839481354	0.26315117	Yes	
row_21	SERTAD1	SERTA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17932]	3750	0.2939561605453491	0.27004844	Yes	
row_22	FOXO4	forkhead box O4 [Source:HGNC Symbol;Acc:HGNC:7139]	3883	0.2875862121582031	0.2757961	Yes	
row_23	LYPLA2	lysophospholipase 2 [Source:HGNC Symbol;Acc:HGNC:6738]	3967	0.283616304397583	0.2831319	Yes	
row_24	TEX261	testis expressed 261 [Source:HGNC Symbol;Acc:HGNC:30712]	3980	0.2828453481197357	0.29294923	Yes	
row_25	DCBLD2	discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]	4014	0.28171679377555847	0.30198348	Yes	
row_26	RAF1	Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]	4072	0.27864593267440796	0.31005827	Yes	
row_27	CBL	Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541]	4230	0.270997554063797	0.31432167	Yes	
row_28	FAM13A	family with sequence similarity 13 member A [Source:HGNC Symbol;Acc:HGNC:19367]	4454	0.26147839426994324	0.31590766	Yes	
row_29	ZFHX2	zinc finger homeobox 2 [Source:HGNC Symbol;Acc:HGNC:20152]	6181	0.19702504575252533	0.2620372	No	
row_30	NSD2	nuclear receptor binding SET domain protein 2 [Source:HGNC Symbol;Acc:HGNC:12766]	6430	0.189571350812912	0.2601359	No	
row_31	CEP41	centrosomal protein 41 [Source:HGNC Symbol;Acc:HGNC:12370]	6817	0.18203507363796234	0.2530842	No	
row_32	PITPNA	phosphatidylinositol transfer protein alpha [Source:HGNC Symbol;Acc:HGNC:9001]	7496	0.16677764058113098	0.2351595	No	
row_33	SCARA3	scavenger receptor class A member 3 [Source:HGNC Symbol;Acc:HGNC:19000]	7697	0.1625809520483017	0.23397745	No	
row_34	PRKCB	protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]	8013	0.15071867406368256	0.22830129	No	
row_35	SEMA4G	semaphorin 4G [Source:HGNC Symbol;Acc:HGNC:10735]	8040	0.14983469247817993	0.23280767	No	
row_36	DACH1	dachshund family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:2663]	8106	0.1468357890844345	0.23582701	No	
row_37	CENPB	centromere protein B [Source:HGNC Symbol;Acc:HGNC:1852]	8170	0.144012451171875	0.23881482	No	
row_38	DOLPP1	dolichyldiphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:29565]	8236	0.14158593118190765	0.24164408	No	
row_39	GRB10	growth factor receptor bound protein 10 [Source:HGNC Symbol;Acc:HGNC:4564]	8475	0.1327008306980133	0.23803703	No	
