NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRF2BPL	interferon regulatory factor 2 binding protein like [Source:HGNC Symbol;Acc:HGNC:14282]	30	1.1451343297958374	0.023967536	No	
row_1	BCL6	BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]	148	0.8823238611221313	0.039107107	No	
row_2	SOX4	SRY-box transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11200]	510	0.6648942828178406	0.04084645	No	
row_3	EPHB1	EPH receptor B1 [Source:HGNC Symbol;Acc:HGNC:3392]	800	0.5812853574752808	0.04330998	No	
row_4	MAN1A1	mannosidase alpha class 1A member 1 [Source:HGNC Symbol;Acc:HGNC:6821]	924	0.5545670390129089	0.05107268	No	
row_5	PSMA7	proteasome 20S subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:9536]	953	0.5496916174888611	0.062095694	No	
row_6	VCP	valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666]	1147	0.5129956603050232	0.06646885	No	
row_7	SH3KBP1	SH3 domain containing kinase binding protein 1 [Source:HGNC Symbol;Acc:HGNC:13867]	1655	0.441836953163147	0.05815815	No	
row_8	MED13L	mediator complex subunit 13L [Source:HGNC Symbol;Acc:HGNC:22962]	1778	0.42924702167510986	0.063217	No	
row_9	JAG1	jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]	2079	0.4022664725780487	0.061377622	No	
row_10	EFR3A	EFR3 homolog A [Source:HGNC Symbol;Acc:HGNC:28970]	2107	0.39991942048072815	0.0691623	No	
row_11	TMTC4	transmembrane O-mannosyltransferase targeting cadherins 4 [Source:HGNC Symbol;Acc:HGNC:25904]	2189	0.3924836218357086	0.07487064	No	
row_12	UBE2R2	ubiquitin conjugating enzyme E2 R2 [Source:HGNC Symbol;Acc:HGNC:19907]	2200	0.3913329243659973	0.08307013	No	
row_13	GFRA2	GDNF family receptor alpha 2 [Source:HGNC Symbol;Acc:HGNC:4244]	2232	0.3886984586715698	0.09046777	No	
row_14	RUNX1T1	RUNX1 partner transcriptional co-repressor 1 [Source:HGNC Symbol;Acc:HGNC:1535]	2382	0.3746803402900696	0.09337698	No	
row_15	DLX2	distal-less homeobox 2 [Source:HGNC Symbol;Acc:HGNC:2915]	2545	0.3632594048976898	0.09557581	No	
row_16	SLC25A27	solute carrier family 25 member 27 [Source:HGNC Symbol;Acc:HGNC:21065]	2593	0.35996007919311523	0.10177823	No	
row_17	ARNT	aryl hydrocarbon receptor nuclear translocator [Source:HGNC Symbol;Acc:HGNC:700]	2772	0.34652218222618103	0.10304416	No	
row_18	BTBD10	BTB domain containing 10 [Source:HGNC Symbol;Acc:HGNC:21445]	3403	0.31202003359794617	0.08753665	No	
row_19	MYT1L	myelin transcription factor 1 like [Source:HGNC Symbol;Acc:HGNC:7623]	3415	0.31150951981544495	0.09395589	No	
row_20	SGMS1	sphingomyelin synthase 1 [Source:HGNC Symbol;Acc:HGNC:29799]	3451	0.3094494640827179	0.09947951	No	
row_21	C14orf28	chromosome 14 open reading frame 28 [Source:HGNC Symbol;Acc:HGNC:19834]	3742	0.29424697160720825	0.09563342	No	
row_22	EPHA8	EPH receptor A8 [Source:HGNC Symbol;Acc:HGNC:3391]	3812	0.2909882068634033	0.09954852	No	
row_23	NKAIN2	sodium/potassium transporting ATPase interacting 2 [Source:HGNC Symbol;Acc:HGNC:16443]	3818	0.29062700271606445	0.10572395	No	
row_24	KDM1B	lysine demethylase 1B [Source:HGNC Symbol;Acc:HGNC:21577]	4506	0.2596730589866638	0.087052085	No	
row_25	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:HGNC Symbol;Acc:HGNC:12853]	4687	0.25266095995903015	0.086195484	No	
row_26	PTPRZ1	protein tyrosine phosphatase receptor type Z1 [Source:HGNC Symbol;Acc:HGNC:9685]	4727	0.25111010670661926	0.09030215	No	
row_27	RBMS1	RNA binding motif single stranded interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:9907]	5731	0.21351847052574158	0.0594221	No	
row_28	DNAJC13	DnaJ heat shock protein family (Hsp40) member C13 [Source:HGNC Symbol;Acc:HGNC:30343]	6196	0.19631759822368622	0.04726871	No	
row_29	FIGN	fidgetin, microtubule severing factor [Source:HGNC Symbol;Acc:HGNC:13285]	6764	0.18401029706001282	0.031195896	No	
row_30	PRDM1	PR/SET domain 1 [Source:HGNC Symbol;Acc:HGNC:9346]	6815	0.18207372725009918	0.033403683	No	
row_31	LSM12	LSM12 homolog [Source:HGNC Symbol;Acc:HGNC:26407]	7012	0.17748233675956726	0.030336745	No	
row_32	CEP192	centrosomal protein 192 [Source:HGNC Symbol;Acc:HGNC:25515]	7166	0.17073611915111542	0.028646301	No	
row_33	NR2C2	nuclear receptor subfamily 2 group C member 2 [Source:HGNC Symbol;Acc:HGNC:7972]	7471	0.16812321543693542	0.021547172	No	
row_34	PITPNA	phosphatidylinositol transfer protein alpha [Source:HGNC Symbol;Acc:HGNC:9001]	7496	0.16677764058113098	0.024342077	No	
row_35	NIPBL	NIPBL cohesin loading factor [Source:HGNC Symbol;Acc:HGNC:28862]	7760	0.16138704121112823	0.018548781	No	
row_36	PAX2	paired box 2 [Source:HGNC Symbol;Acc:HGNC:8616]	7796	0.15968367457389832	0.020798773	No	
row_37	RBMS3	RNA binding motif single stranded interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:13427]	7916	0.15492033958435059	0.019967614	No	
row_38	NPEPPS	aminopeptidase puromycin sensitive [Source:HGNC Symbol;Acc:HGNC:7900]	7997	0.15148448944091797	0.020443546	No	
row_39	PRKCB	protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]	8013	0.15071867406368256	0.023206396	No	
row_40	ANKS1B	ankyrin repeat and sterile alpha motif domain containing 1B [Source:HGNC Symbol;Acc:HGNC:24600]	8017	0.15062110126018524	0.026392404	No	
row_41	EP300	E1A binding protein p300 [Source:HGNC Symbol;Acc:HGNC:3373]	8096	0.14741486310958862	0.026850263	No	
row_42	NR4A2	nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]	8150	0.14499840140342712	0.028141323	No	
row_43	LMNA	lamin A/C [Source:HGNC Symbol;Acc:HGNC:6636]	8471	0.13279873132705688	0.019703003	No	
row_44	MEIS2	Meis homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7001]	8749	0.12205910682678223	0.01255389	No	
row_45	DUSP10	dual specificity phosphatase 10 [Source:HGNC Symbol;Acc:HGNC:3065]	9188	0.10721054673194885	-6.257701E-4	No	
row_46	STAT5B	signal transducer and activator of transcription 5B [Source:HGNC Symbol;Acc:HGNC:11367]	9346	0.10162855684757233	-0.003968555	No	
row_47	ZMAT2	zinc finger matrin-type 2 [Source:HGNC Symbol;Acc:HGNC:26433]	9631	0.09147346764802933	-0.012034306	No	
row_48	HNRNPA1L2	heterogeneous nuclear ribonucleoprotein A1 like 2 [Source:HGNC Symbol;Acc:HGNC:27067]	9653	0.09082149714231491	-0.010793355	No	
row_49	EIF4G3	eukaryotic translation initiation factor 4 gamma 3 [Source:HGNC Symbol;Acc:HGNC:3298]	10085	0.0764218121767044	-0.02439792	No	
row_50	MARCHF5	membrane associated ring-CH-type finger 5 [Source:HGNC Symbol;Acc:HGNC:26025]	10223	0.071543850004673	-0.02768949	No	
row_51	CIB2	calcium and integrin binding family member 2 [Source:HGNC Symbol;Acc:HGNC:24579]	10314	0.06856437772512436	-0.029380465	No	
row_52	MATR3	matrin 3 [Source:HGNC Symbol;Acc:HGNC:6912]	10348	0.0674932673573494	-0.029074721	No	
row_53	SIAH1	siah E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:10857]	10465	0.06379061192274094	-0.031791504	No	
row_54	GALNT1	polypeptide N-acetylgalactosaminyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4123]	10477	0.06354087591171265	-0.030792456	No	
row_55	PITPNB	phosphatidylinositol transfer protein beta [Source:HGNC Symbol;Acc:HGNC:9002]	10521	0.06228724867105484	-0.030954916	No	
row_56	ABCC5	ATP binding cassette subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:56]	10647	0.0580589585006237	-0.03411595	No	
row_57	CELF2	CUGBP Elav-like family member 2 [Source:HGNC Symbol;Acc:HGNC:2550]	10683	0.057181816548109055	-0.03410648	No	
row_58	ZFP36L1	ZFP36 ring finger protein like 1 [Source:HGNC Symbol;Acc:HGNC:1107]	10744	0.054607704281806946	-0.035039302	No	
row_59	MED26	mediator complex subunit 26 [Source:HGNC Symbol;Acc:HGNC:2376]	10857	0.05069122090935707	-0.037900653	No	
row_60	AGO3	argonaute RISC catalytic component 3 [Source:HGNC Symbol;Acc:HGNC:18421]	10869	0.050181079655885696	-0.037193626	No	
row_61	SEC14L1	SEC14 like lipid binding 1 [Source:HGNC Symbol;Acc:HGNC:10698]	10908	0.04892777279019356	-0.0374709	No	
row_62	FHIP2A	FHF complex subunit HOOK interacting protein 2A [Source:HGNC Symbol;Acc:HGNC:29320]	11064	0.044265393167734146	-0.04199667	No	
row_63	SLBP	stem-loop binding protein [Source:HGNC Symbol;Acc:HGNC:10904]	11121	0.042482033371925354	-0.04305277	No	
row_64	NRG2	neuregulin 2 [Source:HGNC Symbol;Acc:HGNC:7998]	11294	0.037035197019577026	-0.048339073	No	
row_65	ZNF385A	zinc finger protein 385A [Source:HGNC Symbol;Acc:HGNC:17521]	11425	0.033402781933546066	-0.052216258	No	
