NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SIRPA	signal regulatory protein alpha [Source:HGNC Symbol;Acc:HGNC:9662]	14	1.3044480085372925	0.04682544	Yes	
row_1	IRF2BPL	interferon regulatory factor 2 binding protein like [Source:HGNC Symbol;Acc:HGNC:14282]	30	1.1451343297958374	0.08783625	Yes	
row_2	KCNJ2	potassium inwardly rectifying channel subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:6263]	49	1.0740607976913452	0.12616275	Yes	
row_3	PALM2AKAP2	PALM2 and AKAP2 fusion [Source:HGNC Symbol;Acc:HGNC:33529]	124	0.9078922271728516	0.15648197	Yes	
row_4	MAFB	MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]	205	0.8318812847137451	0.1838317	Yes	
row_5	SIRT3	sirtuin 3 [Source:HGNC Symbol;Acc:HGNC:14931]	589	0.6415257453918457	0.19356637	Yes	
row_6	CBX6	chromobox 6 [Source:HGNC Symbol;Acc:HGNC:1556]	881	0.564504861831665	0.2037588	Yes	
row_7	SRGAP2	SLIT-ROBO Rho GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:19751]	912	0.5584871172904968	0.22295816	Yes	
row_8	MAPK14	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]	961	0.5471157431602478	0.24110879	Yes	
row_9	SH3RF1	SH3 domain containing ring finger 1 [Source:HGNC Symbol;Acc:HGNC:17650]	1044	0.5312778353691101	0.25748312	Yes	
row_10	OTUD5	OTU deubiquitinase 5 [Source:HGNC Symbol;Acc:HGNC:25402]	1331	0.4845364987850189	0.26495135	Yes	
row_11	CANX	calnexin [Source:HGNC Symbol;Acc:HGNC:1473]	1460	0.4650804102420807	0.2772984	Yes	
row_12	USP32	ubiquitin specific peptidase 32 [Source:HGNC Symbol;Acc:HGNC:19143]	1900	0.41676947474479675	0.2769004	Yes	
row_13	GCC1	GRIP and coiled-coil domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19095]	2592	0.35997840762138367	0.26553518	Yes	
row_14	PMP22	peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118]	2816	0.3430946469306946	0.27009922	Yes	
row_15	DHRS11	dehydrogenase/reductase 11 [Source:HGNC Symbol;Acc:HGNC:28639]	2824	0.3425017297267914	0.28227642	Yes	
row_16	ELAVL2	ELAV like RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3313]	3421	0.3111760914325714	0.27249864	Yes	
row_17	CNIH1	cornichon family AMPA receptor auxiliary protein 1 [Source:HGNC Symbol;Acc:HGNC:19431]	3736	0.29455748200416565	0.2720855	Yes	
row_18	RREB1	ras responsive element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10449]	3823	0.2904607355594635	0.27958253	Yes	
row_19	FOXO4	forkhead box O4 [Source:HGNC Symbol;Acc:HGNC:7139]	3883	0.2875862121582031	0.28792965	Yes	
row_20	USP47	ubiquitin specific peptidase 47 [Source:HGNC Symbol;Acc:HGNC:20076]	4122	0.27677178382873535	0.28955758	Yes	
row_21	CEP44	centrosomal protein 44 [Source:HGNC Symbol;Acc:HGNC:29356]	4758	0.2494247853755951	0.27616122	No	
row_22	GDA	guanine deaminase [Source:HGNC Symbol;Acc:HGNC:4212]	4929	0.2414001077413559	0.2789095	No	
row_23	SELENOI	selenoprotein I [Source:HGNC Symbol;Acc:HGNC:29361]	5798	0.2108481228351593	0.2558782	No	
row_24	FIGN	fidgetin, microtubule severing factor [Source:HGNC Symbol;Acc:HGNC:13285]	6764	0.18401029706001282	0.2284448	No	
row_25	CYP46A1	cytochrome P450 family 46 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2641]	6849	0.180435910820961	0.23202127	No	
row_26	SLC25A3	solute carrier family 25 member 3 [Source:HGNC Symbol;Acc:HGNC:10989]	7066	0.17488017678260803	0.23073058	No	
row_27	TTBK2	tau tubulin kinase 2 [Source:HGNC Symbol;Acc:HGNC:19141]	7560	0.1640593260526657	0.2192566	No	
row_28	DDX3Y	DEAD-box helicase 3 Y-linked [Source:HGNC Symbol;Acc:HGNC:2699]	7838	0.15800976753234863	0.21519782	No	
row_29	SLC18A2	solute carrier family 18 member A2 [Source:HGNC Symbol;Acc:HGNC:10935]	7931	0.15429797768592834	0.21754333	No	
row_30	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 [Source:HGNC Symbol;Acc:HGNC:1987]	7970	0.15250150859355927	0.22173236	No	
row_31	CTDSPL	CTD small phosphatase like [Source:HGNC Symbol;Acc:HGNC:16890]	8308	0.13865095376968384	0.21485057	No	
row_32	UBE2D3	ubiquitin conjugating enzyme E2 D3 [Source:HGNC Symbol;Acc:HGNC:12476]	9264	0.10480605810880661	0.18489741	No	
row_33	RANBP9	RAN binding protein 9 [Source:HGNC Symbol;Acc:HGNC:13727]	10233	0.07107646018266678	0.15326117	No	
row_34	HIPK1	homeodomain interacting protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:19006]	10487	0.0633569210767746	0.14661705	No	
row_35	CAMK2D	calcium/calmodulin dependent protein kinase II delta [Source:HGNC Symbol;Acc:HGNC:1462]	11497	0.031387727707624435	0.11209188	No	
row_36	BMT2	base methyltransferase of 25S rRNA 2 homolog [Source:HGNC Symbol;Acc:HGNC:26475]	11544	0.030322574079036713	0.11156596	No	
row_37	BICD2	BICD cargo adaptor 2 [Source:HGNC Symbol;Acc:HGNC:17208]	12067	0.014949568547308445	0.09365783	No	
