NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TP53INP2	tumor protein p53 inducible nuclear protein 2 [Source:HGNC Symbol;Acc:HGNC:16104]	614	0.632676362991333	0.03863472	No	
row_1	TWIST1	twist family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:12428]	636	0.6245601177215576	0.0974109	No	
row_2	HOXA4	homeobox A4 [Source:HGNC Symbol;Acc:HGNC:5105]	2910	0.33680036664009094	0.049338084	No	
row_3	MAGED1	MAGE family member D1 [Source:HGNC Symbol;Acc:HGNC:6813]	3623	0.30015137791633606	0.052828737	No	
row_4	FBRS	fibrosin [Source:HGNC Symbol;Acc:HGNC:20442]	3625	0.30003106594085693	0.08138464	No	
row_5	HLTF	helicase like transcription factor [Source:HGNC Symbol;Acc:HGNC:11099]	3712	0.2956209182739258	0.10652235	No	
row_6	ARIH1	ariadne RBR E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:689]	5221	0.23171967267990112	0.075417235	No	
row_7	FST	follistatin [Source:HGNC Symbol;Acc:HGNC:3971]	6688	0.1850406676530838	0.04134522	No	
row_8	PTPN9	protein tyrosine phosphatase non-receptor type 9 [Source:HGNC Symbol;Acc:HGNC:9661]	8777	0.12119746208190918	-0.020748386	No	
row_9	CS	citrate synthase [Source:HGNC Symbol;Acc:HGNC:2422]	9287	0.10407713800668716	-0.028782703	No	
row_10	FEZ2	fasciculation and elongation protein zeta 2 [Source:HGNC Symbol;Acc:HGNC:3660]	10552	0.061188746243715286	-0.0675326	No	
row_11	CELF2	CUGBP Elav-like family member 2 [Source:HGNC Symbol;Acc:HGNC:2550]	10683	0.057181816548109055	-0.06666857	No	
row_12	MED26	mediator complex subunit 26 [Source:HGNC Symbol;Acc:HGNC:2376]	10857	0.05069122090935707	-0.06793965	No	
row_13	TNPO2	transportin 2 [Source:HGNC Symbol;Acc:HGNC:19998]	11065	0.044259361922740936	-0.07102281	No	
row_14	GTF3C4	general transcription factor IIIC subunit 4 [Source:HGNC Symbol;Acc:HGNC:4667]	11352	0.03528137505054474	-0.07774782	No	
row_15	LYSMD1	LysM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:32070]	11609	0.028408870100975037	-0.084069654	No	
row_16	SNAP25	synaptosome associated protein 25 [Source:HGNC Symbol;Acc:HGNC:11132]	11935	0.01867763139307499	-0.093752414	No	
row_17	BCL2L2	BCL2 like 2 [Source:HGNC Symbol;Acc:HGNC:995]	12533	0.0016310110222548246	-0.11465296	No	
row_18	CBX8	chromobox 8 [Source:HGNC Symbol;Acc:HGNC:15962]	12781	-0.005587875843048096	-0.122832075	No	
row_19	RNF40	ring finger protein 40 [Source:HGNC Symbol;Acc:HGNC:16867]	14055	-0.04117004945874214	-0.16380706	No	
row_20	AEBP2	AE binding protein 2 [Source:HGNC Symbol;Acc:HGNC:24051]	16459	-0.10759152472019196	-0.23830716	No	
row_21	ARGLU1	arginine and glutamate rich 1 [Source:HGNC Symbol;Acc:HGNC:25482]	16940	-0.12058669328689575	-0.2437454	No	
row_22	SLC39A10	solute carrier family 39 member 10 [Source:HGNC Symbol;Acc:HGNC:20861]	17861	-0.14637057483196259	-0.26224524	No	
row_23	RBM3	RNA binding motif protein 3 [Source:HGNC Symbol;Acc:HGNC:9900]	19005	-0.18048450350761414	-0.28535932	No	
row_24	SMC1A	structural maintenance of chromosomes 1A [Source:HGNC Symbol;Acc:HGNC:11111]	20472	-0.20426267385482788	-0.3175996	No	
row_25	HOXB9	homeobox B9 [Source:HGNC Symbol;Acc:HGNC:5120]	22584	-0.25773394107818604	-0.3674933	Yes	
row_26	ILF3	interleukin enhancer binding factor 3 [Source:HGNC Symbol;Acc:HGNC:6038]	23175	-0.27518972754478455	-0.36207846	Yes	
row_27	METTL5	methyltransferase 5, N6-adenosine [Source:HGNC Symbol;Acc:HGNC:25006]	23437	-0.28326934576034546	-0.34428996	Yes	
row_28	PAPPA	pappalysin 1 [Source:HGNC Symbol;Acc:HGNC:8602]	23735	-0.2943543791770935	-0.3267148	Yes	
row_29	HMGN3	high mobility group nucleosomal binding domain 3 [Source:HGNC Symbol;Acc:HGNC:12312]	24033	-0.30680927634239197	-0.30795282	Yes	
row_30	PKNOX1	PBX/knotted 1 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9022]	24070	-0.30810829997062683	-0.27986163	Yes	
row_31	YPEL1	yippee like 1 [Source:HGNC Symbol;Acc:HGNC:12845]	24385	-0.3202146589756012	-0.26042175	Yes	
row_32	PABIR1	PP2A Aalpha (PPP2R1A) and B55A (PPP2R2A) interacting phosphatase regulator 1 [Source:HGNC Symbol;Acc:HGNC:23490]	25376	-0.3602595031261444	-0.2610081	Yes	
row_33	MSTN	myostatin [Source:HGNC Symbol;Acc:HGNC:4223]	25518	-0.3671746551990509	-0.23099159	Yes	
row_34	RND3	Rho family GTPase 3 [Source:HGNC Symbol;Acc:HGNC:671]	25609	-0.37195485830307007	-0.19872078	Yes	
row_35	ING3	inhibitor of growth family member 3 [Source:HGNC Symbol;Acc:HGNC:14587]	26475	-0.42540645599365234	-0.18869032	Yes	
row_36	CUL3	cullin 3 [Source:HGNC Symbol;Acc:HGNC:2553]	26578	-0.4340997040271759	-0.15092072	Yes	
row_37	DCX	doublecortin [Source:HGNC Symbol;Acc:HGNC:2714]	26657	-0.4407280683517456	-0.111673	Yes	
row_38	SECISBP2L	SECIS binding protein 2 like [Source:HGNC Symbol;Acc:HGNC:28997]	27488	-0.5241532325744629	-0.09099813	Yes	
row_39	PLEKHA3	pleckstrin homology domain containing A3 [Source:HGNC Symbol;Acc:HGNC:14338]	27734	-0.5678850412368774	-0.045523137	Yes	
row_40	TMEM117	transmembrane protein 117 [Source:HGNC Symbol;Acc:HGNC:25308]	28204	-0.721248984336853	0.0066661243	Yes	
