NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOX12	SRY-box transcription factor 12 [Source:HGNC Symbol;Acc:HGNC:11198]	1321	0.4858051538467407	-0.030733377	No	
row_1	PSMD11	proteasome 26S subunit, non-ATPase 11 [Source:HGNC Symbol;Acc:HGNC:9556]	1416	0.4713696837425232	-0.018506402	No	
row_2	TNPO1	transportin 1 [Source:HGNC Symbol;Acc:HGNC:6401]	1624	0.44477689266204834	-0.011157243	No	
row_3	KPNA1	karyopherin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6394]	2846	0.3403916656970978	-0.043149017	No	
row_4	CPEB2	cytoplasmic polyadenylation element binding protein 2 [Source:HGNC Symbol;Acc:HGNC:21745]	3531	0.3052988350391388	-0.05728862	No	
row_5	SERTAD1	SERTA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17932]	3750	0.2939561605453491	-0.055305775	No	
row_6	MAEL	maelstrom spermatogenic transposon silencer [Source:HGNC Symbol;Acc:HGNC:25929]	3780	0.29254841804504395	-0.046678644	No	
row_7	DGCR2	DiGeorge syndrome critical region gene 2 [Source:HGNC Symbol;Acc:HGNC:2845]	3837	0.28994059562683105	-0.039093386	No	
row_8	ABCC3	ATP binding cassette subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:54]	4191	0.2730417251586914	-0.042579792	No	
row_9	G3BP2	G3BP stress granule assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:30291]	4364	0.2655565142631531	-0.039905667	No	
row_10	EFNA3	ephrin A3 [Source:HGNC Symbol;Acc:HGNC:3223]	4569	0.25736939907073975	-0.03863453	No	
row_11	TACC1	transforming acidic coiled-coil containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11522]	4644	0.2546474039554596	-0.032851122	No	
row_12	HERC2P9	HERC2 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:30495]	4731	0.25081801414489746	-0.027618887	No	
row_13	NOTCH2	notch receptor 2 [Source:HGNC Symbol;Acc:HGNC:7882]	4746	0.2500084638595581	-0.019864513	No	
