NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
TTGGGAG_MIR150	TTGGGAG_MIR150	Details ...	90	0.3728778	1.6801728	0.0	0.42924577	0.196	5007	tags=31%, list=18%, signal=38%	
GGGGCCC_MIR296	GGGGCCC_MIR296	Details ...	66	0.39251384	1.5423087	0.03359684	0.7851991	0.401	8198	tags=50%, list=29%, signal=70%	
GAGCCTG_MIR484	GAGCCTG_MIR484	Details ...	101	0.31590766	1.5289431	0.016393442	0.58341795	0.417	4454	tags=29%, list=16%, signal=34%	
TTCCGTT_MIR191	TTCCGTT_MIR191	Details ...	28	0.42569277	1.5271171	0.052742615	0.444169	0.422	2087	tags=25%, list=7%, signal=27%	
ATGAAGG_MIR205	ATGAAGG_MIR205	Details ...	154	0.31860757	1.4947392	0.04423077	0.4562207	0.48	1648	tags=15%, list=6%, signal=16%	
TCTCTCC_MIR185	TCTCTCC_MIR185	Details ...	108	0.32880852	1.4912759	0.024761904	0.38932127	0.483	3806	tags=25%, list=13%, signal=29%	
CAGTCAC_MIR134	CAGTCAC_MIR134	Details ...	52	0.41986585	1.4889871	0.052529182	0.33829802	0.486	4531	tags=29%, list=16%, signal=34%	
CCAGGGG_MIR331	CCAGGGG_MIR331	Details ...	92	0.34053737	1.4685916	0.058708414	0.34257916	0.521	4529	tags=28%, list=16%, signal=34%	
GCGCTTT_MIR518B_MIR518C_MIR518D	GCGCTTT_MIR518B_MIR518C_MIR518D	Details ...	16	0.47308096	1.4666824	0.045801528	0.3081031	0.524	4153	tags=38%, list=15%, signal=44%	
CTGAGCC_MIR24	CTGAGCC_MIR24	Details ...	219	0.282416	1.4558486	0.036885247	0.2999108	0.541	4160	tags=22%, list=15%, signal=25%	
CCATCCA_MIR432	CCATCCA_MIR432	Details ...	56	0.38323945	1.454762	0.05	0.27454874	0.542	1452	tags=16%, list=5%, signal=17%	
CTCTGGA_MIR520A_MIR525	CTCTGGA_MIR520A_MIR525	Details ...	150	0.28300032	1.4353518	0.040618956	0.28730777	0.576	2949	tags=19%, list=10%, signal=21%	
CCACACA_MIR147	CCACACA_MIR147	Details ...	61	0.3928645	1.4130374	0.099804305	0.30615985	0.613	4160	tags=38%, list=15%, signal=44%	
GAGCTGG_MIR337	GAGCTGG_MIR337	Details ...	158	0.27570075	1.3897619	0.092402466	0.32655868	0.643	4539	tags=25%, list=16%, signal=30%	
TCTGGAC_MIR198	TCTGGAC_MIR198	Details ...	82	0.26943356	1.3801808	0.03777336	0.3244287	0.665	2655	tags=20%, list=9%, signal=21%	
CTCAGGG_MIR125B_MIR125A	CTCAGGG_MIR125B_MIR125A	Details ...	319	0.25967643	1.3458419	0.070103094	0.37119168	0.724	4666	tags=24%, list=16%, signal=29%	
AAGGGAT_MIR188	AAGGGAT_MIR188	Details ...	74	0.28208315	1.3443534	0.09690721	0.35236502	0.725	1008	tags=12%, list=4%, signal=13%	
GTGTTGA_MIR505	GTGTTGA_MIR505	Details ...	102	0.28955758	1.3048714	0.1456693	0.41013035	0.776	4122	tags=21%, list=15%, signal=24%	
TCCCCAC_MIR491	TCCCCAC_MIR491	Details ...	57	0.30489275	1.2740933	0.13157895	0.46118304	0.814	5865	tags=32%, list=21%, signal=40%	
TCCAGAT_MIR5165P	TCCAGAT_MIR5165P	Details ...	107	0.27144653	1.2664114	0.18431373	0.45523155	0.822	6430	tags=31%, list=23%, signal=40%	
