NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	65	1.025398850440979	0.11245032	Yes	
row_1	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	471	0.6807648539543152	0.17434777	Yes	
row_2	DUSP5-DT	DUSP5 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55154]	1666	0.4407302439212799	0.18156545	Yes	
row_3	TATDN3	TatD DNase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:27010]	1890	0.41755351424217224	0.22042681	Yes	
row_4	DUSP5	dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071]	1901	0.41669610142707825	0.26670253	Yes	
row_5	HOOK2	hook microtubule tethering protein 2 [Source:HGNC Symbol;Acc:HGNC:19885]	1978	0.4109441936016083	0.31000748	Yes	
row_6	PKM	pyruvate kinase M1/2 [Source:HGNC Symbol;Acc:HGNC:9021]	2897	0.33752840757369995	0.31540853	Yes	
row_7	NR4A1	nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]	3673	0.29760104417800903	0.32138386	Yes	
row_8	MAT2A	methionine adenosyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:6904]	3806	0.29149648547172546	0.34934804	Yes	
row_9	H2BC5	H2B clustered histone 5 [Source:HGNC Symbol;Acc:HGNC:4747]	4206	0.2724578380584717	0.36576748	Yes	
row_10	VMP1	vacuole membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:29559]	4229	0.2710612118244171	0.39532354	Yes	
row_11	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	4360	0.265724241733551	0.42047435	Yes	
row_12	H2BC18	H2B clustered histone 18 [Source:HGNC Symbol;Acc:HGNC:24700]	5610	0.21794459223747253	0.400823	No	
row_13	ILF2	interleukin enhancer binding factor 2 [Source:HGNC Symbol;Acc:HGNC:6037]	7517	0.16592943668365479	0.35218555	No	
row_14	SNORD12C	small nucleolar RNA, C/D box 12C [Source:HGNC Symbol;Acc:HGNC:10105]	8195	0.14298568665981293	0.34431484	No	
row_15	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	9387	0.1001671701669693	0.31352928	No	
row_16	ZNFX1	zinc finger NFX1-type containing 1 [Source:HGNC Symbol;Acc:HGNC:29271]	9388	0.1001473069190979	0.32473576	No	
row_17	C12orf57	chromosome 12 open reading frame 57 [Source:HGNC Symbol;Acc:HGNC:29521]	9948	0.08084040880203247	0.31407166	No	
row_18	ACTG1	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]	10479	0.06347881257534027	0.30248728	No	
row_19	CSKMT	citrate synthase lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:33113]	10504	0.06284888088703156	0.30867386	No	
row_20	EEF1A1	eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189]	12285	0.008016836829483509	0.24680871	No	
row_21	SCRIB	scribble planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:30377]	14076	-0.041460756212472916	0.18833332	No	
row_22	ABCA7	ATP binding cassette subfamily A member 7 [Source:HGNC Symbol;Acc:HGNC:37]	15190	-0.07277785986661911	0.15723313	No	
row_23	DVL2	dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]	15927	-0.0936395600438118	0.14176027	No	
row_24	TM4SF1-AS1	TM4SF1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40587]	16067	-0.09729920327663422	0.14774697	No	
row_25	C11orf98	chromosome 11 open reading frame 98 [Source:HGNC Symbol;Acc:HGNC:51238]	17256	-0.12999773025512695	0.12040522	No	
row_26	RNVU1-14	RNA, variant U1 small nuclear 14 [Source:HGNC Symbol;Acc:HGNC:48319]	18301	-0.15901178121566772	0.10138753	No	
row_27	MALAT1	metastasis associated lung adenocarcinoma transcript 1 [Source:HGNC Symbol;Acc:HGNC:29665]	18851	-0.1763145923614502	0.101759575	No	
row_28	SNORA57	small nucleolar RNA, H/ACA box 57 [Source:HGNC Symbol;Acc:HGNC:32651]	20422	-0.2026768922805786	0.069081426	No	
row_29	LINC02709	long intergenic non-protein coding RNA 2709 [Source:HGNC Symbol;Acc:HGNC:54226]	25779	-0.38047686219215393	-0.07719407	No	
row_30	SEMA4B	semaphorin 4B [Source:HGNC Symbol;Acc:HGNC:10730]	26892	-0.45973020792007446	-0.064959005	No	
row_31	RNVU1-27	RNA, variant U1 small nuclear 27 [Source:HGNC Symbol;Acc:HGNC:54431]	27088	-0.4776737093925476	-0.018382926	No	
row_32	ZFAS1	ZNFX1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:33101]	27774	-0.5751701593399048	0.021825768	No	
