NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TSPO	translocator protein [Source:HGNC Symbol;Acc:HGNC:1158]	67	1.0214101076126099	0.048711825	Yes	
row_1	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]	233	0.803009033203125	0.0830426	Yes	
row_2	NOD2	nucleotide binding oligomerization domain containing 2 [Source:HGNC Symbol;Acc:HGNC:5331]	320	0.7506387829780579	0.117543384	Yes	
row_3	FRRS1	ferric chelate reductase 1 [Source:HGNC Symbol;Acc:HGNC:27622]	400	0.7082553505897522	0.15017185	Yes	
row_4	SDC3	syndecan 3 [Source:HGNC Symbol;Acc:HGNC:10660]	489	0.6752430200576782	0.18083175	Yes	
row_5	ACAD11	acyl-CoA dehydrogenase family member 11 [Source:HGNC Symbol;Acc:HGNC:30211]	495	0.6711774468421936	0.21421842	Yes	
row_6	SLC11A2	solute carrier family 11 member 2 [Source:HGNC Symbol;Acc:HGNC:10908]	598	0.638611912727356	0.24255231	Yes	
row_7	DOCK4	dedicator of cytokinesis 4 [Source:HGNC Symbol;Acc:HGNC:19192]	758	0.5919685959815979	0.2665415	Yes	
row_8	DENND5A	DENN domain containing 5A [Source:HGNC Symbol;Acc:HGNC:19344]	843	0.5733124613761902	0.29224545	Yes	
row_9	SCARF1	scavenger receptor class F member 1 [Source:HGNC Symbol;Acc:HGNC:16820]	1494	0.4609449803829193	0.29234937	Yes	
row_10	SPAG6	sperm associated antigen 6 [Source:HGNC Symbol;Acc:HGNC:11215]	2615	0.3582645356655121	0.27072665	Yes	
row_11	TLN1	talin 1 [Source:HGNC Symbol;Acc:HGNC:11845]	2646	0.35599711537361145	0.2874697	Yes	
row_12	ISCA1	iron-sulfur cluster assembly 1 [Source:HGNC Symbol;Acc:HGNC:28660]	2947	0.3343171775341034	0.29359713	Yes	
row_13	PSMA4	proteasome 20S subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:9533]	4663	0.2536998391151428	0.2457408	No	
row_14	MROH1	maestro heat like repeat family member 1 [Source:HGNC Symbol;Acc:HGNC:26958]	4775	0.24843139946460724	0.25424543	No	
