NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H3C12	H3 clustered histone 12 [Source:HGNC Symbol;Acc:HGNC:4774]	271	0.7801637649536133	0.071377926	Yes	
row_1	H2BC6	H2B clustered histone 6 [Source:HGNC Symbol;Acc:HGNC:4753]	580	0.6430683135986328	0.1272287	Yes	
row_2	TRIM7	tripartite motif containing 7 [Source:HGNC Symbol;Acc:HGNC:16278]	741	0.5966716408729553	0.18348543	Yes	
row_3	H3C1	H3 clustered histone 1 [Source:HGNC Symbol;Acc:HGNC:4766]	827	0.5755157470703125	0.24019228	Yes	
row_4	H2BC17	H2B clustered histone 17 [Source:HGNC Symbol;Acc:HGNC:4758]	1023	0.5364824533462524	0.28897068	Yes	
row_5	H2AC4	H2A clustered histone 4 [Source:HGNC Symbol;Acc:HGNC:4734]	1081	0.5248043537139893	0.3414041	Yes	
row_6	GRK6	G protein-coupled receptor kinase 6 [Source:HGNC Symbol;Acc:HGNC:4545]	2404	0.3728245496749878	0.33346125	Yes	
row_7	HOXA9	homeobox A9 [Source:HGNC Symbol;Acc:HGNC:5109]	2827	0.3422619700431824	0.35408604	Yes	
row_8	F12	coagulation factor XII [Source:HGNC Symbol;Acc:HGNC:3530]	2984	0.3322940468788147	0.38305715	Yes	
row_9	ANXA2R-OT1	ANXA2R overlapping transcript 1 [Source:HGNC Symbol;Acc:HGNC:48996]	3388	0.3128066956996918	0.40129623	Yes	
row_10	H2AC17	H2A clustered histone 17 [Source:HGNC Symbol;Acc:HGNC:4735]	4035	0.2806994318962097	0.40763518	Yes	
row_11	H2BC5	H2B clustered histone 5 [Source:HGNC Symbol;Acc:HGNC:4747]	4206	0.2724578380584717	0.42990515	Yes	
row_12	ENC1	ectodermal-neural cortex 1 [Source:HGNC Symbol;Acc:HGNC:3345]	4448	0.2617800831794739	0.44856358	Yes	
row_13	UNC45A	unc-45 myosin chaperone A [Source:HGNC Symbol;Acc:HGNC:30594]	4561	0.2577710449695587	0.47135526	Yes	
row_14	LURAP1L-AS1	LURAP1L antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49761]	4998	0.2395436316728592	0.48083025	Yes	
row_15	H2AC15	H2A clustered histone 15 [Source:HGNC Symbol;Acc:HGNC:4726]	8812	0.1197083592414856	0.35878474	No	
row_16	H1-4	H1.4 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4718]	10625	0.05869979411363602	0.30097473	No	
row_17	H3-3A	H3.3 histone A [Source:HGNC Symbol;Acc:HGNC:4764]	11218	0.03942837566137314	0.28418836	No	
row_18	TMEM62	transmembrane protein 62 [Source:HGNC Symbol;Acc:HGNC:26269]	13045	-0.01260077953338623	0.2211023	No	
row_19	RBBP8	RB binding protein 8, endonuclease [Source:HGNC Symbol;Acc:HGNC:9891]	13178	-0.016424324363470078	0.21815123	No	
row_20	TNRC18	trinucleotide repeat containing 18 [Source:HGNC Symbol;Acc:HGNC:11962]	13335	-0.020673342049121857	0.2147946	No	
row_21	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	13467	-0.024871354922652245	0.21275511	No	
row_22	H2BC9	H2B clustered histone 9 [Source:HGNC Symbol;Acc:HGNC:4755]	13731	-0.03231222555041313	0.20683259	No	
row_23	H3C6	H3 clustered histone 6 [Source:HGNC Symbol;Acc:HGNC:4769]	16002	-0.09557293355464935	0.1366966	No	
row_24	SLC7A11	solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059]	16078	-0.09755530953407288	0.1441722	No	
row_25	SNORD118	small nucleolar RNA, C/D box 118 [Source:HGNC Symbol;Acc:HGNC:32952]	17310	-0.13147415220737457	0.11440062	No	
row_26	PCDH1	protocadherin 1 [Source:HGNC Symbol;Acc:HGNC:8655]	17786	-0.1443932056427002	0.11262934	No	
row_27	CRAMP1	cramped chromatin regulator homolog 1 [Source:HGNC Symbol;Acc:HGNC:14122]	18517	-0.16574542224407196	0.10408066	No	
row_28	ZFP62	ZFP62 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:23241]	19051	-0.1821892261505127	0.10418502	No	
row_29	MSL2	MSL complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:25544]	19871	-0.19445841014385223	0.09547649	No	
row_30	HOXB8	homeobox B8 [Source:HGNC Symbol;Acc:HGNC:5119]	20596	-0.2084742784500122	0.09157213	No	
row_31	HMGN4	high mobility group nucleosomal binding domain 4 [Source:HGNC Symbol;Acc:HGNC:4989]	21026	-0.21851657330989838	0.09911262	No	
row_32	SETD9	SET domain containing 9 [Source:HGNC Symbol;Acc:HGNC:28508]	21868	-0.2376667708158493	0.09411074	No	
row_33	IFT140	intraflagellar transport 140 [Source:HGNC Symbol;Acc:HGNC:29077]	21908	-0.23911815881729126	0.11754168	No	
row_34	H2BC15	H2B clustered histone 15 [Source:HGNC Symbol;Acc:HGNC:4749]	22753	-0.26277804374694824	0.11503905	No	
row_35	PAXIP1-AS2	PAXIP1 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:48958]	25397	-0.3613593280315399	0.059322186	No	
row_36	RNY4	RNA, Ro60-associated Y4 [Source:HGNC Symbol;Acc:HGNC:10244]	26730	-0.44626083970069885	0.05864502	No	
