NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FAM20C	FAM20C golgi associated secretory pathway kinase [Source:HGNC Symbol;Acc:HGNC:22140]	33	1.1253185272216797	0.016934603	Yes	
row_1	THRA	thyroid hormone receptor alpha [Source:HGNC Symbol;Acc:HGNC:11796]	283	0.7712920904159546	0.020495864	Yes	
row_2	CDK2AP2	cyclin dependent kinase 2 associated protein 2 [Source:HGNC Symbol;Acc:HGNC:30833]	291	0.7630802392959595	0.032525763	Yes	
row_3	KDELR3	KDEL endoplasmic reticulum protein retention receptor 3 [Source:HGNC Symbol;Acc:HGNC:6306]	416	0.7029261589050293	0.039429497	Yes	
row_4	SHC1	SHC adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:10840]	467	0.6828067302703857	0.04863948	Yes	
row_5	ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16925]	511	0.6647700667381287	0.057808023	Yes	
row_6	SMPDL3A	sphingomyelin phosphodiesterase acid like 3A [Source:HGNC Symbol;Acc:HGNC:17389]	538	0.6568423509597778	0.06745318	Yes	
row_7	NT5DC2	5'-nucleotidase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25717]	658	0.6186684966087341	0.073178835	Yes	
row_8	SRSF2	serine and arginine rich splicing factor 2 [Source:HGNC Symbol;Acc:HGNC:10783]	667	0.6155884861946106	0.08279991	Yes	
row_9	PDE6D	phosphodiesterase 6D [Source:HGNC Symbol;Acc:HGNC:8788]	776	0.5880366563796997	0.08842362	Yes	
row_10	GBA1	glucosylceramidase beta 1 [Source:HGNC Symbol;Acc:HGNC:4177]	814	0.5785794258117676	0.09641851	Yes	
row_11	ZFAND5	zinc finger AN1-type containing 5 [Source:HGNC Symbol;Acc:HGNC:13008]	856	0.5713580250740051	0.10415504	Yes	
row_12	RAB4B-EGLN2	RAB4B-EGLN2 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:44465]	1029	0.5345509648323059	0.10664353	Yes	
row_13	CKS1B	CDC28 protein kinase regulatory subunit 1B [Source:HGNC Symbol;Acc:HGNC:19083]	1053	0.5304549336433411	0.114361614	Yes	
row_14	TBC1D13	TBC1 domain family member 13 [Source:HGNC Symbol;Acc:HGNC:25571]	1115	0.5180307030677795	0.12052926	Yes	
row_15	MTHFR	methylenetetrahydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:7436]	1154	0.5118983387947083	0.12741564	Yes	
row_16	PPP6R1	protein phosphatase 6 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:29195]	1311	0.4878195524215698	0.12972082	Yes	
row_17	GNG8	G protein subunit gamma 8 [Source:HGNC Symbol;Acc:HGNC:19664]	1327	0.4848564565181732	0.13698952	Yes	
row_18	KIF1B	kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]	1390	0.47627362608909607	0.1424497	Yes	
row_19	SBNO2	strawberry notch homolog 2 [Source:HGNC Symbol;Acc:HGNC:29158]	1396	0.47473305463790894	0.1499109	Yes	
row_20	NDUFAF3	NADH:ubiquinone oxidoreductase complex assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:29918]	1414	0.47164836525917053	0.15689598	Yes	
row_21	RARA	retinoic acid receptor alpha [Source:HGNC Symbol;Acc:HGNC:9864]	1427	0.4701244831085205	0.16403425	Yes	
row_22	CANX	calnexin [Source:HGNC Symbol;Acc:HGNC:1473]	1460	0.4650804102420807	0.17038053	Yes	
row_23	NCKAP5L	NCK associated protein 5 like [Source:HGNC Symbol;Acc:HGNC:29321]	1547	0.4537217617034912	0.17462488	Yes	
row_24	SAP30L	SAP30 like [Source:HGNC Symbol;Acc:HGNC:25663]	1692	0.43801283836364746	0.1765551	Yes	
row_25	MED13L	mediator complex subunit 13L [Source:HGNC Symbol;Acc:HGNC:22962]	1778	0.42924702167510986	0.18044116	Yes	
row_26	UQCC5	ubiquinol-cytochrome c reductase complex assembly factor 5 [Source:HGNC Symbol;Acc:HGNC:37257]	1829	0.42494744062423706	0.18550193	Yes	
row_27	PPIB	peptidylprolyl isomerase B [Source:HGNC Symbol;Acc:HGNC:9255]	1832	0.42470669746398926	0.19226478	Yes	
row_28	MAPRE3	microtubule associated protein RP/EB family member 3 [Source:HGNC Symbol;Acc:HGNC:6892]	1889	0.4175736904144287	0.19699368	Yes	
row_29	STARD7	StAR related lipid transfer domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18063]	2026	0.40667083859443665	0.1987039	Yes	
row_30	COTL1	coactosin like F-actin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:18304]	2036	0.40602031350135803	0.20491728	Yes	
row_31	HDGFL2	HDGF like 2 [Source:HGNC Symbol;Acc:HGNC:14680]	2074	0.4027414321899414	0.21008278	Yes	
row_32	USP9X	ubiquitin specific peptidase 9 X-linked [Source:HGNC Symbol;Acc:HGNC:12632]	2253	0.386825829744339	0.20998098	Yes	
