NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALAS1	5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]	303	0.7557880878448486	0.023100957	Yes	
row_1	HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	394	0.7110720872879028	0.05172868	Yes	
row_2	SHC1	SHC adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:10840]	467	0.6828067302703857	0.07972811	Yes	
row_3	CKS1B	CDC28 protein kinase regulatory subunit 1B [Source:HGNC Symbol;Acc:HGNC:19083]	1053	0.5304549336433411	0.08278394	Yes	
row_4	LINC02324	long intergenic non-protein coding RNA 2324 [Source:HGNC Symbol;Acc:HGNC:53244]	1062	0.527435839176178	0.10609485	Yes	
row_5	RAB5IF	RAB5 interacting factor [Source:HGNC Symbol;Acc:HGNC:15870]	1265	0.49311763048171997	0.12101501	Yes	
row_6	STIP1	stress induced phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11387]	1363	0.4799825847148895	0.13905811	Yes	
row_7	NRSN2	neurensin 2 [Source:HGNC Symbol;Acc:HGNC:16229]	1543	0.45419779419898987	0.15305007	Yes	
row_8	KRBA2	KRAB-A domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26989]	1551	0.45338740944862366	0.17308393	Yes	
row_9	AHSA1	activator of HSP90 ATPase activity 1 [Source:HGNC Symbol;Acc:HGNC:1189]	1659	0.4413872957229614	0.18904719	Yes	
row_10	HSP90AA1	heat shock protein 90 alpha family class A member 1 [Source:HGNC Symbol;Acc:HGNC:5253]	1681	0.439628928899765	0.20797086	Yes	
row_11	FASTKD5	FAST kinase domains 5 [Source:HGNC Symbol;Acc:HGNC:25790]	1818	0.42595672607421875	0.22221905	Yes	
row_12	CACYBP	calcyclin binding protein [Source:HGNC Symbol;Acc:HGNC:30423]	1822	0.42532607913017273	0.24113902	Yes	
row_13	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]	1905	0.4162857234477997	0.25686288	Yes	
row_14	LINC01127	long intergenic non-protein coding RNA 1127 [Source:HGNC Symbol;Acc:HGNC:49292]	2174	0.39411383867263794	0.265022	Yes	
row_15	UBB	ubiquitin B [Source:HGNC Symbol;Acc:HGNC:12463]	2261	0.3863016963005066	0.27926323	Yes	
row_16	HIKESHI	heat shock protein nuclear import factor hikeshi [Source:HGNC Symbol;Acc:HGNC:26938]	2389	0.37408217787742615	0.29150897	Yes	
