NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GRN	granulin precursor [Source:HGNC Symbol;Acc:HGNC:4601]	54	1.0564426183700562	0.045248963	No	
row_1	HSPA6	heat shock protein family A (Hsp70) member 6 [Source:HGNC Symbol;Acc:HGNC:5239]	166	0.8657358288764954	0.07997284	No	
row_2	LRP3	LDL receptor related protein 3 [Source:HGNC Symbol;Acc:HGNC:6695]	237	0.8017541766166687	0.11328851	No	
row_3	YIPF2	Yip1 domain family member 2 [Source:HGNC Symbol;Acc:HGNC:28476]	293	0.7618269324302673	0.1453516	No	
row_4	SLC11A2	solute carrier family 11 member 2 [Source:HGNC Symbol;Acc:HGNC:10908]	598	0.638611912727356	0.16312279	No	
row_5	GTPBP1	GTP binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4669]	689	0.6088975071907043	0.18712386	No	
row_6	P2RX6	purinergic receptor P2X 6 [Source:HGNC Symbol;Acc:HGNC:8538]	1038	0.5329675674438477	0.19862585	No	
row_7	LINC01513	long intergenic non-protein coding RNA 1513 [Source:HGNC Symbol;Acc:HGNC:51202]	1690	0.4387012720108032	0.19522136	No	
row_8	VTRNA1-3	vault RNA 1-3 [Source:HGNC Symbol;Acc:HGNC:12656]	4328	0.26707640290260315	0.114031546	No	
row_9	PDCD6-DT	PDCD6 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55580]	4514	0.2589940130710602	0.11905982	No	
row_10	WDR1	WD repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:12754]	4770	0.24865169823169708	0.12115479	No	
row_11	KPNA7	karyopherin subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:21839]	4801	0.2478172332048416	0.13115714	No	
row_12	SNAP25-AS1	SNAP25 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44312]	5014	0.2387247234582901	0.13432732	No	
row_13	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	5405	0.2257995307445526	0.13063547	No	
row_14	MT-TD	mitochondrially encoded tRNA-Asp (GAU/C) [Source:HGNC Symbol;Acc:HGNC:7478]	6424	0.18977238237857819	0.103161156	No	
row_15	ZNF580	zinc finger protein 580 [Source:HGNC Symbol;Acc:HGNC:29473]	7860	0.15716908872127533	0.05950748	No	
row_16	ZNF581	zinc finger protein 581 [Source:HGNC Symbol;Acc:HGNC:25017]	7956	0.15301968157291412	0.06298331	No	
row_17	BRF2	BRF2 RNA polymerase III transcription initiation factor subunit [Source:HGNC Symbol;Acc:HGNC:17298]	8933	0.11496052891016006	0.033652663	No	
row_18	RSU1	Ras suppressor protein 1 [Source:HGNC Symbol;Acc:HGNC:10464]	9078	0.11000563949346542	0.033478342	No	
row_19	CASP9	caspase 9 [Source:HGNC Symbol;Acc:HGNC:1511]	9626	0.09163939207792282	0.018254494	No	
