NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC31A1	solute carrier family 31 member 1 [Source:HGNC Symbol;Acc:HGNC:11016]	275	0.7778028845787048	0.0076081343	No	
row_1	TRAPPC5	trafficking protein particle complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:23067]	669	0.6145857572555542	0.007389444	No	
row_2	RIC8A	RIC8 guanine nucleotide exchange factor A [Source:HGNC Symbol;Acc:HGNC:29550]	733	0.5979617238044739	0.018501032	No	
row_3	TBC1D8	TBC1 domain family member 8 [Source:HGNC Symbol;Acc:HGNC:17791]	898	0.561545193195343	0.02521856	No	
row_4	CRLS1	cardiolipin synthase 1 [Source:HGNC Symbol;Acc:HGNC:16148]	1332	0.4842250347137451	0.020672103	No	
row_5	FAM174B	family with sequence similarity 174 member B [Source:HGNC Symbol;Acc:HGNC:34339]	1470	0.4635842740535736	0.026160691	No	
row_6	ARL5B	ADP ribosylation factor like GTPase 5B [Source:HGNC Symbol;Acc:HGNC:23052]	1761	0.4309796988964081	0.025496455	No	
row_7	ITFG1	integrin alpha FG-GAP repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:30697]	1817	0.425995409488678	0.03305372	No	
row_8	MPC1	mitochondrial pyruvate carrier 1 [Source:HGNC Symbol;Acc:HGNC:21606]	1910	0.415884792804718	0.03907337	No	
row_9	DRAM2	DNA damage regulated autophagy modulator 2 [Source:HGNC Symbol;Acc:HGNC:28769]	2728	0.35000938177108765	0.017915398	No	
row_10	PAF1	PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]	3202	0.32059285044670105	0.008298615	No	
row_11	BET1L	Bet1 golgi vesicular membrane trafficking protein like [Source:HGNC Symbol;Acc:HGNC:19348]	3350	0.31449276208877563	0.010105154	No	
row_12	FBRS	fibrosin [Source:HGNC Symbol;Acc:HGNC:20442]	3625	0.30003106594085693	0.007085705	No	
row_13	PSMD8	proteasome 26S subunit, non-ATPase 8 [Source:HGNC Symbol;Acc:HGNC:9566]	4204	0.27248504757881165	-0.0073278993	No	
row_14	CLEC16A	C-type lectin domain containing 16A [Source:HGNC Symbol;Acc:HGNC:29013]	4272	0.2692857086658478	-0.0036936263	No	
row_15	CYB5D2	cytochrome b5 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28471]	4511	0.2591942846775055	-0.0063479757	No	
row_16	KIAA2013	KIAA2013 [Source:HGNC Symbol;Acc:HGNC:28513]	5519	0.22142596542835236	-0.037112817	No	
row_17	PHKB	phosphorylase kinase regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:8927]	5525	0.2206832468509674	-0.03236484	No	
row_18	COX4I1	cytochrome c oxidase subunit 4I1 [Source:HGNC Symbol;Acc:HGNC:2265]	5609	0.21803800761699677	-0.030441664	No	
row_19	RPS6KL1	ribosomal protein S6 kinase like 1 [Source:HGNC Symbol;Acc:HGNC:20222]	5703	0.21464958786964417	-0.028948694	No	
row_20	TXNL1	thioredoxin like 1 [Source:HGNC Symbol;Acc:HGNC:12436]	5816	0.21000505983829498	-0.028233096	No	
row_21	DGCR6L	DiGeorge syndrome critical region gene 6 like [Source:HGNC Symbol;Acc:HGNC:18551]	6017	0.20360170304775238	-0.030780753	No	
row_22	SENP8	SUMO peptidase family member, NEDD8 specific [Source:HGNC Symbol;Acc:HGNC:22992]	6034	0.20300740003585815	-0.026817314	No	
row_23	CENPBD2P	CENPB DNA-binding domains containing 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:28421]	6048	0.20246252417564392	-0.022759661	No	
row_24	EMC8	ER membrane protein complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:7864]	6062	0.20171798765659332	-0.018718624	No	
row_25	FKBP15	FKBP prolyl isomerase family member 15 [Source:HGNC Symbol;Acc:HGNC:23397]	6094	0.20013155043125153	-0.015351248	No	
row_26	HS2ST1	heparan sulfate 2-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5193]	6142	0.19834809005260468	-0.01259101	No	
row_27	HM13	histocompatibility minor 13 [Source:HGNC Symbol;Acc:HGNC:16435]	6777	0.18369263410568237	-0.030971982	No	
row_28	CEP192	centrosomal protein 192 [Source:HGNC Symbol;Acc:HGNC:25515]	7166	0.17073611915111542	-0.040919337	No	
row_29	SELENOF	selenoprotein F [Source:HGNC Symbol;Acc:HGNC:17705]	7188	0.16995127499103546	-0.037870947	No	
