NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAFB	MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]	205	0.8318812847137451	0.01501375	No	
row_1	SLC43A2	solute carrier family 43 member 2 [Source:HGNC Symbol;Acc:HGNC:23087]	261	0.785865306854248	0.034103077	No	
row_2	TBX3	T-box transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11602]	396	0.7106736898422241	0.04838457	No	
row_3	ACADVL	acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]	501	0.6680821180343628	0.06258747	No	
row_4	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5 [Source:HGNC Symbol;Acc:HGNC:24368]	553	0.6537585258483887	0.07828221	No	
row_5	TIMP2	TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]	657	0.6187642216682434	0.09120039	No	
row_6	ARMH4	armadillo like helical domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19846]	929	0.5536245703697205	0.09643081	No	
row_7	ARPC1B	actin related protein 2/3 complex subunit 1B [Source:HGNC Symbol;Acc:HGNC:704]	988	0.5424326062202454	0.10889801	No	
row_8	P4HB	prolyl 4-hydroxylase subunit beta [Source:HGNC Symbol;Acc:HGNC:8548]	1008	0.5390740036964417	0.12265519	No	
row_9	STIP1	stress induced phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11387]	1363	0.4799825847148895	0.122977726	No	
row_10	FGD6	FYVE, RhoGEF and PH domain containing 6 [Source:HGNC Symbol;Acc:HGNC:21740]	1484	0.4619433879852295	0.13109678	No	
row_11	IQGAP2	IQ motif containing GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:6111]	1753	0.431888610124588	0.13317482	No	
row_12	RFX1	regulatory factor X1 [Source:HGNC Symbol;Acc:HGNC:9982]	1764	0.43056437373161316	0.14434595	No	
row_13	PHPT1	phosphohistidine phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:30033]	1833	0.42470428347587585	0.1533081	No	
row_14	LRGUK	leucine rich repeats and guanylate kinase domain containing [Source:HGNC Symbol;Acc:HGNC:21964]	1878	0.419131338596344	0.16297022	No	
row_15	TRIM21	tripartite motif containing 21 [Source:HGNC Symbol;Acc:HGNC:11312]	2478	0.3675144910812378	0.15161373	No	
row_16	RETREG2	reticulophagy regulator family member 2 [Source:HGNC Symbol;Acc:HGNC:28450]	2831	0.3419370949268341	0.14831194	No	
row_17	SHARPIN	SHANK associated RH domain interactor [Source:HGNC Symbol;Acc:HGNC:25321]	3035	0.329278826713562	0.14994325	No	
row_18	KLHL12	kelch like family member 12 [Source:HGNC Symbol;Acc:HGNC:19360]	3524	0.305675208568573	0.1408589	No	
row_19	MAP4K2	mitogen-activated protein kinase kinase kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6864]	3554	0.3041398823261261	0.14797376	No	
row_20	PEX3	peroxisomal biogenesis factor 3 [Source:HGNC Symbol;Acc:HGNC:8858]	3723	0.29503700137138367	0.14992689	No	
row_21	WWP1P1	WW domain containing E3 ubiquitin protein ligase 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:48944]	4031	0.28073740005493164	0.14657915	No	
row_22	CUX1	cut like homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2557]	4057	0.27991312742233276	0.15318707	No	
row_23	TUBB4B	tubulin beta 4B class IVb [Source:HGNC Symbol;Acc:HGNC:20771]	4288	0.26829594373703003	0.15223072	No	
row_24	TACC1	transforming acidic coiled-coil containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11522]	4644	0.2546474039554596	0.1464863	No	
row_25	CAPNS1	calpain small subunit 1 [Source:HGNC Symbol;Acc:HGNC:1481]	4675	0.253256618976593	0.15220378	No	
row_26	MAF1	MAF1 homolog, negative regulator of RNA polymerase III [Source:HGNC Symbol;Acc:HGNC:24966]	4833	0.24677471816539764	0.15325427	No	
row_27	SOCS2	suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382]	5191	0.23283037543296814	0.1468551	No	
row_28	DEPDC1B	DEP domain containing 1B [Source:HGNC Symbol;Acc:HGNC:24902]	5867	0.20753617584705353	0.12852743	No	
row_29	HSPD1	heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]	6121	0.19919204711914062	0.12490759	No	
row_30	CNPPD1	cyclin Pas1/PHO80 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25220]	6556	0.18792694807052612	0.114582084	No	
row_31	FOXD3-AS1	FOXD3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40241]	6855	0.179652601480484	0.108847044	No	
row_32	MAP7	microtubule associated protein 7 [Source:HGNC Symbol;Acc:HGNC:6869]	7008	0.17760123312473297	0.10822286	No	
row_33	CD276	CD276 molecule [Source:HGNC Symbol;Acc:HGNC:19137]	7130	0.172231987118721	0.10855179	No	
row_34	PCDHB15	protocadherin beta 15 [Source:HGNC Symbol;Acc:HGNC:8686]	7816	0.158832386136055	0.08856664	No	
row_35	VWA8-AS1	VWA8 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:44270]	7867	0.15692271292209625	0.090997905	No	
row_36	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 [Source:HGNC Symbol;Acc:HGNC:1987]	7970	0.15250150859355927	0.09147097	No	
row_37	DNAJB11	DnaJ heat shock protein family (Hsp40) member B11 [Source:HGNC Symbol;Acc:HGNC:14889]	8000	0.15144692361354828	0.09449869	No	
row_38	DIPK2A	divergent protein kinase domain 2A [Source:HGNC Symbol;Acc:HGNC:28490]	8064	0.1489650011062622	0.096256986	No	
row_39	SMAD2	SMAD family member 2 [Source:HGNC Symbol;Acc:HGNC:6768]	8660	0.1257205456495285	0.078569904	No	
row_40	H2AC15	H2A clustered histone 15 [Source:HGNC Symbol;Acc:HGNC:4726]	8812	0.1197083592414856	0.076431476	No	
row_41	ADAP1	ArfGAP with dual PH domains 1 [Source:HGNC Symbol;Acc:HGNC:16486]	9582	0.0929737538099289	0.051711395	No	
row_42	DDB1	damage specific DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2717]	9592	0.09261780977249146	0.053872067	No	
row_43	H4C16	H4 histone 16 [Source:HGNC Symbol;Acc:HGNC:20510]	9744	0.0879439264535904	0.050883397	No	
row_44	BOLA1	bolA family member 1 [Source:HGNC Symbol;Acc:HGNC:24263]	9757	0.08755197376012802	0.052802324	No	
row_45	RPUSD1	RNA pseudouridine synthase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14173]	9940	0.08114612847566605	0.048534855	No	
row_46	ZNF252P	zinc finger protein 252, pseudogene [Source:HGNC Symbol;Acc:HGNC:13046]	10099	0.07590197771787643	0.044976186	No	
row_47	STAT6	signal transducer and activator of transcription 6 [Source:HGNC Symbol;Acc:HGNC:11368]	10293	0.06925887614488602	0.04000133	No	
row_48	SLC25A23	solute carrier family 25 member 23 [Source:HGNC Symbol;Acc:HGNC:19375]	10410	0.06552945077419281	0.037651055	No	
row_49	STX16	syntaxin 16 [Source:HGNC Symbol;Acc:HGNC:11431]	10499	0.06292521953582764	0.03622177	No	
row_50	EPHB4	EPH receptor B4 [Source:HGNC Symbol;Acc:HGNC:3395]	10673	0.057351406663656235	0.031635825	No	
