NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CSF2RA	colony stimulating factor 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2435]	98	0.9427409768104553	0.017578326	Yes	
row_1	VAT1	vesicle amine transport 1 [Source:HGNC Symbol;Acc:HGNC:16919]	118	0.9184116721153259	0.03741311	Yes	
row_2	PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:9081]	157	0.8755969405174255	0.055618487	Yes	
row_3	HK3	hexokinase 3 [Source:HGNC Symbol;Acc:HGNC:4925]	198	0.8352566361427307	0.07285219	Yes	
row_4	CRYM	crystallin mu [Source:HGNC Symbol;Acc:HGNC:2418]	203	0.8331542611122131	0.09131477	Yes	
row_5	PADI2	peptidyl arginine deiminase 2 [Source:HGNC Symbol;Acc:HGNC:18341]	257	0.7907634377479553	0.10709422	Yes	
row_6	LINC03108	novel transcript	299	0.7599133849143982	0.12261006	Yes	
row_7	CDHR1	cadherin related family member 1 [Source:HGNC Symbol;Acc:HGNC:14550]	512	0.6643354296684265	0.12993148	Yes	
row_8	GBA1	glucosylceramidase beta 1 [Source:HGNC Symbol;Acc:HGNC:4177]	814	0.5785794258117676	0.13218382	Yes	
row_9	ATP1B3	ATPase Na+/K+ transporting subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:806]	832	0.5751471519470215	0.1444244	Yes	
row_10	CYCSP39	CYCS pseudogene 39 [Source:HGNC Symbol;Acc:HGNC:24412]	926	0.5541477203369141	0.15350263	Yes	
row_11	GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	954	0.5496596693992615	0.16481966	Yes	
row_12	NAP1L4P3	nucleosome assembly protein 1 like 4 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:39738]	1031	0.5336612462997437	0.17404291	Yes	
row_13	OLFM4	olfactomedin 4 [Source:HGNC Symbol;Acc:HGNC:17190]	1174	0.5083940029144287	0.18036292	Yes	
row_14	ARHGEF2-AS1	ARHGEF2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40082]	1373	0.4784604012966156	0.18402989	Yes	
row_15	CYFIP1	cytoplasmic FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:13759]	1410	0.4720500409603119	0.19329494	Yes	
row_16	SMARCD2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2 [Source:HGNC Symbol;Acc:HGNC:11107]	1541	0.45444124937057495	0.19883548	Yes	
row_17	STX6	syntaxin 6 [Source:HGNC Symbol;Acc:HGNC:11441]	1703	0.4370739459991455	0.20288955	Yes	
row_18	SQOR	sulfide quinone oxidoreductase [Source:HGNC Symbol;Acc:HGNC:20390]	1726	0.43433478474617004	0.21180858	Yes	
row_19	ITFG1	integrin alpha FG-GAP repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:30697]	1817	0.425995409488678	0.2181315	Yes	
row_20	ACTBP1	ACTB pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:134]	2143	0.39672788977622986	0.21547255	Yes	
row_21	S100A6	S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]	2167	0.39487195014953613	0.22347493	Yes	
row_22	YIF1B	Yip1 interacting factor homolog B, membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:30511]	2197	0.39192259311676025	0.23119882	Yes	
row_23	TRIM25	tripartite motif containing 25 [Source:HGNC Symbol;Acc:HGNC:12932]	2207	0.39065811038017273	0.23960325	Yes	
row_24	NAP1L1	nucleosome assembly protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:7637]	2460	0.36947834491729736	0.23892292	Yes	
row_25	DNAH11	dynein axonemal heavy chain 11 [Source:HGNC Symbol;Acc:HGNC:2942]	2498	0.3663173317909241	0.24579152	Yes	
row_26	MEGF11	multiple EGF like domains 11 [Source:HGNC Symbol;Acc:HGNC:29635]	2502	0.3662159740924835	0.2538628	Yes	
row_27	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:326]	2716	0.35077565908432007	0.254147	Yes	
row_28	TDRD9	tudor domain containing 9 [Source:HGNC Symbol;Acc:HGNC:20122]	2855	0.339877724647522	0.2568458	Yes	
row_29	CDH9	cadherin 9 [Source:HGNC Symbol;Acc:HGNC:1768]	3086	0.3266451954841614	0.25598866	Yes	
row_30	YWHABP2	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:50295]	3384	0.313003271818161	0.25245246	Yes	
row_31	ASXL1	ASXL transcriptional regulator 1 [Source:HGNC Symbol;Acc:HGNC:18318]	3809	0.2912674844264984	0.24393006	Yes	
row_32	RPGRIP1	RPGR interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:13436]	4037	0.2806549072265625	0.24215229	Yes	
row_33	KIAA1522	KIAA1522 [Source:HGNC Symbol;Acc:HGNC:29301]	4091	0.2778802514076233	0.24647905	Yes	
row_34	ACTMAP	actin maturation protease [Source:HGNC Symbol;Acc:HGNC:24758]	4252	0.2700652778148651	0.24683927	Yes	
row_35	PRSS36	serine protease 36 [Source:HGNC Symbol;Acc:HGNC:26906]	4260	0.2697194516658783	0.25261402	Yes	
row_36	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]	4640	0.25493425130844116	0.2448751	Yes	
row_37	KLC3	kinesin light chain 3 [Source:HGNC Symbol;Acc:HGNC:20717]	4645	0.2546069622039795	0.25041872	Yes	
row_38	UNC13D	unc-13 homolog D [Source:HGNC Symbol;Acc:HGNC:23147]	4704	0.25208842754364014	0.25399235	Yes	
row_39	OR10AA1P	olfactory receptor family 10 subfamily AA member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:14989]	5084	0.23634111881256104	0.24583822	Yes	
row_40	ARX	aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060]	5097	0.23634111881256104	0.25069046	Yes	
row_41	MARCHF11	membrane associated ring-CH-type finger 11 [Source:HGNC Symbol;Acc:HGNC:33609]	5212	0.23197482526302338	0.25183034	Yes	
row_42	TSPAN9	tetraspanin 9 [Source:HGNC Symbol;Acc:HGNC:21640]	5402	0.22605058550834656	0.25017995	Yes	
row_43	DHRS7	dehydrogenase/reductase 7 [Source:HGNC Symbol;Acc:HGNC:21524]	5449	0.22336268424987793	0.25353742	Yes	
row_44	MYO1C	myosin IC [Source:HGNC Symbol;Acc:HGNC:7597]	5458	0.22315479815006256	0.25823694	Yes	
row_45	MIR1250	microRNA 1250 [Source:HGNC Symbol;Acc:HGNC:35316]	5548	0.2203904092311859	0.26000413	Yes	
row_46	PABPC1	poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]	5759	0.2123427838087082	0.25730345	Yes	
row_47	ACOT8	acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:HGNC:15919]	5768	0.21201133728027344	0.26175413	Yes	
row_48	TXNL1	thioredoxin like 1 [Source:HGNC Symbol;Acc:HGNC:12436]	5816	0.21000505983829498	0.26477787	Yes	
row_49	SNX8	sorting nexin 8 [Source:HGNC Symbol;Acc:HGNC:14972]	5858	0.207962304353714	0.26796865	Yes	
row_50	PBX2P1	PBX homeobox 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:8635]	5879	0.20702382922172546	0.2718827	Yes	
row_51	RPL32P1	ribosomal protein L32 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:10339]	5935	0.20437632501125336	0.27449724	Yes	
row_52	RBKS	ribokinase [Source:HGNC Symbol;Acc:HGNC:30325]	6106	0.19976572692394257	0.27293327	Yes	
row_53	STAMBP	STAM binding protein [Source:HGNC Symbol;Acc:HGNC:16950]	6133	0.19872158765792847	0.27644932	Yes	
row_54	HS2ST1	heparan sulfate 2-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5193]	6142	0.19834809005260468	0.28059492	Yes	
row_55	NRIP3	nuclear receptor interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:1167]	6255	0.19359993934631348	0.28094876	Yes	
row_56	TAF6L	TATA-box binding protein associated factor 6 like [Source:HGNC Symbol;Acc:HGNC:17305]	6686	0.18517030775547028	0.26984456	No	
row_57	NELFE	negative elongation factor complex member E [Source:HGNC Symbol;Acc:HGNC:13974]	7072	0.17471887171268463	0.2601018	No	
row_58	BABAM2	BRISC and BRCA1 A complex member 2 [Source:HGNC Symbol;Acc:HGNC:1106]	7118	0.17273584008216858	0.2623642	No	
row_59	RSU1P2	Ras suppressor protein 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:44391]	7194	0.16952334344387054	0.2634917	No	
row_60	GFER	growth factor, augmenter of liver regeneration [Source:HGNC Symbol;Acc:HGNC:4236]	7204	0.1692379266023636	0.2669518	No	
row_61	CTNNA2	catenin alpha 2 [Source:HGNC Symbol;Acc:HGNC:2510]	7328	0.16913241147994995	0.26636946	No	
row_62	ESRRA	estrogen related receptor alpha [Source:HGNC Symbol;Acc:HGNC:3471]	7543	0.16463589668273926	0.2624617	No	
row_63	CCL8	C-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:10635]	7662	0.1625809520483017	0.26191026	No	
row_64	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	7982	0.15213483572006226	0.25400218	No	
row_65	RECQL5	RecQ like helicase 5 [Source:HGNC Symbol;Acc:HGNC:9950]	8146	0.14508599042892456	0.2514653	No	
row_66	ENSG00000253214	novel transcript	8311	0.13857002556324005	0.24874747	No	
row_67	HUS1	HUS1 checkpoint clamp component [Source:HGNC Symbol;Acc:HGNC:5309]	8336	0.13770060241222382	0.25097176	No	
row_68	TXK	TXK tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:12434]	8387	0.13600678741931915	0.2522368	No	
row_69	TJP3	tight junction protein 3 [Source:HGNC Symbol;Acc:HGNC:11829]	8706	0.12366383522748947	0.24372843	No	
row_70	SLC25A6	solute carrier family 25 member 6 [Source:HGNC Symbol;Acc:HGNC:10992]	8816	0.11946175247430801	0.2425331	No	
row_71	SNRPA	small nuclear ribonucleoprotein polypeptide A [Source:HGNC Symbol;Acc:HGNC:11151]	8836	0.11829406023025513	0.24450125	No	
