NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BORCS7	BLOC-1 related complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:23516]	191	0.8430077433586121	0.022841759	No	
row_1	TP53INP2	tumor protein p53 inducible nuclear protein 2 [Source:HGNC Symbol;Acc:HGNC:16104]	614	0.632676362991333	0.030133145	No	
row_2	BCKDK	branched chain keto acid dehydrogenase kinase [Source:HGNC Symbol;Acc:HGNC:16902]	1002	0.5401423573493958	0.035413437	No	
row_3	LINC01410	long intergenic non-protein coding RNA 1410 [Source:HGNC Symbol;Acc:HGNC:50702]	1546	0.4537774920463562	0.03214675	No	
row_4	IQCD	IQ motif containing D [Source:HGNC Symbol;Acc:HGNC:25168]	1558	0.452884316444397	0.0476566	No	
row_5	C9	complement C9 [Source:HGNC Symbol;Acc:HGNC:1358]	1630	0.44437122344970703	0.0607464	No	
row_6	OBSL1	obscurin like cytoskeletal adaptor 1 [Source:HGNC Symbol;Acc:HGNC:29092]	1733	0.43382975459098816	0.072370194	No	
row_7	ADGRG3	adhesion G protein-coupled receptor G3 [Source:HGNC Symbol;Acc:HGNC:13728]	2712	0.35124340653419495	0.05012536	No	
row_8	PMS2CL	PMS2 C-terminal like pseudogene [Source:HGNC Symbol;Acc:HGNC:30061]	2926	0.3358898460865021	0.054386716	No	
row_9	TIMM13	translocase of inner mitochondrial membrane 13 [Source:HGNC Symbol;Acc:HGNC:11816]	2958	0.3336969316005707	0.06500537	No	
row_10	GXYLT1	glucoside xylosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:27482]	3341	0.3147656321525574	0.06255046	No	
row_11	GRAMD1B	GRAM domain containing 1B [Source:HGNC Symbol;Acc:HGNC:29214]	3855	0.2889821529388428	0.054559145	No	
row_12	DANCR	differentiation antagonizing non-protein coding RNA [Source:HGNC Symbol;Acc:HGNC:28964]	5245	0.23032864928245544	0.013539383	No	
row_13	UQCC4	ubiquinol-cytochrome c reductase complex assembly factor 4 [Source:HGNC Symbol;Acc:HGNC:27558]	5838	0.2087748646736145	-6.055151E-5	No	
row_14	INHA	inhibin subunit alpha [Source:HGNC Symbol;Acc:HGNC:6065]	6302	0.19279219210147858	-0.009661006	No	
row_15	MT-TD	mitochondrially encoded tRNA-Asp (GAU/C) [Source:HGNC Symbol;Acc:HGNC:7478]	6424	0.18977238237857819	-0.007276684	No	
row_16	MRTFA	myocardin related transcription factor A [Source:HGNC Symbol;Acc:HGNC:14334]	6575	0.18712754547595978	-0.0060104537	No	
row_17	APH1A	aph-1 homolog A, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:29509]	6658	0.18638131022453308	-0.0023664034	No	
row_18	CASC3	CASC3 exon junction complex subunit [Source:HGNC Symbol;Acc:HGNC:17040]	7109	0.1732032746076584	-0.0121949455	No	
row_19	SLC25A35	solute carrier family 25 member 35 [Source:HGNC Symbol;Acc:HGNC:31921]	7208	0.16915278136730194	-0.009721362	No	
row_20	EMC7	ER membrane protein complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:24301]	7786	0.16025760769844055	-0.024494221	No	
row_21	ILRUN-AS1	ILRUN antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55216]	7865	0.1569725126028061	-0.02174117	No	
row_22	HBP1	HMG-box transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:23200]	8091	0.1477666199207306	-0.024508212	No	
