NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FCAR	Fc alpha receptor [Source:HGNC Symbol;Acc:HGNC:3608]	88	0.9736595153808594	0.048740126	Yes	
row_1	NOD2	nucleotide binding oligomerization domain containing 2 [Source:HGNC Symbol;Acc:HGNC:5331]	320	0.7506387829780579	0.08055474	Yes	
row_2	CREB5	cAMP responsive element binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16844]	418	0.702613890171051	0.11454382	Yes	
row_3	MSRB1	methionine sulfoxide reductase B1 [Source:HGNC Symbol;Acc:HGNC:14133]	612	0.6339472532272339	0.14148644	Yes	
row_4	GBA1	glucosylceramidase beta 1 [Source:HGNC Symbol;Acc:HGNC:4177]	814	0.5785794258117676	0.1651982	Yes	
row_5	SLC66A2	solute carrier family 66 member 2 [Source:HGNC Symbol;Acc:HGNC:26188]	1099	0.5216503739356995	0.18294759	Yes	
row_6	CDC42EP4	CDC42 effector protein 4 [Source:HGNC Symbol;Acc:HGNC:17147]	1386	0.4770614504814148	0.19825199	Yes	
row_7	ARHGEF11	Rho guanine nucleotide exchange factor 11 [Source:HGNC Symbol;Acc:HGNC:14580]	1406	0.4734039604663849	0.22278993	Yes	
row_8	BEND7	BEN domain containing 7 [Source:HGNC Symbol;Acc:HGNC:23514]	1565	0.4526037871837616	0.2413119	Yes	
row_9	THA1P	threonine aldolase 1, pseudogene [Source:HGNC Symbol;Acc:HGNC:18004]	1727	0.43425801396369934	0.258751	Yes	
row_10	RASL11A	RAS like family 11 member A [Source:HGNC Symbol;Acc:HGNC:23802]	1894	0.4171537458896637	0.27510273	Yes	
row_11	RPL31P46	ribosomal protein L31 pseudogene 46 [Source:HGNC Symbol;Acc:HGNC:35559]	2183	0.39333218336105347	0.2858779	Yes	
row_12	CSNK1G2	casein kinase 1 gamma 2 [Source:HGNC Symbol;Acc:HGNC:2455]	2486	0.36712533235549927	0.29476318	Yes	
row_13	ENSG00000268655	novel protein	2538	0.3642392158508301	0.31235808	Yes	
row_14	CACNA1C	calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390]	2692	0.3528391718864441	0.32574412	Yes	
row_15	TOM1	target of myb1 membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:11982]	2877	0.33892321586608887	0.33729446	Yes	
row_16	MIR6807	microRNA 6807 [Source:HGNC Symbol;Acc:HGNC:50191]	4473	0.2608557939529419	0.29486248	No	
row_17	TBXA2R	thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608]	4765	0.24906572699546814	0.29784948	No	
row_18	PITPNM2	phosphatidylinositol transfer protein membrane associated 2 [Source:HGNC Symbol;Acc:HGNC:21044]	5294	0.22868916392326355	0.2913825	No	
row_19	LMO4	LIM domain only 4 [Source:HGNC Symbol;Acc:HGNC:6644]	8439	0.1340024471282959	0.18749729	No	
row_20	SCN1B	sodium voltage-gated channel beta subunit 1 [Source:HGNC Symbol;Acc:HGNC:10586]	8939	0.11466476321220398	0.17598253	No	
row_21	KIDINS220	kinase D interacting substrate 220 [Source:HGNC Symbol;Acc:HGNC:29508]	9448	0.09806723147630692	0.16326615	No	
row_22	STAT6	signal transducer and activator of transcription 6 [Source:HGNC Symbol;Acc:HGNC:11368]	10293	0.06925887614488602	0.13715088	No	
row_23	KLHDC9	kelch domain containing 9 [Source:HGNC Symbol;Acc:HGNC:28489]	10342	0.0678030401468277	0.13906643	No	
row_24	SLC25A23	solute carrier family 25 member 23 [Source:HGNC Symbol;Acc:HGNC:19375]	10410	0.06552945077419281	0.14018999	No	
row_25	COL6A1	collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]	10698	0.05643557012081146	0.13306065	No	
row_26	CEP170B	centrosomal protein 170B [Source:HGNC Symbol;Acc:HGNC:20362]	10710	0.05595745891332626	0.13565198	No	
row_27	GINS1	GINS complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28980]	10745	0.054606083780527115	0.13735914	No	
row_28	VANGL1	VANGL planar cell polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:15512]	10812	0.05203807353973389	0.13779959	No	
row_29	RIMKLB	ribosomal modification protein rimK like family member B [Source:HGNC Symbol;Acc:HGNC:29228]	11046	0.04498249292373657	0.13196723	No	
row_30	LINC02976	long intergenic non-protein coding RNA 2976 [Source:HGNC Symbol;Acc:HGNC:56026]	11091	0.04368041828274727	0.1327395	No	
row_31	ARIH2	ariadne RBR E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:690]	11383	0.0343000665307045	0.1242902	No	
row_32	CEROX1	cytoplasmic endogenous regulator of oxidative phosphorylation 1 [Source:HGNC Symbol;Acc:HGNC:53928]	11461	0.03233547881245613	0.12329304	No	
row_33	NFASC	neurofascin [Source:HGNC Symbol;Acc:HGNC:29866]	11575	0.029501300305128098	0.12087374	No	
row_34	MIOS	meiosis regulator for oocyte development [Source:HGNC Symbol;Acc:HGNC:21905]	11643	0.0274310614913702	0.11996855	No	
row_35	PKD1	polycystin 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:9008]	12106	0.013800536282360554	0.104389295	No	
row_36	B4GALT7	beta-1,4-galactosyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:930]	12456	0.00378542416729033	0.092266984	No	
row_37	CWC25	CWC25 spliceosome associated protein homolog [Source:HGNC Symbol;Acc:HGNC:25989]	12585	-1.072710583684966E-4	0.08775277	No	
row_38	ZNF45-AS1	ZNF45 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55308]	12975	-0.01090389396995306	0.07459704	No	
row_39	VPS51	VPS51 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:1172]	13599	-0.028631430119276047	0.054122303	No	
row_40	PRSS8	serine protease 8 [Source:HGNC Symbol;Acc:HGNC:9491]	14564	-0.05517328158020973	0.02301954	No	
row_41	CXXC1	CXXC finger protein 1 [Source:HGNC Symbol;Acc:HGNC:24343]	14607	-0.05634760856628418	0.024536958	No	
row_42	NOL6	nucleolar protein 6 [Source:HGNC Symbol;Acc:HGNC:19910]	14674	-0.05833194777369499	0.025312556	No	
row_43	ARID1B	AT-rich interaction domain 1B [Source:HGNC Symbol;Acc:HGNC:18040]	15126	-0.07070749253034592	0.0131520415	No	
row_44	CC2D1A	coiled-coil and C2 domain containing 1A [Source:HGNC Symbol;Acc:HGNC:30237]	15505	-0.08225566893815994	0.004184244	No	
row_45	ZNF555	zinc finger protein 555 [Source:HGNC Symbol;Acc:HGNC:28382]	15794	-0.08995271474123001	-0.0011956054	No	
row_46	TMEM248	transmembrane protein 248 [Source:HGNC Symbol;Acc:HGNC:25476]	15869	-0.09194724261760712	0.0010875184	No	
row_47	ENSG00000267058	novel transcript	16051	-0.09677988290786743	-1.5040072E-4	No	
row_48	ATP1A3	ATPase Na+/K+ transporting subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:801]	16176	-0.10013557970523834	8.0315466E-4	No	
row_49	CCN1	cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]	16818	-0.11731196194887161	-0.015584939	No	
row_50	SMC4	structural maintenance of chromosomes 4 [Source:HGNC Symbol;Acc:HGNC:14013]	17071	-0.1244371235370636	-0.017857255	No	
row_51	SPON2	spondin 2 [Source:HGNC Symbol;Acc:HGNC:11253]	18565	-0.1676030308008194	-0.06165315	No	
row_52	SELENOP	selenoprotein P [Source:HGNC Symbol;Acc:HGNC:10751]	18831	-0.17579017579555511	-0.06164996	No	
row_53	RN7SL810P	RNA, 7SL, cytoplasmic 810, pseudogene [Source:HGNC Symbol;Acc:HGNC:46826]	19056	-0.18226872384548187	-0.059853993	No	
row_54	C11orf80	chromosome 11 open reading frame 80 [Source:HGNC Symbol;Acc:HGNC:26197]	19277	-0.1830337643623352	-0.057876043	No	
row_55	MIR4646	microRNA 4646 [Source:HGNC Symbol;Acc:HGNC:41543]	19643	-0.18817706406116486	-0.060744446	No	
row_56	EVPL	envoplakin [Source:HGNC Symbol;Acc:HGNC:3503]	19739	-0.19071102142333984	-0.053943682	No	
row_57	SLC29A4	solute carrier family 29 member 4 [Source:HGNC Symbol;Acc:HGNC:23097]	19799	-0.19229701161384583	-0.045787234	No	
row_58	SOX8	SRY-box transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:11203]	20677	-0.21103978157043457	-0.065517925	No	
row_59	B3GNT6	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:24141]	20936	-0.21694625914096832	-0.06307598	No	
row_60	ZNF691	zinc finger protein 691 [Source:HGNC Symbol;Acc:HGNC:28028]	22316	-0.24924077093601227	-0.09849908	No	
row_61	FZR1	fizzy and cell division cycle 20 related 1 [Source:HGNC Symbol;Acc:HGNC:24824]	22588	-0.25787100195884705	-0.09433694	No	
row_62	ZNF404	zinc finger protein 404 [Source:HGNC Symbol;Acc:HGNC:19417]	22656	-0.26012149453163147	-0.08285132	No	
row_63	CCDC171	coiled-coil domain containing 171 [Source:HGNC Symbol;Acc:HGNC:29828]	22966	-0.26877549290657043	-0.07945037	No	
row_64	GABBR1	gamma-aminobutyric acid type B receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:4070]	23690	-0.2924705743789673	-0.08940681	No	
row_65	LMF1	lipase maturation factor 1 [Source:HGNC Symbol;Acc:HGNC:14154]	23926	-0.3022151291370392	-0.08161211	No	
row_66	CNIH3	cornichon family AMPA receptor auxiliary protein 3 [Source:HGNC Symbol;Acc:HGNC:26802]	24616	-0.3294897973537445	-0.08839666	No	
row_67	FBXL2	F-box and leucine rich repeat protein 2 [Source:HGNC Symbol;Acc:HGNC:13598]	26137	-0.4016498029232025	-0.12068293	No	
row_68	CACNA1A	calcium voltage-gated channel subunit alpha1 A [Source:HGNC Symbol;Acc:HGNC:1388]	26170	-0.40464040637016296	-0.100265734	No	
row_69	SNORA24B	small nucleolar RNA, H/ACA box 24B [Source:HGNC Symbol;Acc:HGNC:52198]	26545	-0.43152904510498047	-0.090493396	No	
row_70	FCHSD2	FCH and double SH3 domains 2 [Source:HGNC Symbol;Acc:HGNC:29114]	27476	-0.5223907232284546	-0.09551612	No	
row_71	ZNF585B	zinc finger protein 585B [Source:HGNC Symbol;Acc:HGNC:30948]	27741	-0.5693423748016357	-0.07452088	No	
row_72	CPAMD8	C3 and PZP like alpha-2-macroglobulin domain containing 8 [Source:HGNC Symbol;Acc:HGNC:23228]	27751	-0.5703675746917725	-0.04446649	No	
row_73	DOK4	docking protein 4 [Source:HGNC Symbol;Acc:HGNC:19868]	27822	-0.5856838226318359	-0.015750542	No	
row_74	NXNP1	nucleoredoxin pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:50561]	28126	-0.6737677454948425	0.009428206	No	
