NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
ADA2_TARGET_GENES	941		Rejected!	
ADCYAP1_TARGET_GENES	12		Rejected!	
ADNP_TARGET_GENES	658		Rejected!	
AEBP2_TARGET_GENES	1224		Rejected!	
AHRR_TARGET_GENES	1405		Rejected!	
ALKBH3_TARGET_GENES	443	415		
ALX4_TARGET_GENES	33	32		
ARHGAP35_TARGET_GENES	120	111		
ARID3B_TARGET_GENES	198	161		
ARID5B_TARGET_GENES	944		Rejected!	
ARNT2_TARGET_GENES	680		Rejected!	
ASH1L_TARGET_GENES	1468		Rejected!	
ASXL2_TARGET_GENES	56	45		
ATF5_TARGET_GENES	464	432		
ATF6_TARGET_GENES	1081		Rejected!	
ATM_TARGET_GENES	15		Rejected!	
ATOH8_TARGET_GENES	51	44		
ATXN7L3_TARGET_GENES	692		Rejected!	
AUTS2_TARGET_GENES	648		Rejected!	
BAHD1_TARGET_GENES	41	31		
BANP_TARGET_GENES	763		Rejected!	
BARHL1_TARGET_GENES	1301		Rejected!	
BARX1_TARGET_GENES	1288		Rejected!	
BARX2_TARGET_GENES	1906		Rejected!	
BCL6B_TARGET_GENES	171	158		
BDP1_TARGET_GENES	1442		Rejected!	
BPTF_TARGET_GENES	1263		Rejected!	
BRCA2_TARGET_GENES	1676		Rejected!	
BRF1_TARGET_GENES	65	62		
BRF2_TARGET_GENES	20	16		
CARM1_TARGET_GENES	13		Rejected!	
CASP3_TARGET_GENES	15		Rejected!	
CASP8AP2_TARGET_GENES	346	322		
CAVIN1_TARGET_GENES	92	88		
CBX5_TARGET_GENES	885		Rejected!	
CBX7_TARGET_GENES	973		Rejected!	
CC2D1A_TARGET_GENES	1612		Rejected!	
CDC5L_TARGET_GENES	339	308		
CDC73_TARGET_GENES	662		Rejected!	
CDH4_TARGET_GENES	85	82		
CDX1_TARGET_GENES	42	35		
CEBPE_TARGET_GENES	35	32		
CEBPZ_TARGET_GENES	1547		Rejected!	
CENPT_TARGET_GENES	85	78		
CHAF1A_TARGET_GENES	98	93		
CHAF1B_TARGET_GENES	1000		Rejected!	
CHAMP1_TARGET_GENES	214	198		
CIC_TARGET_GENES	505	471		
CIITA_TARGET_GENES	1236		Rejected!	
COBLL1_TARGET_GENES	151	141		
COIL_TARGET_GENES	8		Rejected!	
CREB3L2_TARGET_GENES	151	139		
CREB3L4_TARGET_GENES	1442		Rejected!	
CREB3_TARGET_GENES	516	490		
CREBL2_TARGET_GENES	11		Rejected!	
CSHL1_TARGET_GENES	249	231		
CTR9_TARGET_GENES	69	62		
CUX1_TARGET_GENES	905		Rejected!	
DACH1_TARGET_GENES	1004		Rejected!	
DBP_TARGET_GENES	1478		Rejected!	
DICER1_TARGET_GENES	91	86		
DIDO1_TARGET_GENES	1647		Rejected!	
DLX2_TARGET_GENES	291	272		
DLX4_TARGET_GENES	864		Rejected!	
DLX6_TARGET_GENES	607		Rejected!	
DMRT1_TARGET_GENES	418	392		
DNMT1_TARGET_GENES	234	217		
DNMT3A_TARGET_GENES	712		Rejected!	
DPPA3_TARGET_GENES	25	23		
DROSHA_TARGET_GENES	69	65		
DYRK1A_TARGET_GENES	782		Rejected!	
E2F2_TARGET_GENES	1498		Rejected!	
E2F5_TARGET_GENES	1291		Rejected!	
EBNA1BP2_TARGET_GENES	382	349		
EGFR_TARGET_GENES	36	33		
ELF2_TARGET_GENES	1512		Rejected!	
ELF5_TARGET_GENES	485	460		
EMX1_TARGET_GENES	231	216		
EPC1_TARGET_GENES	394	375		
ERCC8_TARGET_GENES	16	15		
EWSR1_TARGET_GENES	1040		Rejected!	
F10_TARGET_GENES	287	262		
F2RL1_TARGET_GENES	6		Rejected!	
FEV_TARGET_GENES	1692		Rejected!	
FOXC1_TARGET_GENES	87	75		
FOXD2_TARGET_GENES	1276		Rejected!	
FOXD3_TARGET_GENES	36	36		
FOXE1_TARGET_GENES	734		Rejected!	
FOXF1_TARGET_GENES	9		Rejected!	
FOXF2_TARGET_GENES	12		Rejected!	
FOXG1_TARGET_GENES	599		Rejected!	
FOXJ2_TARGET_GENES	605		Rejected!	
FOXN3_TARGET_GENES	1527		Rejected!	
FOXO4_TARGET_GENES	387	362		
FOXQ1_TARGET_GENES	39	36		
FOXR2_TARGET_GENES	234	206		
FXR1_TARGET_GENES	1220		Rejected!	
GLI1_TARGET_GENES	623		Rejected!	
GLI3_TARGET_GENES	755		Rejected!	
GLI4_TARGET_GENES	856		Rejected!	
GREB1_TARGET_GENES	959		Rejected!	
GTF2A2_TARGET_GENES	599		Rejected!	
GTF2E2_TARGET_GENES	416	371		
GTF3A_TARGET_GENES	77	27		
GTF3C1_TARGET_GENES	9		Rejected!	
GUCY1B1_TARGET_GENES	697		Rejected!	
H1_6_TARGET_GENES	532	478		
HAND1_TARGET_GENES	492	457		
HBZ_TARGET_GENES	1254		Rejected!	
HDAC4_TARGET_GENES	691		Rejected!	
HDAC8_TARGET_GENES	170	160		
HDGF_TARGET_GENES	929		Rejected!	
HES2_TARGET_GENES	1457		Rejected!	
HES4_TARGET_GENES	605		Rejected!	
HEY2_TARGET_GENES	75	67		
HHEX_TARGET_GENES	1048		Rejected!	
HJURP_TARGET_GENES	64	53		
HMCES_TARGET_GENES	22	21		
HMG20B_TARGET_GENES	1959		Rejected!	
HMGA1_TARGET_GENES	1259		Rejected!	
HMGB2_TARGET_GENES	582		Rejected!	
HOXA10_TARGET_GENES	277	261		
HOXA13_TARGET_GENES	56	50		
HOXA1_TARGET_GENES	1229		Rejected!	
HOXA7_TARGET_GENES	116	112		
HOXB4_TARGET_GENES	1194		Rejected!	
HOXB6_TARGET_GENES	648		Rejected!	
HOXB7_TARGET_GENES	28	25		
HOXC11_TARGET_GENES	67	60		
HOXC13_TARGET_GENES	121	115		
HOXC6_TARGET_GENES	1218		Rejected!	
HOXD11_TARGET_GENES	152	143		
HOXD1_TARGET_GENES	78	67		
HSD17B8_TARGET_GENES	672		Rejected!	
HSF2_TARGET_GENES	248	241		
HSF4_TARGET_GENES	22	22		
ID1_TARGET_GENES	1285		Rejected!	
ID2_TARGET_GENES	1105		Rejected!	
IGF1R_TARGET_GENES	5		Rejected!	
IGLV5_37_TARGET_GENES	648		Rejected!	
ILK_TARGET_GENES	26	25		
INSM2_TARGET_GENES	979		Rejected!	
IRF5_TARGET_GENES	848		Rejected!	
IRX2_TARGET_GENES	237	225		
IRX3_TARGET_GENES	55	51		
KAT2A_TARGET_GENES	1167		Rejected!	
KAT5_TARGET_GENES	930		Rejected!	
KDM1B_TARGET_GENES	163	148		
KLF14_TARGET_GENES	257	244		
KLF7_TARGET_GENES	938		Rejected!	
KMT2D_TARGET_GENES	811		Rejected!	
LAMB3_TARGET_GENES	18		Rejected!	
LAMTOR5_TARGET_GENES	8		Rejected!	
LCORL_TARGET_GENES	465	430		
LHX2_TARGET_GENES	1429		Rejected!	
LHX3_TARGET_GENES	37	37		
LHX4_TARGET_GENES	8		Rejected!	
LHX9_TARGET_GENES	1604		Rejected!	
LMNB2_TARGET_GENES	37	34		
LMTK3_TARGET_GENES	597		Rejected!	
LMX1B_TARGET_GENES	31	24		
MAFG_TARGET_GENES	1953		Rejected!	
MAML1_TARGET_GENES	322	304		
MAP2K1_TARGET_GENES	9		Rejected!	
MAPK3_TARGET_GENES	109	103		
MCM2_TARGET_GENES	88	86		
MCM3_TARGET_GENES	225	213		
MCM5_TARGET_GENES	8		Rejected!	
MCRS1_TARGET_GENES	42	36		
MDM2_TARGET_GENES	13		Rejected!	
MED16_TARGET_GENES	47	42		
MED25_TARGET_GENES	142	129		
MEF2C_TARGET_GENES	1882		Rejected!	
MEF2D_TARGET_GENES	659		Rejected!	
METHYLCYTOSINE_DIOXYGENASE_TET_UNIPROT_A0A023HHK9_UNREVIEWED_TARGET_GENES	181	163		
METTL14_TARGET_GENES	158	144		
MIER1_TARGET_GENES	376	324		
MNX1_TARGET_GENES	11		Rejected!	
MPHOSPH8_TARGET_GENES	10		Rejected!	
MSX1_TARGET_GENES	203	188		
MSX2_TARGET_GENES	20	20		
MTHFD1_TARGET_GENES	22	21		
MXD1_TARGET_GENES	650		Rejected!	
MYBL1_TARGET_GENES	485	446		
MYF6_TARGET_GENES	18		Rejected!	
MYOCD_TARGET_GENES	1554		Rejected!	
MZF1_TARGET_GENES	1764		Rejected!	
NAB2_TARGET_GENES	1542		Rejected!	
NCOA2_TARGET_GENES	545	480		
NCOA4_TARGET_GENES	1102		Rejected!	
NCOA6_TARGET_GENES	362	352		
NEUROD2_TARGET_GENES	7		Rejected!	
NEUROG3_TARGET_GENES	24	22		
NFE2L1_TARGET_GENES	1914		Rejected!	
NFE2L3_TARGET_GENES	18		Rejected!	
NFKBIA_TARGET_GENES	1335		Rejected!	
NFXL1_TARGET_GENES	474	457		
NKX2_2_TARGET_GENES	1351		Rejected!	
NKX2_3_TARGET_GENES	547		Rejected!	
NKX2_5_TARGET_GENES	1597		Rejected!	
NKX2_8_TARGET_GENES	42	39		
NKX6_1_TARGET_GENES	33	24		
NME2_TARGET_GENES	72	60		
NOTCH3_TARGET_GENES	1580		Rejected!	
NPAT_TARGET_GENES	280	274		
NPM1_TARGET_GENES	363	342		
NR0B1_TARGET_GENES	379	370		
NR1D1_TARGET_GENES	121	116		
NR1H4_TARGET_GENES	429	400		
NR1I2_TARGET_GENES	347	331		
NR2E3_TARGET_GENES	10		Rejected!	
NR4A2_TARGET_GENES	5		Rejected!	
NR5A1_TARGET_GENES	19	15		
NUFIP1_TARGET_GENES	46	43		
NUP214_TARGET_GENES	11		Rejected!	
OVOL3_TARGET_GENES	515	486		
PAF1_TARGET_GENES	76	69		
PAX3_TARGET_GENES	1842		Rejected!	
PAX6_TARGET_GENES	963		Rejected!	
PAX7_TARGET_GENES	720		Rejected!	
PAX8_TARGET_GENES	89	86		
PBRM1_TARGET_GENES	8		Rejected!	
PBXIP1_TARGET_GENES	282	239		
PCGF1_TARGET_GENES	554		Rejected!	
PCGF6_TARGET_GENES	77	77		
PER1_TARGET_GENES	33	25		
PGBD5_TARGET_GENES	22	18		
PGM3_TARGET_GENES	269	257		
PHB2_TARGET_GENES	205	190		
PHF21A_TARGET_GENES	288	277		
PIAS4_TARGET_GENES	78	72		
PITX1_TARGET_GENES	352	339		
POU2AF1_TARGET_GENES	936		Rejected!	
PPARA_TARGET_GENES	71	66		
PPARGC1A_TARGET_GENES	102	96		
PRDM12_TARGET_GENES	157	134		
PRDM4_TARGET_GENES	618		Rejected!	
PRDM5_TARGET_GENES	123	97		
PRKDC_TARGET_GENES	887		Rejected!	
PRMT5_TARGET_GENES	103	92		
PSIP1_TARGET_GENES	768		Rejected!	
PSMB5_TARGET_GENES	310	277		
PTPRA_TARGET_GENES	131	110		
PTTG1_TARGET_GENES	84	79		
RAG1_TARGET_GENES	1208		Rejected!	
RARB_TARGET_GENES	7		Rejected!	
RAX2_TARGET_GENES	72	67		
RBL1_TARGET_GENES	53	48		
RBM15_TARGET_GENES	199	184		
RBM17_TARGET_GENES	7		Rejected!	
RBM34_TARGET_GENES	1060		Rejected!	
RBMX_TARGET_GENES	11		Rejected!	
REPIN1_TARGET_GENES	5		Rejected!	
RFX7_TARGET_GENES	509	495		
RLF_TARGET_GENES	354	336		
RORA_TARGET_GENES	265	251		
RPA1_TARGET_GENES	80	73		
RPA2_TARGET_GENES	8		Rejected!	
RUVBL1_TARGET_GENES	183	172		
RUVBL2_TARGET_GENES	39	39		
RYBP_TARGET_GENES	1877		Rejected!	
SAFB2_TARGET_GENES	814		Rejected!	
SALL4_TARGET_GENES	1873		Rejected!	
SETBP1_TARGET_GENES	200	192		
SETD1A_TARGET_GENES	1534		Rejected!	
SETD7_TARGET_GENES	1004		Rejected!	
SFMBT1_TARGET_GENES	1688		Rejected!	
SIGMAR1_TARGET_GENES	15		Rejected!	
SIPA1_TARGET_GENES	149	135		
SIRT3_TARGET_GENES	61	48		
SIX1_TARGET_GENES	381	342		
SIX4_TARGET_GENES	42	40		
SKIL_TARGET_GENES	1984		Rejected!	
SKP2_TARGET_GENES	70	60		
SMARCA1_TARGET_GENES	138	131		
SMCHD1_TARGET_GENES	73	51		
SMN1_SMN2_TARGET_GENES	939		Rejected!	
SNAI1_TARGET_GENES	515	475		
SNAPC2_TARGET_GENES	13		Rejected!	
SNAPC4_TARGET_GENES	139	120		
SNIP1_TARGET_GENES	780		Rejected!	
SNRNP70_TARGET_GENES	1017		Rejected!	
SOD1_TARGET_GENES	5		Rejected!	
SOX10_TARGET_GENES	316	277		
SOX11_TARGET_GENES	46	45		
SOX15_TARGET_GENES	6		Rejected!	
SOX3_TARGET_GENES	560		Rejected!	
SQSTM1_TARGET_GENES	51	45		
SRPK1_TARGET_GENES	407	368		
SRPK2_TARGET_GENES	82	68		
SRSF9_TARGET_GENES	935		Rejected!	
SS18_SSX1_FUSION_UNIPROT_Q8IZH1_UNREVIEWED_TARGET_GENES	416	370		
STN1_TARGET_GENES	11		Rejected!	
SUMO1_TARGET_GENES	1031		Rejected!	
SUPT16H_TARGET_GENES	1982		Rejected!	
SUPT20H_TARGET_GENES	1377		Rejected!	
SVIL_TARGET_GENES	22	20		
SYNCRIP_TARGET_GENES	21	19		
TAF9B_TARGET_GENES	575		Rejected!	
TAFAZZIN_TARGET_GENES	488	449		
TASOR_TARGET_GENES	292	284		
TBPL1_TARGET_GENES	222	177		
TBX1_TARGET_GENES	246	222		
TBX3_TARGET_GENES	826		Rejected!	
TCOF1_TARGET_GENES	15	15		
TDRD3_TARGET_GENES	5		Rejected!	
TEAD2_TARGET_GENES	1531		Rejected!	
TERF1_TARGET_GENES	300	279		
TERF2_TARGET_GENES	139	131		
TERT_TARGET_GENES	128	113		
TET1_TARGET_GENES	1321		Rejected!	
TFAM_TARGET_GENES	55	36		
TFCP2_TARGET_GENES	106	97		
TFDP2_TARGET_GENES	5		Rejected!	
TFEB_TARGET_GENES	1417		Rejected!	
THRAP3_TARGET_GENES	29	28		
THRA_TARGET_GENES	112	108		
TOP2B_TARGET_GENES	620		Rejected!	
TOX4_TARGET_GENES	228	220		
TRIP13_TARGET_GENES	99	91		
TSHZ1_TARGET_GENES	239	221		
TUBG1_TARGET_GENES	10		Rejected!	
UBE2I_TARGET_GENES	93	86		
UBN1_TARGET_GENES	1827		Rejected!	
VRTN_TARGET_GENES	23	19		
WDHD1_TARGET_GENES	204	186		
WIZ_TARGET_GENES	21	17		
WRNIP1_TARGET_GENES	1232		Rejected!	
WRN_TARGET_GENES	15	15		
XPO1_TARGET_GENES	31	29		
YBX1_TARGET_GENES	75	67		
YBX3_TARGET_GENES	58	58		
ZA_UNIPROT_Q9UM89_UNREVIEWED_GENES_TARGET_GENES	73	69		
ZBED4_TARGET_GENES	309	297		
ZBED5_TARGET_GENES	1645		Rejected!	
ZBTB12_TARGET_GENES	1318		Rejected!	
ZBTB18_TARGET_GENES	855		Rejected!	
ZBTB1_TARGET_GENES	116	107		
ZBTB44_TARGET_GENES	799		Rejected!	
ZBTB49_TARGET_GENES	10		Rejected!	
ZBTB5_TARGET_GENES	518	490		
ZC3H11A_TARGET_GENES	994		Rejected!	
ZFHX3_TARGET_GENES	1888		Rejected!	
ZFP28_TARGET_GENES	132	104		
ZFP36L1_TARGET_GENES	80	76		
ZFP37_TARGET_GENES	8		Rejected!	
ZFP3_TARGET_GENES	360	332		
ZFP82_TARGET_GENES	44	39		
ZFP91_TARGET_GENES	1467		Rejected!	
ZIM3_TARGET_GENES	1197		Rejected!	
ZMYM2_TARGET_GENES	130	123		
ZMYND11_TARGET_GENES	55	49		
ZNF101_TARGET_GENES	492	454		
ZNF10_TARGET_GENES	833		Rejected!	
ZNF112_TARGET_GENES	7		Rejected!	
ZNF133_TARGET_GENES	238	217		
ZNF134_TARGET_GENES	1104		Rejected!	
ZNF136_TARGET_GENES	15		Rejected!	
ZNF138_TARGET_GENES	5		Rejected!	
ZNF140_TARGET_GENES	745		Rejected!	
ZNF146_TARGET_GENES	1294		Rejected!	
ZNF157_TARGET_GENES	85	75		
ZNF165_TARGET_GENES	86	83		
ZNF169_TARGET_GENES	46	43		
ZNF16_TARGET_GENES	77	73		
ZNF175_TARGET_GENES	868		Rejected!	
ZNF184_TARGET_GENES	1514		Rejected!	
ZNF197_TARGET_GENES	668		Rejected!	
ZNF19_TARGET_GENES	13		Rejected!	
ZNF202_TARGET_GENES	83	75		
ZNF20_TARGET_GENES	6		Rejected!	
ZNF211_TARGET_GENES	7		Rejected!	
ZNF213_TARGET_GENES	597		Rejected!	
ZNF214_TARGET_GENES	22	20		
ZNF223_TARGET_GENES	329	311		
ZNF224_TARGET_GENES	1376		Rejected!	
ZNF22_TARGET_GENES	1210		Rejected!	
ZNF236_TARGET_GENES	265	250		
ZNF239_TARGET_GENES	38	38		
ZNF23_TARGET_GENES	17	16		
ZNF248_TARGET_GENES	5		Rejected!	
ZNF250_TARGET_GENES	587		Rejected!	
ZNF257_TARGET_GENES	566		Rejected!	
ZNF260_TARGET_GENES	880		Rejected!	
ZNF26_TARGET_GENES	30	27		
ZNF274_TARGET_GENES	1129		Rejected!	
ZNF282_TARGET_GENES	1076		Rejected!	
ZNF292_TARGET_GENES	24	22		
ZNF2_TARGET_GENES	1207		Rejected!	
ZNF302_TARGET_GENES	6		Rejected!	
ZNF30_TARGET_GENES	1555		Rejected!	
ZNF318_TARGET_GENES	1159		Rejected!	
ZNF320_TARGET_GENES	1606		Rejected!	
ZNF322_TARGET_GENES	950		Rejected!	
ZNF329_TARGET_GENES	591		Rejected!	
ZNF331_TARGET_GENES	372	344		
ZNF33A_TARGET_GENES	260	238		
ZNF34_TARGET_GENES	339	290		
ZNF350_TARGET_GENES	1488		Rejected!	
ZNF354A_TARGET_GENES	32	24		
ZNF354B_TARGET_GENES	208	203		
ZNF354C_TARGET_GENES	15		Rejected!	
ZNF362_TARGET_GENES	634		Rejected!	
ZNF37A_TARGET_GENES	159	152		
ZNF391_TARGET_GENES	963		Rejected!	
ZNF394_TARGET_GENES	1131		Rejected!	
ZNF404_TARGET_GENES	21	20		
ZNF407_TARGET_GENES	1999		Rejected!	
ZNF410_TARGET_GENES	636		Rejected!	
ZNF416_TARGET_GENES	6		Rejected!	
ZNF418_TARGET_GENES	44	38		
ZNF419_TARGET_GENES	8		Rejected!	
ZNF41_TARGET_GENES	242	222		
ZNF423_TARGET_GENES	1081		Rejected!	
ZNF426_TARGET_GENES	221	181		
ZNF433_TARGET_GENES	68	63		
ZNF436_TARGET_GENES	511	455		
ZNF445_TARGET_GENES	8		Rejected!	
ZNF454_TARGET_GENES	19	16		
ZNF486_TARGET_GENES	301	233		
ZNF488_TARGET_GENES	45	36		
ZNF490_TARGET_GENES	501	443		
ZNF491_TARGET_GENES	10		Rejected!	
ZNF493_TARGET_GENES	8		Rejected!	
ZNF501_TARGET_GENES	13		Rejected!	
ZNF502_TARGET_GENES	37	35		
ZNF507_TARGET_GENES	663		Rejected!	
ZNF510_TARGET_GENES	41	40		
ZNF512B_TARGET_GENES	221	203		
ZNF512_TARGET_GENES	446	401		
ZNF513_TARGET_GENES	785		Rejected!	
ZNF514_TARGET_GENES	8		Rejected!	
ZNF524_TARGET_GENES	356	342		
ZNF528_TARGET_GENES	807		Rejected!	
ZNF529_TARGET_GENES	47	39		
ZNF530_TARGET_GENES	33	31		
ZNF532_TARGET_GENES	66	57		
ZNF544_TARGET_GENES	6		Rejected!	
ZNF547_TARGET_GENES	351	314		
ZNF548_TARGET_GENES	63	61		
ZNF549_TARGET_GENES	1310		Rejected!	
ZNF555_TARGET_GENES	166	137		
ZNF558_TARGET_GENES	315	285		
ZNF560_TARGET_GENES	51	46		
ZNF561_TARGET_GENES	874		Rejected!	
ZNF563_TARGET_GENES	655		Rejected!	
ZNF577_TARGET_GENES	538	495		
ZNF579_TARGET_GENES	796		Rejected!	
ZNF581_TARGET_GENES	335	320		
ZNF582_TARGET_GENES	77	71		
ZNF584_TARGET_GENES	380	357		
ZNF585B_TARGET_GENES	138	127		
ZNF586_TARGET_GENES	59	53		
ZNF589_TARGET_GENES	709		Rejected!	
ZNF592_TARGET_GENES	1926		Rejected!	
ZNF595_TARGET_GENES	133	124		
ZNF596_TARGET_GENES	664		Rejected!	
ZNF597_TARGET_GENES	893		Rejected!	
ZNF610_TARGET_GENES	911		Rejected!	
ZNF618_TARGET_GENES	1489		Rejected!	
ZNF622_TARGET_GENES	71	68		
ZNF623_TARGET_GENES	480	420		
ZNF626_TARGET_GENES	11		Rejected!	
ZNF660_TARGET_GENES	800		Rejected!	
ZNF664_TARGET_GENES	1005		Rejected!	
ZNF667_TARGET_GENES	148	140		
ZNF669_TARGET_GENES	132	122		
ZNF677_TARGET_GENES	181	165		
ZNF680_TARGET_GENES	887		Rejected!	
ZNF697_TARGET_GENES	225	182		
ZNF704_TARGET_GENES	71	69		
ZNF707_TARGET_GENES	53	46		
ZNF708_TARGET_GENES	99	89		
ZNF711_TARGET_GENES	1763		Rejected!	
ZNF740_TARGET_GENES	1550		Rejected!	
ZNF746_TARGET_GENES	80	75		
ZNF766_TARGET_GENES	1220		Rejected!	
ZNF768_TARGET_GENES	1362		Rejected!	
ZNF774_TARGET_GENES	29	26		
ZNF776_TARGET_GENES	9		Rejected!	
ZNF777_TARGET_GENES	69	62		
ZNF781_TARGET_GENES	216	178		
ZNF784_TARGET_GENES	557		Rejected!	
ZNF785_TARGET_GENES	69	67		
ZNF791_TARGET_GENES	69	58		
ZNF7_TARGET_GENES	920		Rejected!	
ZNF816_TARGET_GENES	552		Rejected!	
ZNF830_TARGET_GENES	287	270		
ZNF837_TARGET_GENES	9		Rejected!	
ZNF843_TARGET_GENES	902		Rejected!	
ZNF85_TARGET_GENES	327	310		
ZNF8_TARGET_GENES	1056		Rejected!	
ZNF92_TARGET_GENES	1464		Rejected!	
ZSCAN18_TARGET_GENES	49	48		
ZSCAN21_TARGET_GENES	514	494		
ZSCAN23_TARGET_GENES	87	80		
ZSCAN26_TARGET_GENES	5		Rejected!	
ZSCAN2_TARGET_GENES	926		Rejected!	
ZSCAN30_TARGET_GENES	1785		Rejected!	
ZSCAN31_TARGET_GENES	943		Rejected!	
ZSCAN4_TARGET_GENES	1460		Rejected!	
ZSCAN5B_TARGET_GENES	85	78		
ZSCAN5C_TARGET_GENES	152	144		
ZSCAN5DP_TARGET_GENES	1537		Rejected!	
ZZZ3_TARGET_GENES	318	269		
