NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
DROSHA_TARGET_GENES	DROSHA_TARGET_GENES	Details ...	65	-0.5255645	-2.0446172	0.0038610038	0.014161273	0.011	1541	tags=29%, list=5%, signal=31%	
HJURP_TARGET_GENES	HJURP_TARGET_GENES	Details ...	53	-0.5986309	-1.9925491	0.010162601	0.0142418565	0.022	3074	tags=40%, list=11%, signal=44%	
TFAM_TARGET_GENES	TFAM_TARGET_GENES	Details ...	36	-0.6774333	-1.9328587	0.011741683	0.020522501	0.043	4233	tags=58%, list=15%, signal=68%	
HMCES_TARGET_GENES	HMCES_TARGET_GENES	Details ...	21	-0.7509056	-1.7388169	0.0403071	0.10116738	0.261	2170	tags=57%, list=8%, signal=62%	
VRTN_TARGET_GENES	VRTN_TARGET_GENES	Details ...	19	-0.57451105	-1.6473165	0.01629328	0.18499525	0.473	5564	tags=58%, list=20%, signal=72%	
THRA_TARGET_GENES	THRA_TARGET_GENES	Details ...	108	-0.37652433	-1.6373043	0.022132797	0.1668204	0.495	4390	tags=28%, list=15%, signal=33%	
ZNF214_TARGET_GENES	ZNF214_TARGET_GENES	Details ...	20	-0.51572675	-1.6068164	0.014373717	0.18524529	0.556	6834	tags=45%, list=24%, signal=59%	
ZNF169_TARGET_GENES	ZNF169_TARGET_GENES	Details ...	43	-0.39789698	-1.6008886	0.010438413	0.17239471	0.577	4278	tags=30%, list=15%, signal=36%	
SETBP1_TARGET_GENES	SETBP1_TARGET_GENES	Details ...	192	-0.31563374	-1.5556164	0.018181818	0.22811806	0.7	6074	tags=29%, list=21%, signal=36%	
ZNF708_TARGET_GENES	ZNF708_TARGET_GENES	Details ...	89	-0.34766722	-1.5551003	0.010141988	0.2058135	0.7	8073	tags=44%, list=28%, signal=61%	
ERCC8_TARGET_GENES	ERCC8_TARGET_GENES	Details ...	15	-0.51186824	-1.5119437	0.06365503	0.26514888	0.782	8191	tags=47%, list=29%, signal=66%	
ZNF418_TARGET_GENES	ZNF418_TARGET_GENES	Details ...	38	-0.43624777	-1.4983454	0.08032128	0.2709395	0.8	4080	tags=32%, list=14%, signal=37%	
RPA1_TARGET_GENES	RPA1_TARGET_GENES	Details ...	73	-0.38353825	-1.4908391	0.067073174	0.26535302	0.822	3074	tags=25%, list=11%, signal=28%	
METHYLCYTOSINE_DIOXYGENASE_TET_UNIPROT_A0A023HHK9_UNREVIEWED_TARGET_GENES	METHYLCYTOSINE_DIOXYGENASE_TET_UNIPROT_A0A023HHK9_UNREVIEWED_TARGET_GENES	Details ...	163	-0.2951213	-1.489574	0.026530612	0.24862243	0.825	5981	tags=31%, list=21%, signal=39%	
SMCHD1_TARGET_GENES	SMCHD1_TARGET_GENES	Details ...	51	-0.3524747	-1.4886786	0.012448133	0.233281	0.827	3074	tags=24%, list=11%, signal=26%	
DICER1_TARGET_GENES	DICER1_TARGET_GENES	Details ...	86	-0.36006385	-1.4754182	0.04183267	0.24088039	0.843	5841	tags=34%, list=21%, signal=42%	
ASXL2_TARGET_GENES	ASXL2_TARGET_GENES	Details ...	45	-0.3658637	-1.4708655	0.045081966	0.2335175	0.845	3499	tags=27%, list=12%, signal=30%	
ZFP82_TARGET_GENES	ZFP82_TARGET_GENES	Details ...	39	-0.3857285	-1.4565363	0.041322313	0.24423505	0.866	6505	tags=44%, list=23%, signal=56%	
SMARCA1_TARGET_GENES	SMARCA1_TARGET_GENES	Details ...	131	-0.27061042	-1.4524778	0.016563147	0.23877758	0.876	4316	tags=24%, list=15%, signal=29%	
ZNF454_TARGET_GENES	ZNF454_TARGET_GENES	Details ...	16	-0.47028026	-1.4521855	0.08349515	0.22738443	0.876	3634	tags=31%, list=13%, signal=36%	
ZNF502_TARGET_GENES	ZNF502_TARGET_GENES		35	-0.3822043	-1.4332634	0.070564516	0.24729757	0.902	2014	tags=20%, list=7%, signal=22%	
TRIP13_TARGET_GENES	TRIP13_TARGET_GENES		91	-0.34312114	-1.4249588	0.08016032	0.24939628	0.911	3765	tags=26%, list=13%, signal=30%	
SNAI1_TARGET_GENES	SNAI1_TARGET_GENES		475	-0.24078806	-1.4078768	0.01268499	0.2689366	0.93	6091	tags=26%, list=21%, signal=33%	
GTF3A_TARGET_GENES	GTF3A_TARGET_GENES		27	-0.411419	-1.3969594	0.11262136	0.2776469	0.938	2232	tags=22%, list=8%, signal=24%	
WIZ_TARGET_GENES	WIZ_TARGET_GENES		17	-0.44545564	-1.3947029	0.10153256	0.2713102	0.943	4829	tags=35%, list=17%, signal=43%	
HEY2_TARGET_GENES	HEY2_TARGET_GENES		67	-0.32038602	-1.3863543	0.08368201	0.2757467	0.95	3403	tags=22%, list=12%, signal=25%	
ZNF331_TARGET_GENES	ZNF331_TARGET_GENES		344	-0.24978541	-1.3791527	0.040650405	0.28012058	0.957	5174	tags=25%, list=18%, signal=30%	
CHAMP1_TARGET_GENES	CHAMP1_TARGET_GENES		198	-0.2774063	-1.3765217	0.07185629	0.2742825	0.957	4909	tags=23%, list=17%, signal=28%	
ZNF595_TARGET_GENES	ZNF595_TARGET_GENES		124	-0.27819473	-1.3743777	0.060784314	0.26907843	0.958	3941	tags=20%, list=14%, signal=23%	
ZNF488_TARGET_GENES	ZNF488_TARGET_GENES		36	-0.357036	-1.3586063	0.11018711	0.28832915	0.966	6081	tags=39%, list=21%, signal=49%	
NEUROG3_TARGET_GENES	NEUROG3_TARGET_GENES		22	-0.4557093	-1.3443713	0.14343435	0.30558693	0.971	5439	tags=41%, list=19%, signal=51%	
ARHGAP35_TARGET_GENES	ARHGAP35_TARGET_GENES		111	-0.27472743	-1.3266793	0.06105263	0.33370325	0.975	3782	tags=20%, list=13%, signal=23%	
ZNF37A_TARGET_GENES	ZNF37A_TARGET_GENES		152	-0.25549442	-1.3133867	0.07692308	0.35260627	0.979	2500	tags=16%, list=9%, signal=17%	
PCGF6_TARGET_GENES	PCGF6_TARGET_GENES		77	-0.28880668	-1.3018233	0.11777302	0.3675023	0.981	4885	tags=23%, list=17%, signal=28%	
NCOA6_TARGET_GENES	NCOA6_TARGET_GENES		352	-0.23029768	-1.3003875	0.056	0.36027956	0.982	5909	tags=26%, list=21%, signal=33%	
ZNF512B_TARGET_GENES	ZNF512B_TARGET_GENES		203	-0.23728591	-1.2908669	0.055214725	0.37215185	0.984	4836	tags=23%, list=17%, signal=28%	
WDHD1_TARGET_GENES	WDHD1_TARGET_GENES		186	-0.25240853	-1.2868296	0.06708595	0.3705281	0.985	6157	tags=28%, list=22%, signal=35%	
RLF_TARGET_GENES	RLF_TARGET_GENES		336	-0.23063013	-1.286523	0.08946322	0.3613238	0.985	5047	tags=23%, list=18%, signal=27%	
BRF2_TARGET_GENES	BRF2_TARGET_GENES		16	-0.4240202	-1.2762359	0.17408124	0.37379152	0.986	2087	tags=25%, list=7%, signal=27%	
HSF4_TARGET_GENES	HSF4_TARGET_GENES		22	-0.4219794	-1.273391	0.20564516	0.37103435	0.988	2470	tags=23%, list=9%, signal=25%	
ZBTB1_TARGET_GENES	ZBTB1_TARGET_GENES		107	-0.266504	-1.2728637	0.11262136	0.3630432	0.988	8111	tags=38%, list=29%, signal=53%	
SRPK1_TARGET_GENES	SRPK1_TARGET_GENES		368	-0.22852005	-1.2672834	0.097363085	0.3656359	0.99	6291	tags=27%, list=22%, signal=34%	
ZNF577_TARGET_GENES	ZNF577_TARGET_GENES		495	-0.21215178	-1.264361	0.06097561	0.36405838	0.99	7020	tags=29%, list=25%, signal=38%	
TERF1_TARGET_GENES	TERF1_TARGET_GENES		279	-0.2207405	-1.2633722	0.07676349	0.35812575	0.99	6504	tags=29%, list=23%, signal=37%	
IRX2_TARGET_GENES	IRX2_TARGET_GENES		225	-0.2258089	-1.2470392	0.11618257	0.38586137	0.991	4475	tags=22%, list=16%, signal=26%	
TERF2_TARGET_GENES	TERF2_TARGET_GENES		131	-0.2427088	-1.243687	0.13253012	0.38461992	0.991	6318	tags=30%, list=22%, signal=38%	
ZNF133_TARGET_GENES	ZNF133_TARGET_GENES		217	-0.23344871	-1.2293359	0.092156865	0.40774834	0.993	5141	tags=21%, list=18%, signal=26%	
ZNF510_TARGET_GENES	ZNF510_TARGET_GENES		40	-0.29739556	-1.2279897	0.17322835	0.4020114	0.993	4825	tags=28%, list=17%, signal=33%	
ZNF236_TARGET_GENES	ZNF236_TARGET_GENES		250	-0.22980298	-1.2215946	0.15768462	0.40864128	0.993	7034	tags=29%, list=25%, signal=38%	
ZNF667_TARGET_GENES	ZNF667_TARGET_GENES		140	-0.2723945	-1.2027596	0.21428572	0.4442477	0.995	6931	tags=30%, list=24%, signal=39%	
EMX1_TARGET_GENES	EMX1_TARGET_GENES		216	-0.24593091	-1.1844106	0.2555781	0.48195854	0.996	6510	tags=25%, list=23%, signal=33%	
ZNF558_TARGET_GENES	ZNF558_TARGET_GENES		285	-0.21338935	-1.1821543	0.15923567	0.4784498	0.996	4278	tags=19%, list=15%, signal=22%	
ZNF581_TARGET_GENES	ZNF581_TARGET_GENES		320	-0.22674972	-1.1814919	0.21193415	0.4708136	0.996	10977	tags=46%, list=39%, signal=74%	
PGBD5_TARGET_GENES	PGBD5_TARGET_GENES		18	-0.36334938	-1.1791011	0.21456693	0.46813014	0.996	5586	tags=39%, list=20%, signal=48%	
ALX4_TARGET_GENES	ALX4_TARGET_GENES		32	-0.3033938	-1.1770778	0.234375	0.46477962	0.996	4555	tags=28%, list=16%, signal=33%	
CIC_TARGET_GENES	CIC_TARGET_GENES		471	-0.20207828	-1.1631432	0.18685831	0.49035835	0.999	6138	tags=24%, list=22%, signal=30%	
ZNF555_TARGET_GENES	ZNF555_TARGET_GENES		137	-0.22888519	-1.159282	0.19681908	0.491523	0.999	7921	tags=33%, list=28%, signal=45%	
MYBL1_TARGET_GENES	MYBL1_TARGET_GENES		446	-0.19620955	-1.1590831	0.1923077	0.48348427	0.999	6140	tags=23%, list=22%, signal=29%	
ZNF622_TARGET_GENES	ZNF622_TARGET_GENES		68	-0.28826258	-1.1586457	0.26358148	0.47623628	0.999	5894	tags=29%, list=21%, signal=37%	
HOXA13_TARGET_GENES	HOXA13_TARGET_GENES		50	-0.2701328	-1.1548488	0.24324325	0.47761452	0.999	5786	tags=26%, list=20%, signal=33%	
ZNF781_TARGET_GENES	ZNF781_TARGET_GENES		178	-0.22517306	-1.1490862	0.21370968	0.48469934	0.999	9124	tags=38%, list=32%, signal=55%	
ZNF426_TARGET_GENES	ZNF426_TARGET_GENES		181	-0.22444008	-1.1376188	0.22828282	0.5070419	0.999	9124	tags=39%, list=32%, signal=57%	
ZNF486_TARGET_GENES	ZNF486_TARGET_GENES		233	-0.22950234	-1.1344047	0.2611336	0.5074942	0.999	8292	tags=39%, list=29%, signal=55%	
IRX3_TARGET_GENES	IRX3_TARGET_GENES		51	-0.2837979	-1.1342516	0.31325302	0.49982587	0.999	5534	tags=29%, list=19%, signal=36%	
HOXD11_TARGET_GENES	HOXD11_TARGET_GENES		143	-0.23027642	-1.1285218	0.28456914	0.5066556	1.0	6229	tags=26%, list=22%, signal=33%	
ZNF41_TARGET_GENES	ZNF41_TARGET_GENES		222	-0.21815896	-1.1247606	0.22924902	0.5083319	1.0	5793	tags=24%, list=20%, signal=30%	
