NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	5	1.481978178024292	0.020714454	Yes	
row_1	TRIB1	tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]	12	1.3427228927612305	0.039430235	Yes	
row_2	SIRPA	signal regulatory protein alpha [Source:HGNC Symbol;Acc:HGNC:9662]	14	1.3044480085372925	0.057784088	Yes	
row_3	KCNJ2	potassium inwardly rectifying channel subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:6263]	49	1.0740607976913452	0.071717575	Yes	
row_4	AQP9	aquaporin 9 [Source:HGNC Symbol;Acc:HGNC:643]	80	0.9928036332130432	0.084647655	Yes	
row_5	DYRK3	dual specificity tyrosine phosphorylation regulated kinase 3 [Source:HGNC Symbol;Acc:HGNC:3094]	85	0.9794262051582336	0.098312944	Yes	
row_6	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	105	0.9311515688896179	0.11076473	Yes	
row_7	CUEDC1	CUE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:31350]	120	0.9144334197044373	0.12315848	Yes	
row_8	BCL6	BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]	148	0.8823238611221313	0.13463767	Yes	
row_9	NLRP3	NLR family pyrin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:16400]	152	0.8803114891052246	0.14694123	Yes	
row_10	REXO2	RNA exonuclease 2 [Source:HGNC Symbol;Acc:HGNC:17851]	184	0.8485405445098877	0.15780205	Yes	
row_11	S100A9	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	225	0.8120447993278503	0.16782859	Yes	
row_12	THRA	thyroid hormone receptor alpha [Source:HGNC Symbol;Acc:HGNC:11796]	283	0.7712920904159546	0.1766766	Yes	
row_13	SHKBP1	SH3KBP1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19214]	290	0.7657972574234009	0.18725921	Yes	
row_14	STEAP4	STEAP4 metalloreductase [Source:HGNC Symbol;Acc:HGNC:21923]	339	0.7405148148536682	0.19599313	Yes	
row_15	NFKBIZ	NFKB inhibitor zeta [Source:HGNC Symbol;Acc:HGNC:29805]	383	0.7142737507820129	0.20453475	Yes	
row_16	PCTP	phosphatidylcholine transfer protein [Source:HGNC Symbol;Acc:HGNC:8752]	455	0.6889322996139526	0.2117243	Yes	
row_17	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	471	0.6807648539543152	0.22078839	Yes	
row_18	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	491	0.672667920589447	0.22959621	Yes	
row_19	IL27	interleukin 27 [Source:HGNC Symbol;Acc:HGNC:19157]	536	0.6570227146148682	0.23729521	Yes	
row_20	ASGR1	asialoglycoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:742]	592	0.6406325101852417	0.24437234	Yes	
row_21	KRT23	keratin 23 [Source:HGNC Symbol;Acc:HGNC:6438]	696	0.6070029139518738	0.2492699	Yes	
row_22	RAB44	RAB44, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:21068]	759	0.5914650559425354	0.25540516	Yes	
row_23	RUVBL2	RuvB like AAA ATPase 2 [Source:HGNC Symbol;Acc:HGNC:10475]	831	0.5751506090164185	0.26099068	Yes	
row_24	HOXA5	homeobox A5 [Source:HGNC Symbol;Acc:HGNC:5106]	1137	0.5139384269714355	0.25739914	Yes	
row_25	PRDX3	peroxiredoxin 3 [Source:HGNC Symbol;Acc:HGNC:9354]	1270	0.49289271235466003	0.25965768	Yes	
row_26	PER1	period circadian regulator 1 [Source:HGNC Symbol;Acc:HGNC:8845]	1501	0.4597989618778229	0.2579677	Yes	
row_27	FCER1G	Fc epsilon receptor Ig [Source:HGNC Symbol;Acc:HGNC:3611]	1622	0.4449928402900696	0.25997734	Yes	
row_28	TMEM104	transmembrane protein 104 [Source:HGNC Symbol;Acc:HGNC:25984]	1626	0.4446410834789276	0.26613906	Yes	
row_29	STEAP2	STEAP2 metalloreductase [Source:HGNC Symbol;Acc:HGNC:17885]	1756	0.431533545255661	0.26763916	Yes	
row_30	NAT9	N-acetyltransferase 9 (putative) [Source:HGNC Symbol;Acc:HGNC:23133]	1844	0.4237239360809326	0.27052146	Yes	
row_31	C1orf122	chromosome 1 open reading frame 122 [Source:HGNC Symbol;Acc:HGNC:24789]	1852	0.42198023200035095	0.27622157	Yes	
row_32	SPRED1	sprouty related EVH1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20249]	2152	0.3958250880241394	0.27117816	Yes	
row_33	YRDC	yrdC N6-threonylcarbamoyltransferase domain containing [Source:HGNC Symbol;Acc:HGNC:28905]	2222	0.38948535919189453	0.2742173	Yes	
row_34	G0S2	G0/G1 switch 2 [Source:HGNC Symbol;Acc:HGNC:30229]	2244	0.38796934485435486	0.27894056	Yes	
row_35	MRC2	mannose receptor C type 2 [Source:HGNC Symbol;Acc:HGNC:16875]	2465	0.36911311745643616	0.27632743	Yes	
row_36	MTF1	metal regulatory transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7428]	2541	0.3636742830276489	0.27878955	Yes	
row_37	BUD31	BUD31 homolog [Source:HGNC Symbol;Acc:HGNC:29629]	2625	0.3573881983757019	0.28087878	Yes	
row_38	H1-2	H1.2 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4716]	2649	0.35572633147239685	0.2850764	Yes	
row_39	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	2680	0.35354283452033997	0.28899458	Yes	
row_40	TSHZ3	teashirt zinc finger homeobox 3 [Source:HGNC Symbol;Acc:HGNC:30700]	2762	0.34708449244499207	0.2910096	Yes	
row_41	ARNT	aryl hydrocarbon receptor nuclear translocator [Source:HGNC Symbol;Acc:HGNC:700]	2772	0.34652218222618103	0.29557493	Yes	
row_42	PRLR	prolactin receptor [Source:HGNC Symbol;Acc:HGNC:9446]	2794	0.3444144129753113	0.29968414	Yes	
row_43	PALS2	protein associated with LIN7 2, MAGUK p55 family member [Source:HGNC Symbol;Acc:HGNC:18167]	2851	0.33999407291412354	0.3024875	Yes	
row_44	CITED4	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4 [Source:HGNC Symbol;Acc:HGNC:18696]	3094	0.32578057050704956	0.29848185	No	
row_45	KCNH7	potassium voltage-gated channel subfamily H member 7 [Source:HGNC Symbol;Acc:HGNC:18863]	3229	0.31952378153800964	0.29822525	No	
row_46	ELAVL2	ELAV like RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3313]	3421	0.3111760914325714	0.29582575	No	
row_47	KCNE3	potassium voltage-gated channel subfamily E regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:6243]	3747	0.2940598130226135	0.2884239	No	
row_48	RASAL2	RAS protein activator like 2 [Source:HGNC Symbol;Acc:HGNC:9874]	3748	0.29400506615638733	0.29256862	No	
row_49	EDN2	endothelin 2 [Source:HGNC Symbol;Acc:HGNC:3177]	4128	0.2766309976577759	0.28300244	No	
row_50	ERLIN1	ER lipid raft associated 1 [Source:HGNC Symbol;Acc:HGNC:16947]	4164	0.27461808919906616	0.2856303	No	
row_51	SERPINF1	serpin family F member 1 [Source:HGNC Symbol;Acc:HGNC:8824]	4413	0.2636326551437378	0.2805353	No	
row_52	PIP5K1A	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha [Source:HGNC Symbol;Acc:HGNC:8994]	4574	0.25708314776420593	0.2784747	No	
row_53	RAB3IP	RAB3A interacting protein [Source:HGNC Symbol;Acc:HGNC:16508]	4814	0.2476540207862854	0.27347425	No	
row_54	PPP1CB	protein phosphatase 1 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9282]	4872	0.24497896432876587	0.27490258	No	
row_55	TCF12	transcription factor 12 [Source:HGNC Symbol;Acc:HGNC:11623]	5030	0.23812314867973328	0.27268127	No	
row_56	C1QL1	complement C1q like 1 [Source:HGNC Symbol;Acc:HGNC:24182]	5146	0.2345660924911499	0.27190205	No	
row_57	SOCS2	suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382]	5191	0.23283037543296814	0.27362105	No	
row_58	BNIP3L	BCL2 interacting protein 3 like [Source:HGNC Symbol;Acc:HGNC:1085]	5249	0.23004497587680817	0.27483886	No	
row_59	RS1	retinoschisin 1 [Source:HGNC Symbol;Acc:HGNC:10457]	5316	0.22832702100276947	0.2757127	No	
row_60	MYO1C	myosin IC [Source:HGNC Symbol;Acc:HGNC:7597]	5458	0.22315479815006256	0.27384883	No	
row_61	SEPHS2	selenophosphate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:19686]	5577	0.21995419263839722	0.27275705	No	
row_62	SLIT3	slit guidance ligand 3 [Source:HGNC Symbol;Acc:HGNC:11087]	5584	0.21940764784812927	0.27563697	No	
row_63	SULF1	sulfatase 1 [Source:HGNC Symbol;Acc:HGNC:20391]	5638	0.21651595830917358	0.27680618	No	
row_64	WNT5A	Wnt family member 5A [Source:HGNC Symbol;Acc:HGNC:12784]	5697	0.214752197265625	0.27777287	No	
row_65	CYP24A1	cytochrome P450 family 24 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2602]	5744	0.2130163013935089	0.27914146	No	
row_66	LEP	leptin [Source:HGNC Symbol;Acc:HGNC:6553]	5750	0.21253317594528198	0.28195998	No	
row_67	JADE3	jade family PHD finger 3 [Source:HGNC Symbol;Acc:HGNC:22982]	5891	0.2062353640794754	0.27989313	No	
row_68	EIF4A1	eukaryotic translation initiation factor 4A1 [Source:HGNC Symbol;Acc:HGNC:3282]	6153	0.19795654714107513	0.2734104	No	
row_69	ONECUT2	one cut homeobox 2 [Source:HGNC Symbol;Acc:HGNC:8139]	6605	0.18685382604599	0.2600204	No	
row_70	FGF14	fibroblast growth factor 14 [Source:HGNC Symbol;Acc:HGNC:3671]	6630	0.18685382604599	0.26180184	No	
row_71	FST	follistatin [Source:HGNC Symbol;Acc:HGNC:3971]	6688	0.1850406676530838	0.26238522	No	
row_72	CIPC	CLOCK interacting pacemaker [Source:HGNC Symbol;Acc:HGNC:20365]	6692	0.18491807579994202	0.26488551	No	
row_73	FIGN	fidgetin, microtubule severing factor [Source:HGNC Symbol;Acc:HGNC:13285]	6764	0.18401029706001282	0.26495692	No	
row_74	RC3H2	ring finger and CCCH-type domains 2 [Source:HGNC Symbol;Acc:HGNC:21461]	6831	0.1812119483947754	0.26516655	No	
row_75	PDAP1	PDGFA associated protein 1 [Source:HGNC Symbol;Acc:HGNC:14634]	6833	0.18118730187416077	0.2676853	No	
row_76	PPARG	peroxisome proliferator activated receptor gamma [Source:HGNC Symbol;Acc:HGNC:9236]	6950	0.1796409785747528	0.26609626	No	
row_77	DCAF6	DDB1 and CUL4 associated factor 6 [Source:HGNC Symbol;Acc:HGNC:30002]	7040	0.17619465291500092	0.26541796	No	
row_78	PDGFRL	platelet derived growth factor receptor like [Source:HGNC Symbol;Acc:HGNC:8805]	7397	0.16913241147994995	0.25515354	No	
row_79	SBF2	SET binding factor 2 [Source:HGNC Symbol;Acc:HGNC:2135]	7472	0.1680590957403183	0.25489348	No	
row_80	MEOX2	mesenchyme homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7014]	7492	0.16702450811862946	0.25657302	No	
row_81	UGP2	UDP-glucose pyrophosphorylase 2 [Source:HGNC Symbol;Acc:HGNC:12527]	7564	0.16393640637397766	0.25636145	No	
row_82	H2AJ	H2A.J histone [Source:HGNC Symbol;Acc:HGNC:14456]	7593	0.1628132462501526	0.25766188	No	
row_83	IL1RAPL2	interleukin 1 receptor accessory protein like 2 [Source:HGNC Symbol;Acc:HGNC:5997]	7668	0.1625809520483017	0.2573246	No	
row_84	PITX2	paired like homeodomain 2 [Source:HGNC Symbol;Acc:HGNC:9005]	7707	0.1625809520483017	0.25826642	No	
row_85	HSP90B1	heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]	7862	0.1570998728275299	0.25500947	No	
row_86	MAP3K3	mitogen-activated protein kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6855]	7928	0.15440179407596588	0.25487667	No	
row_87	ERF	ETS2 repressor factor [Source:HGNC Symbol;Acc:HGNC:3444]	8039	0.14983822405338287	0.25308067	No	
row_88	SMAD6	SMAD family member 6 [Source:HGNC Symbol;Acc:HGNC:6772]	8184	0.14348356425762177	0.24998707	No	
row_89	LMO4	LIM domain only 4 [Source:HGNC Symbol;Acc:HGNC:6644]	8439	0.1340024471282959	0.24285147	No	
row_90	IL19	interleukin 19 [Source:HGNC Symbol;Acc:HGNC:5990]	8804	0.1200803890824318	0.23161127	No	
row_91	TMPRSS4	transmembrane serine protease 4 [Source:HGNC Symbol;Acc:HGNC:11878]	8984	0.11290725320577621	0.22684304	No	
row_92	SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1 [Source:HGNC Symbol;Acc:HGNC:11097]	8988	0.11282016336917877	0.22832693	No	
row_93	ARHGEF38	Rho guanine nucleotide exchange factor 38 [Source:HGNC Symbol;Acc:HGNC:25968]	9070	0.11030562222003937	0.227004	No	
row_94	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6866]	9291	0.1039576604962349	0.22065288	No	
row_95	METTL9	methyltransferase like 9 [Source:HGNC Symbol;Acc:HGNC:24586]	9316	0.10292602330446243	0.22125115	No	
row_96	PHLDB1	pleckstrin homology like domain family B member 1 [Source:HGNC Symbol;Acc:HGNC:23697]	9322	0.10277465730905533	0.22252235	No	
row_97	VNN3P	vanin 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:16431]	9344	0.10183073580265045	0.22321177	No	
row_98	STAT3	signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]	9461	0.09769699722528458	0.22046754	No	
