NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TLR4	toll like receptor 4 [Source:HGNC Symbol;Acc:HGNC:11850]	38	1.105352520942688	0.017763043	Yes	
row_1	ARRB2	arrestin beta 2 [Source:HGNC Symbol;Acc:HGNC:712]	114	0.9208012223243713	0.03102106	Yes	
row_2	MYADM	myeloid associated differentiation marker [Source:HGNC Symbol;Acc:HGNC:7544]	221	0.8148722648620605	0.041346584	Yes	
row_3	CLEC12A	C-type lectin domain family 12 member A [Source:HGNC Symbol;Acc:HGNC:31713]	273	0.7791565656661987	0.053007744	Yes	
row_4	TYROBP	transmembrane immune signaling adaptor TYROBP [Source:HGNC Symbol;Acc:HGNC:12449]	280	0.7723680138587952	0.06614959	Yes	
row_5	TNFSF13	TNF superfamily member 13 [Source:HGNC Symbol;Acc:HGNC:11928]	345	0.736099123954773	0.07660459	Yes	
row_6	C1QA	complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]	381	0.7146223187446594	0.0877181	Yes	
row_7	CREB3	cAMP responsive element binding protein 3 [Source:HGNC Symbol;Acc:HGNC:2347]	476	0.6795247197151184	0.09612949	Yes	
row_8	TIE1	tyrosine kinase with immunoglobulin like and EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:11809]	516	0.6632784605026245	0.106213175	Yes	
row_9	PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 [Source:HGNC Symbol;Acc:HGNC:8875]	596	0.6386709213256836	0.11445086	Yes	
row_10	STAB1	stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]	601	0.6369934678077698	0.12532298	Yes	
row_11	TWIST1	twist family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:12428]	636	0.6245601177215576	0.13491476	Yes	
row_12	TBC1D10B	TBC1 domain family member 10B [Source:HGNC Symbol;Acc:HGNC:24510]	698	0.6063932180404663	0.14323355	Yes	
row_13	VIM	vimentin [Source:HGNC Symbol;Acc:HGNC:12692]	751	0.5943970680236816	0.15166456	Yes	
row_14	OSER1	oxidative stress responsive serine rich 1 [Source:HGNC Symbol;Acc:HGNC:16105]	757	0.5920472741127014	0.16172402	Yes	
row_15	AKT1S1	AKT1 substrate 1 [Source:HGNC Symbol;Acc:HGNC:28426]	770	0.5896751284599304	0.17149386	Yes	
row_16	NIPAL3	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]	888	0.5638248324394226	0.17708792	Yes	
row_17	TBC1D8	TBC1 domain family member 8 [Source:HGNC Symbol;Acc:HGNC:17791]	898	0.561545193195343	0.18647791	Yes	
row_18	CARD9	caspase recruitment domain family member 9 [Source:HGNC Symbol;Acc:HGNC:16391]	901	0.5607233643531799	0.19610229	Yes	
row_19	CD274	CD274 molecule [Source:HGNC Symbol;Acc:HGNC:17635]	934	0.5520418882369995	0.20451118	Yes	
row_20	ZNF668	zinc finger protein 668 [Source:HGNC Symbol;Acc:HGNC:25821]	1007	0.5392428636550903	0.21127826	Yes	
row_21	CD37	CD37 molecule [Source:HGNC Symbol;Acc:HGNC:1666]	1217	0.4997134804725647	0.21249661	Yes	
row_22	WAS	WASP actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12731]	1367	0.47930195927619934	0.21549277	Yes	
row_23	PSME2	proteasome activator subunit 2 [Source:HGNC Symbol;Acc:HGNC:9569]	1382	0.47737744450569153	0.22324988	Yes	
row_24	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3288]	1469	0.4636334776878357	0.22821242	Yes	
row_25	AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:324]	1471	0.46354272961616516	0.23619197	Yes	
