NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FAM20C	FAM20C golgi associated secretory pathway kinase [Source:HGNC Symbol;Acc:HGNC:22140]	33	1.1253185272216797	0.01619967	Yes	
row_1	LRP1	LDL receptor related protein 1 [Source:HGNC Symbol;Acc:HGNC:6692]	95	0.9531129002571106	0.028746102	Yes	
row_2	PNPLA2	patatin like phospholipase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30802]	171	0.8643139004707336	0.03942429	Yes	
row_3	AP1B1	adaptor related protein complex 1 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:554]	209	0.8299158811569214	0.05092156	Yes	
row_4	EGR3	early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]	240	0.8002263307571411	0.0622092	Yes	
row_5	GPRC5B	G protein-coupled receptor class C group 5 member B [Source:HGNC Symbol;Acc:HGNC:13308]	304	0.7556949853897095	0.07163693	Yes	
row_6	NUDT22	nudix hydrolase 22 [Source:HGNC Symbol;Acc:HGNC:28189]	330	0.7455476522445679	0.08225811	Yes	
row_7	RNF144B	ring finger protein 144B [Source:HGNC Symbol;Acc:HGNC:21578]	350	0.7336210012435913	0.09290835	Yes	
row_8	ADGRA2	adhesion G protein-coupled receptor A2 [Source:HGNC Symbol;Acc:HGNC:17849]	372	0.7224540114402771	0.10331514	Yes	
row_9	PRR14	proline rich 14 [Source:HGNC Symbol;Acc:HGNC:28458]	377	0.7181737422943115	0.11425985	Yes	
row_10	DRC3	dynein regulatory complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:25384]	414	0.7043489813804626	0.123854205	Yes	
row_11	TCN2	transcobalamin 2 [Source:HGNC Symbol;Acc:HGNC:11653]	419	0.7017406225204468	0.13454522	Yes	
row_12	FKBP5	FKBP prolyl isomerase 5 [Source:HGNC Symbol;Acc:HGNC:3721]	434	0.6950296759605408	0.14477736	Yes	
row_13	SNAI1	snail family transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:11128]	448	0.6912957429885864	0.15498737	Yes	
row_14	MAP3K20	mitogen-activated protein kinase kinase kinase 20 [Source:HGNC Symbol;Acc:HGNC:17797]	582	0.6428885459899902	0.16018662	Yes	
row_15	CKAP4	cytoskeleton associated protein 4 [Source:HGNC Symbol;Acc:HGNC:16991]	727	0.5988149642944336	0.16431466	Yes	
row_16	HOXA5	homeobox A5 [Source:HGNC Symbol;Acc:HGNC:5106]	1137	0.5139384269714355	0.15771721	Yes	
row_17	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	1282	0.4910338222980499	0.16018139	Yes	
row_18	PRKCSH	protein kinase C substrate 80K-H [Source:HGNC Symbol;Acc:HGNC:9411]	1360	0.48018893599510193	0.16485858	Yes	
row_19	NR1H3	nuclear receptor subfamily 1 group H member 3 [Source:HGNC Symbol;Acc:HGNC:7966]	1517	0.4572441279888153	0.16637476	Yes	
row_20	C2CD2L	C2CD2 like [Source:HGNC Symbol;Acc:HGNC:29000]	1604	0.44735008478164673	0.17022525	Yes	
row_21	SAMD14	sterile alpha motif domain containing 14 [Source:HGNC Symbol;Acc:HGNC:27312]	1658	0.44139254093170166	0.1751562	Yes	
row_22	MOBP	myelin associated oligodendrocyte basic protein [Source:HGNC Symbol;Acc:HGNC:7189]	1762	0.43071436882019043	0.17814589	Yes	
row_23	ZDHHC3	zinc finger DHHC-type palmitoyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:18470]	1785	0.42872124910354614	0.18398264	Yes	
row_24	CSF2	colony stimulating factor 2 [Source:HGNC Symbol;Acc:HGNC:2434]	1870	0.419866144657135	0.18747988	Yes	
row_25	CDK16	cyclin dependent kinase 16 [Source:HGNC Symbol;Acc:HGNC:8749]	1871	0.4198097884654999	0.19396071	Yes	
row_26	MTTP	microsomal triglyceride transfer protein [Source:HGNC Symbol;Acc:HGNC:7467]	1949	0.41354483366012573	0.19760908	Yes	
row_27	PPP1R14D	protein phosphatase 1 regulatory inhibitor subunit 14D [Source:HGNC Symbol;Acc:HGNC:14953]	1976	0.41127872467041016	0.20303446	Yes	
row_28	F10	coagulation factor X [Source:HGNC Symbol;Acc:HGNC:3528]	2058	0.40393149852752686	0.2063923	Yes	
row_29	AHCYL1	adenosylhomocysteinase like 1 [Source:HGNC Symbol;Acc:HGNC:344]	2113	0.39924365282058716	0.21063706	Yes	
row_30	MLEC	malectin [Source:HGNC Symbol;Acc:HGNC:28973]	2180	0.3935065269470215	0.21436691	Yes	
row_31	UBE2R2	ubiquitin conjugating enzyme E2 R2 [Source:HGNC Symbol;Acc:HGNC:19907]	2200	0.3913329243659973	0.21973307	Yes	
row_32	PPARGC1A	PPARG coactivator 1 alpha [Source:HGNC Symbol;Acc:HGNC:9237]	2213	0.3900117874145508	0.22532755	Yes	
row_33	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24693]	2234	0.3886573016643524	0.23061687	Yes	
row_34	SPSB2	splA/ryanodine receptor domain and SOCS box containing 2 [Source:HGNC Symbol;Acc:HGNC:29522]	2366	0.3761146664619446	0.23176885	Yes	
row_35	PTH1R	parathyroid hormone 1 receptor [Source:HGNC Symbol;Acc:HGNC:9608]	2380	0.3750014901161194	0.23709606	Yes	
row_36	ODAD3	outer dynein arm docking complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:28303]	2386	0.3746257424354553	0.24270171	Yes	
