NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPR162	G protein-coupled receptor 162 [Source:HGNC Symbol;Acc:HGNC:16693]	39	1.1034877300262451	0.01619387	Yes	
row_1	LGALS3BP	galectin 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6564]	46	1.077505111694336	0.03314595	Yes	
row_2	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	73	1.0053092241287231	0.048237536	Yes	
row_3	TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]	107	0.9280051589012146	0.061848994	Yes	
row_4	PARP9	poly(ADP-ribose) polymerase family member 9 [Source:HGNC Symbol;Acc:HGNC:24118]	132	0.9000174403190613	0.075334266	Yes	
row_5	BCL6	BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]	148	0.8823238611221313	0.08885734	Yes	
row_6	OSM	oncostatin M [Source:HGNC Symbol;Acc:HGNC:8506]	176	0.857350766658783	0.10155635	Yes	
row_7	BATF2	basic leucine zipper ATF-like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:25163]	200	0.83481365442276	0.114038415	Yes	
row_8	POLL	DNA polymerase lambda [Source:HGNC Symbol;Acc:HGNC:9184]	228	0.8101987838745117	0.12598628	Yes	
row_9	ADAR	adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]	286	0.7679310441017151	0.13619521	Yes	
row_10	PSMA3	proteasome 20S subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:9532]	341	0.7384522557258606	0.14604111	Yes	
row_11	DTX3L	deltex E3 ubiquitin ligase 3L [Source:HGNC Symbol;Acc:HGNC:30323]	367	0.7241594195365906	0.15668935	Yes	
row_12	PSME1	proteasome activator subunit 1 [Source:HGNC Symbol;Acc:HGNC:9568]	403	0.7078345417976379	0.16672234	Yes	
row_13	AZI2	5-azacytidine induced 2 [Source:HGNC Symbol;Acc:HGNC:24002]	444	0.6924475431442261	0.17633262	Yes	
row_14	SOX4	SRY-box transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11200]	510	0.6648942828178406	0.18461598	Yes	
row_15	IL27	interleukin 27 [Source:HGNC Symbol;Acc:HGNC:19157]	536	0.6570227146148682	0.19419472	Yes	
row_16	SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	540	0.6566317677497864	0.20454863	Yes	
