NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LRP1	LDL receptor related protein 1 [Source:HGNC Symbol;Acc:HGNC:6692]	95	0.9531129002571106	0.011826434	No	
row_1	ROGDI	rogdi atypical leucine zipper [Source:HGNC Symbol;Acc:HGNC:29478]	276	0.7764568328857422	0.017817004	No	
row_2	CCDC149	coiled-coil domain containing 149 [Source:HGNC Symbol;Acc:HGNC:25405]	404	0.707285463809967	0.024586607	No	
row_3	ARHGEF10L	Rho guanine nucleotide exchange factor 10 like [Source:HGNC Symbol;Acc:HGNC:25540]	451	0.6900017261505127	0.033957094	No	
row_4	KCTD12	potassium channel tetramerization domain containing 12 [Source:HGNC Symbol;Acc:HGNC:14678]	529	0.6591806411743164	0.041735157	No	
row_5	INPPL1	inositol polyphosphate phosphatase like 1 [Source:HGNC Symbol;Acc:HGNC:6080]	539	0.6568373441696167	0.05189071	No	
row_6	TBL1X	transducin beta like 1 X-linked [Source:HGNC Symbol;Acc:HGNC:11585]	546	0.655364990234375	0.06212932	No	
row_7	JDP2	Jun dimerization protein 2 [Source:HGNC Symbol;Acc:HGNC:17546]	697	0.6067781448364258	0.06647925	No	
row_8	OSER1	oxidative stress responsive serine rich 1 [Source:HGNC Symbol;Acc:HGNC:16105]	757	0.5920472741127014	0.0738259	No	
row_9	DOCK4	dedicator of cytokinesis 4 [Source:HGNC Symbol;Acc:HGNC:19192]	758	0.5919685959815979	0.08326655	No	
row_10	PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9378]	921	0.5562009811401367	0.08638374	No	
row_11	CNNM2	cyclin and CBS domain divalent metal cation transport mediator 2 [Source:HGNC Symbol;Acc:HGNC:103]	943	0.5509600043296814	0.09442461	No	
row_12	GNG8	G protein subunit gamma 8 [Source:HGNC Symbol;Acc:HGNC:19664]	1327	0.4848564565181732	0.088555716	No	
row_13	CA4	carbonic anhydrase 4 [Source:HGNC Symbol;Acc:HGNC:1375]	1338	0.4827978014945984	0.09590019	No	
row_14	EYA1	EYA transcriptional coactivator and phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3519]	1682	0.43949228525161743	0.090728335	No	
row_15	C1orf122	chromosome 1 open reading frame 122 [Source:HGNC Symbol;Acc:HGNC:24789]	1852	0.42198023200035095	0.09145639	No	
row_16	SLC16A14	solute carrier family 16 member 14 [Source:HGNC Symbol;Acc:HGNC:26417]	1862	0.42065921425819397	0.0978454	No	
row_17	YRDC	yrdC N6-threonylcarbamoyltransferase domain containing [Source:HGNC Symbol;Acc:HGNC:28905]	2222	0.38948535919189453	0.091307834	No	
row_18	MINK1	misshapen like kinase 1 [Source:HGNC Symbol;Acc:HGNC:17565]	2473	0.36792486906051636	0.0882973	No	
row_19	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	2490	0.36686164140701294	0.09357977	No	
row_20	PPP1R14C	protein phosphatase 1 regulatory inhibitor subunit 14C [Source:HGNC Symbol;Acc:HGNC:14952]	2547	0.363226979970932	0.09738376	No	
row_21	TSPAN2	tetraspanin 2 [Source:HGNC Symbol;Acc:HGNC:20659]	2579	0.36110919713974	0.102041796	No	
row_22	KCTD15	potassium channel tetramerization domain containing 15 [Source:HGNC Symbol;Acc:HGNC:23297]	2689	0.3529506325721741	0.10379974	No	
row_23	CACNA1C	calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390]	2692	0.3528391718864441	0.10935575	No	
row_24	ADGRL2	adhesion G protein-coupled receptor L2 [Source:HGNC Symbol;Acc:HGNC:18582]	2750	0.34801527857780457	0.11288164	No	
row_25	SLC6A15	solute carrier family 6 member 15 [Source:HGNC Symbol;Acc:HGNC:13621]	2966	0.3331634998321533	0.11055967	No	
row_26	ZNF423	zinc finger protein 423 [Source:HGNC Symbol;Acc:HGNC:16762]	3380	0.3131403625011444	0.10088689	No	
row_27	ELAVL2	ELAV like RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3313]	3421	0.3111760914325714	0.104428984	No	
row_28	ANK3	ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]	3463	0.3088798224925995	0.10789894	No	
row_29	HMGA2	high mobility group AT-hook 2 [Source:HGNC Symbol;Acc:HGNC:5009]	3585	0.3026001751422882	0.10842775	No	
row_30	AP1S2	adaptor related protein complex 1 subunit sigma 2 [Source:HGNC Symbol;Acc:HGNC:560]	3701	0.29627180099487305	0.10906871	No	
row_31	NRXN1	neurexin 1 [Source:HGNC Symbol;Acc:HGNC:8008]	3900	0.28682079911231995	0.106611386	No	
row_32	POMC	proopiomelanocortin [Source:HGNC Symbol;Acc:HGNC:9201]	4039	0.28063148260116577	0.10618612	No	
row_33	TRIM24	tripartite motif containing 24 [Source:HGNC Symbol;Acc:HGNC:11812]	4135	0.2765231132507324	0.107222386	No	
row_34	NRL	neural retina leucine zipper [Source:HGNC Symbol;Acc:HGNC:8002]	4157	0.27510952949523926	0.110864036	No	
row_35	FOXP2	forkhead box P2 [Source:HGNC Symbol;Acc:HGNC:13875]	4181	0.27365079522132874	0.11441139	No	
row_36	WIPI1	WD repeat domain, phosphoinositide interacting 1 [Source:HGNC Symbol;Acc:HGNC:25471]	4308	0.26790887117385864	0.114209384	No	
row_37	CTSK	cathepsin K [Source:HGNC Symbol;Acc:HGNC:2536]	4419	0.26320335268974304	0.11450053	No	
row_38	HOXC6	homeobox C6 [Source:HGNC Symbol;Acc:HGNC:5128]	4809	0.2478172332048416	0.10463828	No	
row_39	C10orf82	chromosome 10 open reading frame 82 [Source:HGNC Symbol;Acc:HGNC:28500]	4885	0.24422796070575714	0.10586975	No	
row_40	TCF12	transcription factor 12 [Source:HGNC Symbol;Acc:HGNC:11623]	5030	0.23812314867973328	0.10455349	No	
row_41	RCC2	regulator of chromosome condensation 2 [Source:HGNC Symbol;Acc:HGNC:30297]	5109	0.235778346657753	0.10554367	No	
row_42	HESX1	HESX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:4877]	5197	0.23268170654773712	0.10616486	No	
row_43	FGF10	fibroblast growth factor 10 [Source:HGNC Symbol;Acc:HGNC:3666]	5563	0.2203904092311859	0.09671751	No	
row_44	SULF1	sulfatase 1 [Source:HGNC Symbol;Acc:HGNC:20391]	5638	0.21651595830917358	0.09754255	No	
row_45	TMEM182	transmembrane protein 182 [Source:HGNC Symbol;Acc:HGNC:26391]	5732	0.2135147750377655	0.09764498	No	
row_46	PRMT5	protein arginine methyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10894]	5840	0.20871269702911377	0.09717365	No	
row_47	HSPB3	heat shock protein family B (small) member 3 [Source:HGNC Symbol;Acc:HGNC:5248]	5869	0.20747289061546326	0.09948806	No	
row_48	FBXW11	F-box and WD repeat domain containing 11 [Source:HGNC Symbol;Acc:HGNC:13607]	5924	0.20480448007583618	0.10083657	No	
row_49	FLT1	fms related receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:3763]	6216	0.19523754715919495	0.09361602	No	
row_50	ONECUT2	one cut homeobox 2 [Source:HGNC Symbol;Acc:HGNC:8139]	6605	0.18685382604599	0.08281705	No	
row_51	CEP41	centrosomal protein 41 [Source:HGNC Symbol;Acc:HGNC:12370]	6817	0.18203507363796234	0.07822696	No	
row_52	LMO3	LIM domain only 3 [Source:HGNC Symbol;Acc:HGNC:6643]	6920	0.179652601480484	0.07746975	No	
row_53	REEP4	receptor accessory protein 4 [Source:HGNC Symbol;Acc:HGNC:26176]	7087	0.17391924560070038	0.07434829	No	
row_54	HSD17B2	hydroxysteroid 17-beta dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:5211]	7108	0.17326758801937103	0.07640129	No	
row_55	NTRK2	neurotrophic receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:8032]	7597	0.1626163125038147	0.06166452	No	
row_56	PITX2	paired like homeodomain 2 [Source:HGNC Symbol;Acc:HGNC:9005]	7707	0.1625809520483017	0.060386468	No	
row_57	PAX2	paired box 2 [Source:HGNC Symbol;Acc:HGNC:8616]	7796	0.15968367457389832	0.05980797	No	
row_58	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 [Source:HGNC Symbol;Acc:HGNC:1987]	7970	0.15250150859355927	0.056096364	No	
row_59	ZDHHC21	zinc finger DHHC-type palmitoyltransferase 21 [Source:HGNC Symbol;Acc:HGNC:20750]	8020	0.15051795542240143	0.056756686	No	
row_60	WDR33	WD repeat domain 33 [Source:HGNC Symbol;Acc:HGNC:25651]	8053	0.14937792718410492	0.058002546	No	
row_61	SMAD6	SMAD family member 6 [Source:HGNC Symbol;Acc:HGNC:6772]	8184	0.14348356425762177	0.05567416	No	
row_62	KLHL13	kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]	8348	0.1374674290418625	0.05207792	No	
row_63	LMO4	LIM domain only 4 [Source:HGNC Symbol;Acc:HGNC:6644]	8439	0.1340024471282959	0.051018838	No	
row_64	TBXAS1	thromboxane A synthase 1 [Source:HGNC Symbol;Acc:HGNC:11609]	8509	0.13102908432483673	0.050658103	No	
row_65	MEIS2	Meis homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7001]	8749	0.12205910682678223	0.04411717	No	
row_66	RNF111	ring finger protein 111 [Source:HGNC Symbol;Acc:HGNC:17384]	8786	0.12095478177070618	0.04476769	No	
row_67	RAB5B	RAB5B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9784]	8991	0.11271724849939346	0.039320715	No	
row_68	EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	9142	0.10817641019821167	0.035719007	No	
row_69	ACP6	acid phosphatase 6, lysophosphatidic [Source:HGNC Symbol;Acc:HGNC:29609]	9189	0.10716826468706131	0.035794534	No	
