NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FES	FES proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3657]	36	1.1180459260940552	0.022590047	No	
row_1	DPYSL2	dihydropyrimidinase like 2 [Source:HGNC Symbol;Acc:HGNC:3014]	134	0.8981435298919678	0.038323116	No	
row_2	THRA	thyroid hormone receptor alpha [Source:HGNC Symbol;Acc:HGNC:11796]	283	0.7712920904159546	0.049540084	No	
row_3	DOC2A	double C2 domain alpha [Source:HGNC Symbol;Acc:HGNC:2985]	502	0.6674859523773193	0.05605923	No	
row_4	CREB3L1	cAMP responsive element binding protein 3 like 1 [Source:HGNC Symbol;Acc:HGNC:18856]	551	0.6541159152984619	0.06832048	No	
row_5	GPC3	glypican 3 [Source:HGNC Symbol;Acc:HGNC:4451]	954	0.5496596693992615	0.06580054	No	
row_6	FUT8	fucosyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:4019]	1048	0.5307571887969971	0.07383299	No	
row_7	KCNN3	potassium calcium-activated channel subfamily N member 3 [Source:HGNC Symbol;Acc:HGNC:6292]	1296	0.4898085296154022	0.07553111	No	
row_8	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta [Source:HGNC Symbol;Acc:HGNC:12849]	1563	0.4526851773262024	0.07576311	No	
row_9	ZHX1	zinc fingers and homeoboxes 1 [Source:HGNC Symbol;Acc:HGNC:12871]	1661	0.441347599029541	0.08174514	No	
row_10	SEMA3A	semaphorin 3A [Source:HGNC Symbol;Acc:HGNC:10723]	1752	0.43188872933387756	0.08777345	No	
row_11	WDR12	WD repeat domain 12 [Source:HGNC Symbol;Acc:HGNC:14098]	1777	0.4292841851711273	0.09608626	No	
row_12	JAG1	jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]	2079	0.4022664725780487	0.09400103	No	
row_13	PPARGC1A	PPARG coactivator 1 alpha [Source:HGNC Symbol;Acc:HGNC:9237]	2213	0.3900117874145508	0.09761081	No	
row_14	RUNX1T1	RUNX1 partner transcriptional co-repressor 1 [Source:HGNC Symbol;Acc:HGNC:1535]	2382	0.3746803402900696	0.09965235	No	
row_15	CACNA1C	calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390]	2692	0.3528391718864441	0.09622837	No	
row_16	RASGEF1B	RasGEF domain family member 1B [Source:HGNC Symbol;Acc:HGNC:24881]	3292	0.31680604815483093	0.08175297	No	
row_17	ANK3	ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]	3463	0.3088798224925995	0.08231899	No	
row_18	PTPRN	protein tyrosine phosphatase receptor type N [Source:HGNC Symbol;Acc:HGNC:9676]	3675	0.2974969148635864	0.08118832	No	
row_19	SDCCAG8	SHH signaling and ciliogenesis regulator SDCCAG8 [Source:HGNC Symbol;Acc:HGNC:10671]	3768	0.29303109645843506	0.084181584	No	
row_20	ARPP21	cAMP regulated phosphoprotein 21 [Source:HGNC Symbol;Acc:HGNC:16968]	3824	0.29034629464149475	0.088429414	No	
row_21	TMEM131L	transmembrane 131 like [Source:HGNC Symbol;Acc:HGNC:29146]	4177	0.27389028668403625	0.081795536	No	
row_22	FOXP2	forkhead box P2 [Source:HGNC Symbol;Acc:HGNC:13875]	4181	0.27365079522132874	0.08753068	No	
row_23	LINC01597	long intergenic non-protein coding RNA 1597 [Source:HGNC Symbol;Acc:HGNC:51594]	4198	0.272703617811203	0.09278467	No	
row_24	JAM3	junctional adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:15532]	4202	0.2725048065185547	0.09849535	No	
row_25	DNAH9	dynein axonemal heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:2953]	4275	0.2691749036312103	0.10168849	No	
row_26	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	4786	0.248019739985466	0.08890032	No	
row_27	GABRG2	gamma-aminobutyric acid type A receptor subunit gamma2 [Source:HGNC Symbol;Acc:HGNC:4087]	4932	0.24128776788711548	0.08890987	No	
row_28	MAP2	microtubule associated protein 2 [Source:HGNC Symbol;Acc:HGNC:6839]	5217	0.23181088268756866	0.08378875	No	
row_29	CSNK1A1L	casein kinase 1 alpha 1 like [Source:HGNC Symbol;Acc:HGNC:20289]	5340	0.22832702100276947	0.08433713	No	
row_30	NECAP1	NECAP endocytosis associated 1 [Source:HGNC Symbol;Acc:HGNC:24539]	5356	0.22803422808647156	0.08867304	No	
row_31	POU4F2	POU class 4 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:9219]	5572	0.2203904092311859	0.08575459	No	
row_32	LIX1	limb and CNS expressed 1 [Source:HGNC Symbol;Acc:HGNC:18581]	5774	0.21177855134010315	0.08314869	No	
row_33	ASPM	assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]	6026	0.20329849421977997	0.07858897	No	
row_34	PRL	prolactin [Source:HGNC Symbol;Acc:HGNC:9445]	6288	0.19279219210147858	0.07345042	No	
row_35	SEPHS1	selenophosphate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:19685]	6362	0.19244839251041412	0.07497025	No	
row_36	TDRD5	tudor domain containing 5 [Source:HGNC Symbol;Acc:HGNC:20614]	6524	0.1886768639087677	0.07328945	No	
row_37	CEP41	centrosomal protein 41 [Source:HGNC Symbol;Acc:HGNC:12370]	6817	0.18203507363796234	0.066822134	No	
row_38	NRK	Nik related kinase [Source:HGNC Symbol;Acc:HGNC:25391]	6869	0.179652601480484	0.06884885	No	
row_39	AR	androgen receptor [Source:HGNC Symbol;Acc:HGNC:644]	6983	0.17853891849517822	0.068653524	No	
row_40	CHRDL1	chordin like 1 [Source:HGNC Symbol;Acc:HGNC:29861]	7071	0.17476344108581543	0.06929945	No	
row_41	SLC25A35	solute carrier family 25 member 35 [Source:HGNC Symbol;Acc:HGNC:31921]	7208	0.16915278136730194	0.06808828	No	
row_42	KCNIP4	potassium voltage-gated channel interacting protein 4 [Source:HGNC Symbol;Acc:HGNC:30083]	7366	0.16913241147994995	0.06613209	No	
row_43	ZBTB4	zinc finger and BTB domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23847]	7477	0.16774210333824158	0.065812655	No	
row_44	GPR17	G protein-coupled receptor 17 [Source:HGNC Symbol;Acc:HGNC:4471]	7534	0.1652195304632187	0.06735399	No	
row_45	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:3363]	7744	0.16221146285533905	0.063406356	No	
row_46	PAX2	paired box 2 [Source:HGNC Symbol;Acc:HGNC:8616]	7796	0.15968367457389832	0.06500681	No	
row_47	ARHGAP6	Rho GTPase activating protein 6 [Source:HGNC Symbol;Acc:HGNC:676]	7886	0.15625368058681488	0.06518671	No	
row_48	AHCY	adenosylhomocysteinase [Source:HGNC Symbol;Acc:HGNC:343]	7919	0.15473592281341553	0.0673552	No	
row_49	POLR2A	RNA polymerase II subunit A [Source:HGNC Symbol;Acc:HGNC:9187]	8798	0.12038958072662354	0.03879477	No	
row_50	RGL1	ral guanine nucleotide dissociation stimulator like 1 [Source:HGNC Symbol;Acc:HGNC:30281]	8814	0.11952032148838043	0.04081428	No	
row_51	CARF	calcium responsive transcription factor [Source:HGNC Symbol;Acc:HGNC:14435]	9101	0.10936793684959412	0.03300851	No	
row_52	CHML	CHM like Rab escort protein [Source:HGNC Symbol;Acc:HGNC:1941]	9324	0.10267627239227295	0.027329072	No	
row_53	ZNFX1	zinc finger NFX1-type containing 1 [Source:HGNC Symbol;Acc:HGNC:29271]	9388	0.1001473069190979	0.02723315	No	
row_54	UBE4B	ubiquitination factor E4B [Source:HGNC Symbol;Acc:HGNC:12500]	9449	0.09806522727012634	0.02719915	No	
row_55	PTPRJ	protein tyrosine phosphatase receptor type J [Source:HGNC Symbol;Acc:HGNC:9673]	9779	0.08694637566804886	0.017390145	No	
row_56	DIP2B	disco interacting protein 2 homolog B [Source:HGNC Symbol;Acc:HGNC:29284]	9899	0.08245901763439178	0.014931104	No	
row_57	DNAJA4	DnaJ heat shock protein family (Hsp40) member A4 [Source:HGNC Symbol;Acc:HGNC:14885]	9999	0.0789300799369812	0.013105852	No	
row_58	MAML3	mastermind like transcriptional coactivator 3 [Source:HGNC Symbol;Acc:HGNC:16272]	10087	0.07632853835821152	0.011650536	No	
row_59	CDKN2C	cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789]	10618	0.05889752507209778	-0.0058838627	No	
row_60	TMEM88	transmembrane protein 88 [Source:HGNC Symbol;Acc:HGNC:32371]	10671	0.057364147156476974	-0.006503044	No	
row_61	STC1	stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373]	10774	0.05343581736087799	-0.00897888	No	
row_62	BCO2	beta-carotene oxygenase 2 [Source:HGNC Symbol;Acc:HGNC:18503]	10864	0.0504443533718586	-0.011057647	No	
row_63	IQUB	IQ motif and ubiquitin domain containing [Source:HGNC Symbol;Acc:HGNC:21995]	12070	0.014891847036778927	-0.053464193	No	
row_64	GFOD1	glucose-fructose oxidoreductase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21096]	12137	0.012905692681670189	-0.055528793	No	
row_65	TRPS1	transcriptional repressor GATA binding 1 [Source:HGNC Symbol;Acc:HGNC:12340]	12337	0.006494775414466858	-0.06244589	No	
row_66	NPTX2	neuronal pentraxin 2 [Source:HGNC Symbol;Acc:HGNC:7953]	12466	0.0034800036810338497	-0.06690997	No	
row_67	MBNL1	muscleblind like splicing regulator 1 [Source:HGNC Symbol;Acc:HGNC:6923]	12588	-1.8082131282426417E-4	-0.07119628	No	
