NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPR162	G protein-coupled receptor 162 [Source:HGNC Symbol;Acc:HGNC:16693]	39	1.1034877300262451	0.019616796	Yes	
row_1	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	65	1.025398850440979	0.038244225	Yes	
row_2	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	73	1.0053092241287231	0.057128012	Yes	
row_3	EGR1	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]	144	0.8861271739006042	0.07150824	Yes	
row_4	EMILIN2	elastin microfibril interfacer 2 [Source:HGNC Symbol;Acc:HGNC:19881]	219	0.8176324963569641	0.08444301	Yes	
row_5	MYADM	myeloid associated differentiation marker [Source:HGNC Symbol;Acc:HGNC:7544]	221	0.8148722648620605	0.09991546	Yes	
row_6	EGR3	early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]	240	0.8002263307571411	0.114505984	Yes	
row_7	PADI2	peptidyl arginine deiminase 2 [Source:HGNC Symbol;Acc:HGNC:18341]	257	0.7907634377479553	0.12898737	Yes	
row_8	TLE3	TLE family member 3, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11839]	325	0.7483460307121277	0.14085193	Yes	
row_9	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3797]	474	0.6797211170196533	0.14853638	Yes	
row_10	MAP3K20	mitogen-activated protein kinase kinase kinase 20 [Source:HGNC Symbol;Acc:HGNC:17797]	582	0.6428885459899902	0.15697466	Yes	
row_11	PRKAB2	protein kinase AMP-activated non-catalytic subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9379]	838	0.5737953782081604	0.15884662	Yes	
row_12	MAPK14	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]	961	0.5471157431602478	0.16493	Yes	
row_13	OTX1	orthodenticle homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8521]	992	0.541765570640564	0.17417593	Yes	
row_14	XK	X-linked Kx blood group antigen, Kell and VPS13A binding protein [Source:HGNC Symbol;Acc:HGNC:12811]	1010	0.5389662384986877	0.18382987	Yes	
row_15	CKM	creatine kinase, M-type [Source:HGNC Symbol;Acc:HGNC:1994]	1026	0.53522789478302	0.19348362	Yes	
row_16	SLC2A4	solute carrier family 2 member 4 [Source:HGNC Symbol;Acc:HGNC:11009]	1094	0.5226501822471619	0.20105292	Yes	
row_17	EGR2	early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]	1116	0.5179456472396851	0.21016487	Yes	
row_18	NPR3	natriuretic peptide receptor 3 [Source:HGNC Symbol;Acc:HGNC:7945]	1161	0.5103288292884827	0.21831578	Yes	
row_19	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	1282	0.4910338222980499	0.22340281	Yes	
row_20	IL17B	interleukin 17B [Source:HGNC Symbol;Acc:HGNC:5982]	1286	0.4907780885696411	0.23263642	Yes	
row_21	MAP1A	microtubule associated protein 1A [Source:HGNC Symbol;Acc:HGNC:6835]	1288	0.4904246926307678	0.24193428	Yes	
row_22	DSTN	destrin, actin depolymerizing factor [Source:HGNC Symbol;Acc:HGNC:15750]	1298	0.489422470331192	0.2509292	Yes	
row_23	ITGB6	integrin subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:6161]	1398	0.4745938181877136	0.2564485	Yes	
row_24	STX10	syntaxin 10 [Source:HGNC Symbol;Acc:HGNC:11428]	1475	0.46259477734565735	0.26255554	Yes	
row_25	CNN2	calponin 2 [Source:HGNC Symbol;Acc:HGNC:2156]	1628	0.44453924894332886	0.2656223	Yes	
row_26	PELI2	pellino E3 ubiquitin protein ligase family member 2 [Source:HGNC Symbol;Acc:HGNC:8828]	1771	0.429877370595932	0.26876482	Yes	
row_27	DUSP5	dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071]	1901	0.41669610142707825	0.2721178	Yes	
row_28	IER2	immediate early response 2 [Source:HGNC Symbol;Acc:HGNC:28871]	2077	0.4023717939853668	0.27356598	Yes	
row_29	PRUNE2	prune homolog 2 with BCH domain [Source:HGNC Symbol;Acc:HGNC:25209]	2146	0.39645904302597046	0.27869824	Yes	
row_30	GRK6	G protein-coupled receptor kinase 6 [Source:HGNC Symbol;Acc:HGNC:4545]	2404	0.3728245496749878	0.27667454	Yes	
row_31	CFL1	cofilin 1 [Source:HGNC Symbol;Acc:HGNC:1874]	2443	0.3703639507293701	0.28237465	Yes	
row_32	MAPKAPK2	MAPK activated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:6887]	2459	0.36947980523109436	0.28887403	Yes	
row_33	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	2490	0.36686164140701294	0.29479134	Yes	
row_34	MYL9	myosin light chain 9 [Source:HGNC Symbol;Acc:HGNC:15754]	2674	0.35397836565971375	0.29503468	Yes	
row_35	MYL6	myosin light chain 6 [Source:HGNC Symbol;Acc:HGNC:7587]	2736	0.3491217792034149	0.2995144	Yes	
row_36	TGFB1I1	transforming growth factor beta 1 induced transcript 1 [Source:HGNC Symbol;Acc:HGNC:11767]	2833	0.34186747670173645	0.30261424	Yes	
row_37	ADGRG4	adhesion G protein-coupled receptor G4 [Source:HGNC Symbol;Acc:HGNC:18992]	2889	0.33786821365356445	0.30709273	Yes	
row_38	AKIRIN2	akirin 2 [Source:HGNC Symbol;Acc:HGNC:21407]	3209	0.32029491662979126	0.3018694	Yes	
row_39	MITF	melanocyte inducing transcription factor [Source:HGNC Symbol;Acc:HGNC:7105]	3353	0.31433093547821045	0.3027775	Yes	
row_40	SLC4A3	solute carrier family 4 member 3 [Source:HGNC Symbol;Acc:HGNC:11029]	3492	0.30755817890167236	0.3037341	Yes	
row_41	ACTA1	actin alpha 1, skeletal muscle [Source:HGNC Symbol;Acc:HGNC:129]	3535	0.305084764957428	0.30804995	Yes	
row_42	SRF	serum response factor [Source:HGNC Symbol;Acc:HGNC:11291]	3631	0.29952725768089294	0.31037948	Yes	
row_43	VCL	vinculin [Source:HGNC Symbol;Acc:HGNC:12665]	3679	0.2974679470062256	0.31437293	Yes	
row_44	ATF4	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]	3761	0.2934187054634094	0.31708294	Yes	
row_45	DVL3	dishevelled segment polarity protein 3 [Source:HGNC Symbol;Acc:HGNC:3087]	3816	0.29073184728622437	0.32069987	Yes	
row_46	FOXO4	forkhead box O4 [Source:HGNC Symbol;Acc:HGNC:7139]	3883	0.2875862121582031	0.3238311	Yes	
row_47	CNN1	calponin 1 [Source:HGNC Symbol;Acc:HGNC:2155]	4019	0.2813493311405182	0.3243954	Yes	
row_48	PFN1	profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881]	4102	0.2774544656276703	0.3267661	Yes	
row_49	FOXP2	forkhead box P2 [Source:HGNC Symbol;Acc:HGNC:13875]	4181	0.27365079522132874	0.32920635	Yes	
row_50	DLL1	delta like canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:2908]	4248	0.27035969495773315	0.33200976	Yes	
row_51	ARPC4	actin related protein 2/3 complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:707]	4254	0.2699766457080841	0.3369703	Yes	
row_52	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	4360	0.265724241733551	0.3383017	Yes	
row_53	G3BP2	G3BP stress granule assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:30291]	4364	0.2655565142631531	0.34324908	Yes	
row_54	ITGB8	integrin subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:6163]	4739	0.2501594126224518	0.33473948	No	
row_55	FLNC	filamin C [Source:HGNC Symbol;Acc:HGNC:3756]	4919	0.2420533150434494	0.33299467	No	
row_56	CHST8	carbohydrate sulfotransferase 8 [Source:HGNC Symbol;Acc:HGNC:15993]	4951	0.2404843419790268	0.3364714	No	
row_57	PLCB3	phospholipase C beta 3 [Source:HGNC Symbol;Acc:HGNC:9056]	5059	0.2365792691707611	0.33717716	No	
row_58	FGF8	fibroblast growth factor 8 [Source:HGNC Symbol;Acc:HGNC:3686]	5138	0.23490570485591888	0.33888006	No	
row_59	PDLIM7	PDZ and LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:22958]	5386	0.22657757997512817	0.33442795	No	
row_60	BLOC1S1	biogenesis of lysosomal organelles complex 1 subunit 1 [Source:HGNC Symbol;Acc:HGNC:4200]	5389	0.22650597989559174	0.33866763	No	
row_61	RBBP7	RB binding protein 7, chromatin remodeling factor [Source:HGNC Symbol;Acc:HGNC:9890]	5817	0.2099906951189041	0.327513	No	
row_62	RASSF2	Ras association domain family member 2 [Source:HGNC Symbol;Acc:HGNC:9883]	5936	0.204375758767128	0.3272156	No	
row_63	CD248	CD248 molecule [Source:HGNC Symbol;Acc:HGNC:18219]	6138	0.19859172403812408	0.32386306	No	
row_64	CIPC	CLOCK interacting pacemaker [Source:HGNC Symbol;Acc:HGNC:20365]	6692	0.18491807579994202	0.3077605	No	
row_65	CALD1	caldesmon 1 [Source:HGNC Symbol;Acc:HGNC:1441]	6788	0.1832849383354187	0.3078778	No	
row_66	PPARG	peroxisome proliferator activated receptor gamma [Source:HGNC Symbol;Acc:HGNC:9236]	6950	0.1796409785747528	0.3055839	No	
row_67	TAGLN	transgelin [Source:HGNC Symbol;Acc:HGNC:11553]	7128	0.17224501073360443	0.30258155	No	
row_68	MUS81	MUS81 structure-specific endonuclease subunit [Source:HGNC Symbol;Acc:HGNC:29814]	7140	0.17195042967796326	0.30546364	No	
row_69	COX14	cytochrome c oxidase assembly factor COX14 [Source:HGNC Symbol;Acc:HGNC:28216]	7873	0.1568017601966858	0.28247464	No	
row_70	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 [Source:HGNC Symbol;Acc:HGNC:1987]	7970	0.15250150859355927	0.28197062	No	
row_71	SVIL	supervillin [Source:HGNC Symbol;Acc:HGNC:11480]	8083	0.14797846972942352	0.28081277	No	
row_72	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	8179	0.14362430572509766	0.2801753	No	
row_73	YBX3	Y-box binding protein 3 [Source:HGNC Symbol;Acc:HGNC:2428]	8221	0.1422801911830902	0.28142828	No	
row_74	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	8305	0.1388934701681137	0.28112653	No	
row_75	RAI2	retinoic acid induced 2 [Source:HGNC Symbol;Acc:HGNC:9835]	8443	0.13379734754562378	0.27881175	No	
row_76	ZNF513	zinc finger protein 513 [Source:HGNC Symbol;Acc:HGNC:26498]	8526	0.13047032058238983	0.2783852	No	
row_77	CALN1	calneuron 1 [Source:HGNC Symbol;Acc:HGNC:13248]	8811	0.11981179565191269	0.27058834	No	
row_78	SRD5A2	steroid 5 alpha-reductase 2 [Source:HGNC Symbol;Acc:HGNC:11285]	8857	0.11757895350456238	0.2712293	No	
row_79	VASP	vasodilator stimulated phosphoprotein [Source:HGNC Symbol;Acc:HGNC:12652]	8899	0.11649443209171295	0.27199155	No	
row_80	ACTC1	actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143]	9000	0.11257839947938919	0.2705858	No	
row_81	RSU1	Ras suppressor protein 1 [Source:HGNC Symbol;Acc:HGNC:10464]	9078	0.11000563949346542	0.2699472	No	
row_82	TANK	TRAF family member associated NFKB activator [Source:HGNC Symbol;Acc:HGNC:11562]	9102	0.10936427116394043	0.27121243	No	
