NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LRP1	LDL receptor related protein 1 [Source:HGNC Symbol;Acc:HGNC:6692]	95	0.9531129002571106	0.010115914	Yes	
row_1	TLR8	toll like receptor 8 [Source:HGNC Symbol;Acc:HGNC:15632]	102	0.9340207576751709	0.023128178	Yes	
row_2	BCL6	BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]	148	0.8823238611221313	0.034020763	Yes	
row_3	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]	233	0.803009033203125	0.04240259	Yes	
row_4	TREML2	triggering receptor expressed on myeloid cells like 2 [Source:HGNC Symbol;Acc:HGNC:21092]	518	0.6620081663131714	0.041671675	Yes	
row_5	TBL1X	transducin beta like 1 X-linked [Source:HGNC Symbol;Acc:HGNC:11585]	546	0.655364990234375	0.04999097	Yes	
row_6	NR6A1	nuclear receptor subfamily 6 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7985]	569	0.6469239592552185	0.058368646	Yes	
row_7	UBE2D1	ubiquitin conjugating enzyme E2 D1 [Source:HGNC Symbol;Acc:HGNC:12474]	599	0.6373603343963623	0.06636184	Yes	
row_8	NRG1	neuregulin 1 [Source:HGNC Symbol;Acc:HGNC:7997]	600	0.6373592615127563	0.07538685	Yes	
row_9	SEC24D	SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]	630	0.6273566484451294	0.083238386	Yes	
row_10	CST7	cystatin F [Source:HGNC Symbol;Acc:HGNC:2479]	651	0.619637131690979	0.091300845	Yes	
row_11	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	688	0.609169602394104	0.098645784	Yes	
row_12	TSPAN13	tetraspanin 13 [Source:HGNC Symbol;Acc:HGNC:21643]	712	0.6023054718971252	0.10635608	Yes	
row_13	GAB2	GRB2 associated binding protein 2 [Source:HGNC Symbol;Acc:HGNC:14458]	717	0.6015098094940186	0.11473115	Yes	
row_14	TTLL7	tubulin tyrosine ligase like 7 [Source:HGNC Symbol;Acc:HGNC:26242]	723	0.599011242389679	0.12303525	Yes	
row_15	ACO1	aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117]	725	0.598879337310791	0.13147981	Yes	
row_16	BSCL2	BSCL2 lipid droplet biogenesis associated, seipin [Source:HGNC Symbol;Acc:HGNC:15832]	736	0.5972167253494263	0.1395806	Yes	
row_17	PLPPR2	phospholipid phosphatase related 2 [Source:HGNC Symbol;Acc:HGNC:29566]	749	0.5949030518531799	0.14757746	Yes	
row_18	OSER1	oxidative stress responsive serine rich 1 [Source:HGNC Symbol;Acc:HGNC:16105]	757	0.5920472741127014	0.1557118	Yes	
row_19	DOCK4	dedicator of cytokinesis 4 [Source:HGNC Symbol;Acc:HGNC:19192]	758	0.5919685959815979	0.16409409	Yes	
row_20	CBX6	chromobox 6 [Source:HGNC Symbol;Acc:HGNC:1556]	881	0.564504861831665	0.16774662	Yes	
row_21	IPO11	importin 11 [Source:HGNC Symbol;Acc:HGNC:20628]	902	0.5605097413063049	0.17497183	Yes	
row_22	C8orf82	chromosome 8 open reading frame 82 [Source:HGNC Symbol;Acc:HGNC:33826]	911	0.559597909450531	0.18261111	Yes	
row_23	ABCC6	ATP binding cassette subfamily C member 6 [Source:HGNC Symbol;Acc:HGNC:57]	960	0.5471263527870178	0.18865053	Yes	
row_24	P2RX6	purinergic receptor P2X 6 [Source:HGNC Symbol;Acc:HGNC:8538]	1038	0.5329675674438477	0.19345765	Yes	
row_25	NECAB3	N-terminal EF-hand calcium binding protein 3 [Source:HGNC Symbol;Acc:HGNC:15851]	1055	0.5288199186325073	0.20037645	Yes	
row_26	PPP2CA	protein phosphatase 2 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9299]	1131	0.5146046280860901	0.2049947	Yes	
row_27	ROM1	retinal outer segment membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:10254]	1139	0.5136645436286926	0.21201913	Yes	
row_28	VCP	valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666]	1147	0.5129956603050232	0.21903409	Yes	
row_29	WDFY3	WD repeat and FYVE domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20751]	1198	0.504115879535675	0.22439334	Yes	
row_30	LYVE1	lymphatic vessel endothelial hyaluronan receptor 1 [Source:HGNC Symbol;Acc:HGNC:14687]	1203	0.5027576684951782	0.23137006	Yes	
row_31	RAB5IF	RAB5 interacting factor [Source:HGNC Symbol;Acc:HGNC:15870]	1265	0.49311763048171997	0.23618218	Yes	
row_32	MLLT11	MLLT11 transcription factor 7 cofactor [Source:HGNC Symbol;Acc:HGNC:16997]	1280	0.4911588132381439	0.24263887	Yes	
row_33	PSMD11	proteasome 26S subunit, non-ATPase 11 [Source:HGNC Symbol;Acc:HGNC:9556]	1416	0.4713696837425232	0.24451005	Yes	
row_34	KCNH3	potassium voltage-gated channel subfamily H member 3 [Source:HGNC Symbol;Acc:HGNC:6252]	1477	0.4624521732330322	0.24892354	Yes	
row_35	NANOS1	nanos C2HC-type zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:23044]	1564	0.45265626907348633	0.2522732	Yes	
row_36	EMB	embigin [Source:HGNC Symbol;Acc:HGNC:30465]	1591	0.4487835764884949	0.2577029	Yes	
row_37	ENO1	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	1672	0.4402486979961395	0.26109034	Yes	
row_38	ITPRIP	inositol 1,4,5-trisphosphate receptor interacting protein [Source:HGNC Symbol;Acc:HGNC:29370]	1751	0.4320419430732727	0.26443276	Yes	
row_39	PLBD2	phospholipase B domain containing 2 [Source:HGNC Symbol;Acc:HGNC:27283]	1781	0.4288187026977539	0.269473	Yes	
row_40	C1orf122	chromosome 1 open reading frame 122 [Source:HGNC Symbol;Acc:HGNC:24789]	1852	0.42198023200035095	0.2729576	Yes	
