NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TRIB1	tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]	12	1.3427228927612305	0.06960134	Yes	
row_1	KCNJ2	potassium inwardly rectifying channel subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:6263]	49	1.0740607976913452	0.12434448	Yes	
row_2	CEBPB	CCAAT enhancer binding protein beta [Source:HGNC Symbol;Acc:HGNC:1834]	79	0.9968228340148926	0.17530662	Yes	
row_3	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	105	0.9311515688896179	0.22298509	Yes	
row_4	CUEDC1	CUE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:31350]	120	0.9144334197044373	0.27017996	Yes	
row_5	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	471	0.6807648539543152	0.29332927	Yes	
row_6	KRT23	keratin 23 [Source:HGNC Symbol;Acc:HGNC:6438]	696	0.6070029139518738	0.31707907	Yes	
row_7	CKAP4	cytoskeleton associated protein 4 [Source:HGNC Symbol;Acc:HGNC:16991]	727	0.5988149642944336	0.34724924	Yes	
row_8	MAPK14	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]	961	0.5471157431602478	0.36755818	Yes	
row_9	HOXA5	homeobox A5 [Source:HGNC Symbol;Acc:HGNC:5106]	1137	0.5139384269714355	0.38818404	Yes	
row_10	PRDX3	peroxiredoxin 3 [Source:HGNC Symbol;Acc:HGNC:9354]	1270	0.49289271235466003	0.40923005	Yes	
row_11	TMEM104	transmembrane protein 104 [Source:HGNC Symbol;Acc:HGNC:25984]	1626	0.4446410834789276	0.4198887	Yes	
row_12	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	1647	0.44226717948913574	0.44224766	Yes	
row_13	NAT9	N-acetyltransferase 9 (putative) [Source:HGNC Symbol;Acc:HGNC:23133]	1844	0.4237239360809326	0.45742747	Yes	
row_14	CSDE1	cold shock domain containing E1 [Source:HGNC Symbol;Acc:HGNC:29905]	2638	0.3563712239265442	0.4480232	Yes	
row_15	CITED4	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4 [Source:HGNC Symbol;Acc:HGNC:18696]	3094	0.32578057050704956	0.44895354	Yes	
row_16	CLDN10	claudin 10 [Source:HGNC Symbol;Acc:HGNC:2033]	3294	0.31675565242767334	0.45844892	Yes	
row_17	KLF5	KLF transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]	4679	0.2530803382396698	0.42279807	No	
row_18	SLIT3	slit guidance ligand 3 [Source:HGNC Symbol;Acc:HGNC:11087]	5584	0.21940764784812927	0.40233308	No	
row_19	WNT5A	Wnt family member 5A [Source:HGNC Symbol;Acc:HGNC:12784]	5697	0.214752197265625	0.4095796	No	
row_20	CYP24A1	cytochrome P450 family 24 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2602]	5744	0.2130163013935089	0.4190651	No	
row_21	JADE3	jade family PHD finger 3 [Source:HGNC Symbol;Acc:HGNC:22982]	5891	0.2062353640794754	0.4246674	No	
row_22	EIF4A1	eukaryotic translation initiation factor 4A1 [Source:HGNC Symbol;Acc:HGNC:3282]	6153	0.19795654714107513	0.4257789	No	
row_23	FGF14	fibroblast growth factor 14 [Source:HGNC Symbol;Acc:HGNC:3671]	6630	0.18685382604599	0.41872278	No	
row_24	DCAF6	DDB1 and CUL4 associated factor 6 [Source:HGNC Symbol;Acc:HGNC:30002]	7040	0.17619465291500092	0.4134756	No	
