NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HGF	hepatocyte growth factor [Source:HGNC Symbol;Acc:HGNC:4893]	311	0.753808856010437	0.013820343	No	
row_1	PSAP	prosaposin [Source:HGNC Symbol;Acc:HGNC:9498]	715	0.6016472578048706	0.019376172	No	
row_2	GAB2	GRB2 associated binding protein 2 [Source:HGNC Symbol;Acc:HGNC:14458]	717	0.6015098094940186	0.039146993	No	
row_3	EPHB1	EPH receptor B1 [Source:HGNC Symbol;Acc:HGNC:3392]	800	0.5812853574752808	0.05538675	No	
row_4	SRGAP2	SLIT-ROBO Rho GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:19751]	912	0.5584871172904968	0.06985003	No	
row_5	MLLT11	MLLT11 transcription factor 7 cofactor [Source:HGNC Symbol;Acc:HGNC:16997]	1280	0.4911588132381439	0.07304114	No	
row_6	SRSF9	serine and arginine rich splicing factor 9 [Source:HGNC Symbol;Acc:HGNC:10791]	1482	0.46210891008377075	0.081147455	No	
row_7	SFXN5	sideroflexin 5 [Source:HGNC Symbol;Acc:HGNC:16073]	1765	0.4304414987564087	0.08534592	No	
row_8	CSDE1	cold shock domain containing E1 [Source:HGNC Symbol;Acc:HGNC:29905]	2638	0.3563712239265442	0.06623599	No	
row_9	KPNA1	karyopherin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6394]	2846	0.3403916656970978	0.070122235	No	
row_10	TAOK2	TAO kinase 2 [Source:HGNC Symbol;Acc:HGNC:16835]	2989	0.33180445432662964	0.0760249	No	
row_11	GANAB	glucosidase II alpha subunit [Source:HGNC Symbol;Acc:HGNC:4138]	3440	0.30985525250434875	0.07031028	No	
row_12	OLFML3	olfactomedin like 3 [Source:HGNC Symbol;Acc:HGNC:24956]	3567	0.3034045696258545	0.07584376	No	
row_13	MAGED1	MAGE family member D1 [Source:HGNC Symbol;Acc:HGNC:6813]	3623	0.30015137791633606	0.083781525	No	
row_14	PGAP4	post-GPI attachment to proteins GalNAc transferase 4 [Source:HGNC Symbol;Acc:HGNC:28180]	3655	0.2985217273235321	0.09251456	No	
row_15	MAT2A	methionine adenosyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:6904]	3806	0.29149648547172546	0.09680701	No	
row_16	NRXN1	neurexin 1 [Source:HGNC Symbol;Acc:HGNC:8008]	3900	0.28682079911231995	0.1029617	No	
row_17	EIF5A	eukaryotic translation initiation factor 5A [Source:HGNC Symbol;Acc:HGNC:3300]	4047	0.28032445907592773	0.10702777	No	
row_18	MNT	MAX network transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:7188]	4160	0.2748936712741852	0.11211766	No	
row_19	TACC2	transforming acidic coiled-coil containing protein 2 [Source:HGNC Symbol;Acc:HGNC:11523]	4380	0.26509883999824524	0.113100246	No	
row_20	MIR22HG	MIR22 host gene [Source:HGNC Symbol;Acc:HGNC:28219]	4602	0.2562754154205322	0.11372155	No	
row_21	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]	4752	0.24971477687358856	0.1166736	No	
row_22	GSK3A	glycogen synthase kinase 3 alpha [Source:HGNC Symbol;Acc:HGNC:4616]	4930	0.24137867987155914	0.11836076	No	
row_23	NONO	non-POU domain containing octamer binding [Source:HGNC Symbol;Acc:HGNC:7871]	5598	0.21878685057163239	0.101971775	No	
row_24	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	6107	0.1997414380311966	0.09057981	No	
row_25	NCS1	neuronal calcium sensor 1 [Source:HGNC Symbol;Acc:HGNC:3953]	6399	0.191132590174675	0.08658009	No	
row_26	OCIAD1	OCIA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16074]	6567	0.18762603402137756	0.08685102	No	
row_27	SRSF8	serine and arginine rich splicing factor 8 [Source:HGNC Symbol;Acc:HGNC:16988]	6854	0.17969821393489838	0.08265165	No	
row_28	RTN3	reticulon 3 [Source:HGNC Symbol;Acc:HGNC:10469]	7053	0.17560423910617828	0.08143021	No	
row_29	SLC32A1	solute carrier family 32 member 1 [Source:HGNC Symbol;Acc:HGNC:11018]	7252	0.16913241147994995	0.07999567	No	
row_30	RHBDD3	rhomboid domain containing 3 [Source:HGNC Symbol;Acc:HGNC:1308]	7457	0.16838927567005157	0.07832443	No	
row_31	GDE1	glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644]	7909	0.15513277053833008	0.06747981	No	
row_32	HACD3	3-hydroxyacyl-CoA dehydratase 3 [Source:HGNC Symbol;Acc:HGNC:24175]	8071	0.1486050933599472	0.06667812	No	
row_33	ASPHD1	aspartate beta-hydroxylase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:27380]	8231	0.14180707931518555	0.06572333	No	
row_34	GBF1	golgi brefeldin A resistant guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:4181]	8466	0.13302955031394958	0.061826624	No	
row_35	PNMA6A	PNMA family member 6A [Source:HGNC Symbol;Acc:HGNC:28248]	9265	0.10474707186222076	0.037048876	No	
row_36	EIF4G2	eukaryotic translation initiation factor 4 gamma 2 [Source:HGNC Symbol;Acc:HGNC:3297]	9707	0.08925163745880127	0.02438868	No	
row_37	VSNL1	visinin like 1 [Source:HGNC Symbol;Acc:HGNC:12722]	9730	0.08837759494781494	0.026520548	No	
row_38	KCNN2	potassium calcium-activated channel subfamily N member 2 [Source:HGNC Symbol;Acc:HGNC:6291]	9996	0.07902616262435913	0.019749116	No	
row_39	EPB41L3	erythrocyte membrane protein band 4.1 like 3 [Source:HGNC Symbol;Acc:HGNC:3380]	10048	0.07752259820699692	0.020497771	No	
row_40	DGKD	diacylglycerol kinase delta [Source:HGNC Symbol;Acc:HGNC:2851]	10331	0.06807723641395569	0.012764495	No	
row_41	SLC39A6	solute carrier family 39 member 6 [Source:HGNC Symbol;Acc:HGNC:18607]	10355	0.06725139915943146	0.014165359	No	
row_42	STX16	syntaxin 16 [Source:HGNC Symbol;Acc:HGNC:11431]	10499	0.06292521953582764	0.01117914	No	
row_43	TMEM88	transmembrane protein 88 [Source:HGNC Symbol;Acc:HGNC:32371]	10671	0.057364147156476974	0.007019394	No	
row_44	KCNS3	potassium voltage-gated channel modifier subfamily S member 3 [Source:HGNC Symbol;Acc:HGNC:6302]	11003	0.046544477343559265	-0.0031561253	No	
row_45	MAP1B	microtubule associated protein 1B [Source:HGNC Symbol;Acc:HGNC:6836]	11096	0.04350144416093826	-0.0049779513	No	
row_46	MBTPS2	membrane bound transcription factor peptidase, site 2 [Source:HGNC Symbol;Acc:HGNC:15455]	11164	0.041283831000328064	-0.005988499	No	
row_47	TOPORS	TOP1 binding arginine/serine rich protein, E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:21653]	11854	0.0207396000623703	-0.029676862	No	
row_48	CALM3	calmodulin 3 [Source:HGNC Symbol;Acc:HGNC:1449]	12319	0.007046626880764961	-0.04585741	No	
row_49	MAP2K7	mitogen-activated protein kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6847]	12695	-0.003349645994603634	-0.059011593	No	
row_50	CDC42SE1	CDC42 small effector 1 [Source:HGNC Symbol;Acc:HGNC:17719]	13032	-0.012350761331617832	-0.07048988	No	
row_51	NOP56	NOP56 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15911]	13608	-0.028969841077923775	-0.08987485	No	
row_52	GSPT1	G1 to S phase transition 1 [Source:HGNC Symbol;Acc:HGNC:4621]	13713	-0.03168128803372383	-0.09251034	No	
row_53	CCP110	centriolar coiled-coil protein 110 [Source:HGNC Symbol;Acc:HGNC:24342]	13788	-0.03387953341007233	-0.0940123	No	
row_54	CPNE1	copine 1 [Source:HGNC Symbol;Acc:HGNC:2314]	13833	-0.03504636511206627	-0.094414674	No	
row_55	ATP13A1	ATPase 13A1 [Source:HGNC Symbol;Acc:HGNC:24215]	14002	-0.03994373232126236	-0.09904192	No	
