NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AP1B1	adaptor related protein complex 1 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:554]	209	0.8299158811569214	0.058823436	Yes	
row_1	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 [Source:HGNC Symbol;Acc:HGNC:18324]	246	0.7967796325683594	0.12110657	Yes	
row_2	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	944	0.5507965683937073	0.14045216	Yes	
row_3	ATP13A2	ATPase cation transporting 13A2 [Source:HGNC Symbol;Acc:HGNC:30213]	1319	0.4867529571056366	0.16608359	Yes	
row_4	NDUFAF3	NADH:ubiquinone oxidoreductase complex assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:29918]	1414	0.47164836525917053	0.20038746	Yes	
row_5	SCARF1	scavenger receptor class F member 1 [Source:HGNC Symbol;Acc:HGNC:16820]	1494	0.4609449803829193	0.23436676	Yes	
row_6	SPP2	secreted phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:11256]	1656	0.44169241189956665	0.2639178	Yes	
row_7	C1orf122	chromosome 1 open reading frame 122 [Source:HGNC Symbol;Acc:HGNC:24789]	1852	0.42198023200035095	0.29069716	Yes	
row_8	PCDH12	protocadherin 12 [Source:HGNC Symbol;Acc:HGNC:8657]	2029	0.4064024090766907	0.31690425	Yes	
row_9	JAG1	jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]	2079	0.4022664725780487	0.3472615	Yes	
row_10	YRDC	yrdC N6-threonylcarbamoyltransferase domain containing [Source:HGNC Symbol;Acc:HGNC:28905]	2222	0.38948535919189453	0.3733186	Yes	
row_11	MTF1	metal regulatory transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7428]	2541	0.3636742830276489	0.39110842	Yes	
row_12	SSBP3	single stranded DNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:15674]	2952	0.3341027796268463	0.40329415	Yes	
row_13	DNAJB1	DnaJ heat shock protein family (Hsp40) member B1 [Source:HGNC Symbol;Acc:HGNC:5270]	5945	0.20393599569797516	0.3140152	No	
row_14	DNAJC13	DnaJ heat shock protein family (Hsp40) member C13 [Source:HGNC Symbol;Acc:HGNC:30343]	6196	0.19631759822368622	0.32085502	No	
row_15	NSD2	nuclear receptor binding SET domain protein 2 [Source:HGNC Symbol;Acc:HGNC:12766]	6430	0.189571350812912	0.3277564	No	
row_16	EXD2	exonuclease 3'-5' domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20217]	6810	0.18242113292217255	0.3289372	No	
row_17	ZC3H10	zinc finger CCCH-type containing 10 [Source:HGNC Symbol;Acc:HGNC:25893]	7562	0.1640007048845291	0.31552613	No	
row_18	PRCP	prolylcarboxypeptidase [Source:HGNC Symbol;Acc:HGNC:9344]	8989	0.11281455308198929	0.27422112	No	
row_19	APBA1	amyloid beta precursor protein binding family A member 1 [Source:HGNC Symbol;Acc:HGNC:578]	10165	0.0734139010310173	0.23862766	No	
