NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TRIB1	tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]	12	1.3427228927612305	0.020348782	Yes	
row_1	DYSF	dysferlin [Source:HGNC Symbol;Acc:HGNC:3097]	21	1.1973177194595337	0.03858991	Yes	
row_2	GPR162	G protein-coupled receptor 162 [Source:HGNC Symbol;Acc:HGNC:16693]	39	1.1034877300262451	0.05505952	Yes	
row_3	LIMK2	LIM domain kinase 2 [Source:HGNC Symbol;Acc:HGNC:6614]	122	0.9136693477630615	0.066282876	Yes	
row_4	RAB34	RAB34, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16519]	168	0.8651495575904846	0.078070045	Yes	
row_5	REXO2	RNA exonuclease 2 [Source:HGNC Symbol;Acc:HGNC:17851]	184	0.8485405445098877	0.09066607	Yes	
row_6	EPHB2	EPH receptor B2 [Source:HGNC Symbol;Acc:HGNC:3393]	253	0.7929843664169312	0.10051954	Yes	
row_7	IL1RN	interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]	313	0.7532545328140259	0.11007804	Yes	
row_8	IMPDH1	inosine monophosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6052]	347	0.7345234751701355	0.120270446	Yes	
row_9	RNF144B	ring finger protein 144B [Source:HGNC Symbol;Acc:HGNC:21578]	350	0.7336210012435913	0.13155025	Yes	
row_10	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	373	0.7204309701919556	0.14191543	Yes	
row_11	IRAK1	interleukin 1 receptor associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:6112]	459	0.6871137022972107	0.14952683	Yes	
row_12	HSPB6	heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511]	468	0.6824334859848022	0.15980148	Yes	
row_13	ACADVL	acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]	501	0.6680821180343628	0.16900142	Yes	
row_14	GAB2	GRB2 associated binding protein 2 [Source:HGNC Symbol;Acc:HGNC:14458]	717	0.6015098094940186	0.17066973	Yes	
row_15	ZFAND5	zinc finger AN1-type containing 5 [Source:HGNC Symbol;Acc:HGNC:13008]	856	0.5713580250740051	0.17460717	Yes	
row_16	SRGAP2	SLIT-ROBO Rho GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:19751]	912	0.5584871172904968	0.18129426	Yes	
row_17	COQ8B	coenzyme Q8B [Source:HGNC Symbol;Acc:HGNC:19041]	987	0.5425664782524109	0.18706	Yes	
row_18	P2RX6	purinergic receptor P2X 6 [Source:HGNC Symbol;Acc:HGNC:8538]	1038	0.5329675674438477	0.19352989	Yes	
row_19	RBPJ	recombination signal binding protein for immunoglobulin kappa J region [Source:HGNC Symbol;Acc:HGNC:5724]	1056	0.5286770462989807	0.20110582	Yes	
row_20	DNAH5	dynein axonemal heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:2950]	1058	0.5284522175788879	0.2092467	Yes	
row_21	PPP2CA	protein phosphatase 2 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9299]	1131	0.5146046280860901	0.21465085	Yes	
row_22	WDFY3	WD repeat and FYVE domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20751]	1198	0.504115879535675	0.22010589	Yes	
row_23	PSMD11	proteasome 26S subunit, non-ATPase 11 [Source:HGNC Symbol;Acc:HGNC:9556]	1416	0.4713696837425232	0.21968958	Yes	
row_24	C2CD2L	C2CD2 like [Source:HGNC Symbol;Acc:HGNC:29000]	1604	0.44735008478164673	0.21996745	Yes	
row_25	TMEM104	transmembrane protein 104 [Source:HGNC Symbol;Acc:HGNC:25984]	1626	0.4446410834789276	0.22610103	Yes	
row_26	KAZN	kazrin, periplakin interacting protein [Source:HGNC Symbol;Acc:HGNC:29173]	1649	0.4421989321708679	0.23216128	Yes	
row_27	FAP	fibroblast activation protein alpha [Source:HGNC Symbol;Acc:HGNC:3590]	1663	0.440894216299057	0.2385211	Yes	
row_28	EYA1	EYA transcriptional coactivator and phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3519]	1682	0.43949228525161743	0.2446816	Yes	
row_29	ADAM15	ADAM metallopeptidase domain 15 [Source:HGNC Symbol;Acc:HGNC:193]	1754	0.43175312876701355	0.24883936	Yes	
row_30	SFXN5	sideroflexin 5 [Source:HGNC Symbol;Acc:HGNC:16073]	1765	0.4304414987564087	0.25514406	Yes	
row_31	NAT9	N-acetyltransferase 9 (putative) [Source:HGNC Symbol;Acc:HGNC:23133]	1844	0.4237239360809326	0.2589289	Yes	
row_32	UBE2R2	ubiquitin conjugating enzyme E2 R2 [Source:HGNC Symbol;Acc:HGNC:19907]	2200	0.3913329243659973	0.2523714	Yes	
row_33	SLC4A11	solute carrier family 4 member 11 [Source:HGNC Symbol;Acc:HGNC:16438]	2332	0.37929853796958923	0.2535859	Yes	
row_34	RIN1	Ras and Rab interactor 1 [Source:HGNC Symbol;Acc:HGNC:18749]	2349	0.37791550159454346	0.2588647	Yes	
row_35	PPP1R9B	protein phosphatase 1 regulatory subunit 9B [Source:HGNC Symbol;Acc:HGNC:9298]	2531	0.3644981384277344	0.25807384	Yes	
row_36	WDFY3-AS2	WDFY3 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:21603]	2583	0.36092501878738403	0.26184627	Yes	
row_37	XIRP1	xin actin binding repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:14301]	2774	0.34643083810806274	0.26045612	Yes	
row_38	PSMD4	proteasome 26S subunit ubiquitin receptor, non-ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9561]	2787	0.34496137499809265	0.26536715	Yes	
row_39	KLHL41	kelch like family member 41 [Source:HGNC Symbol;Acc:HGNC:16905]	2802	0.34394097328186035	0.27019137	Yes	
row_40	KCNK10	potassium two pore domain channel subfamily K member 10 [Source:HGNC Symbol;Acc:HGNC:6273]	2845	0.34049808979034424	0.2739675	Yes	
row_41	ATP1B1	ATPase Na+/K+ transporting subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:804]	2908	0.3369033634662628	0.27697748	Yes	
row_42	SNX10	sorting nexin 10 [Source:HGNC Symbol;Acc:HGNC:14974]	3011	0.330776184797287	0.27847153	Yes	
row_43	CSTPP1	centriolar satellite-associated tubulin polyglutamylase complex regulator 1 [Source:HGNC Symbol;Acc:HGNC:28720]	3131	0.32363906502723694	0.27925122	Yes	
row_44	CMAS	cytidine monophosphate N-acetylneuraminic acid synthetase [Source:HGNC Symbol;Acc:HGNC:18290]	3239	0.31891366839408875	0.2803841	Yes	
row_45	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	3261	0.317962646484375	0.28455764	Yes	
row_46	UCN2	urocortin 2 [Source:HGNC Symbol;Acc:HGNC:18414]	3310	0.3161734640598297	0.28774425	Yes	
row_47	MITF	melanocyte inducing transcription factor [Source:HGNC Symbol;Acc:HGNC:7105]	3353	0.31433093547821045	0.29111555	Yes	
row_48	ELAVL2	ELAV like RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3313]	3421	0.3111760914325714	0.2935498	Yes	
row_49	ANK3	ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]	3463	0.3088798224925995	0.2968723	Yes	
row_50	TFE3	transcription factor binding to IGHM enhancer 3 [Source:HGNC Symbol;Acc:HGNC:11752]	3516	0.30613788962364197	0.29976153	Yes	
row_51	COL27A1	collagen type XXVII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:22986]	3559	0.30398350954055786	0.3029727	Yes	
row_52	RNF149	ring finger protein 149 [Source:HGNC Symbol;Acc:HGNC:23137]	3617	0.30039146542549133	0.3055954	Yes	
row_53	PTPRN	protein tyrosine phosphatase receptor type N [Source:HGNC Symbol;Acc:HGNC:9676]	3675	0.2974969148635864	0.3081733	Yes	
