NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TRIB1	tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]	12	1.3427228927612305	0.019656286	Yes	
row_1	DYSF	dysferlin [Source:HGNC Symbol;Acc:HGNC:3097]	21	1.1973177194595337	0.037279893	Yes	
row_2	DSC2	desmocollin 2 [Source:HGNC Symbol;Acc:HGNC:3036]	77	1.0008549690246582	0.050295576	Yes	
row_3	CIDEC	cell death inducing DFFA like effector c [Source:HGNC Symbol;Acc:HGNC:24229]	160	0.8725024461746216	0.06043247	Yes	
row_4	RAB34	RAB34, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16519]	168	0.8651495575904846	0.0731235	Yes	
row_5	REXO2	RNA exonuclease 2 [Source:HGNC Symbol;Acc:HGNC:17851]	184	0.8485405445098877	0.08528194	Yes	
row_6	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]	233	0.803009033203125	0.09558718	Yes	
row_7	RGS2	regulator of G protein signaling 2 [Source:HGNC Symbol;Acc:HGNC:9998]	247	0.7966794371604919	0.107041	Yes	
row_8	EPHB2	EPH receptor B2 [Source:HGNC Symbol;Acc:HGNC:3393]	253	0.7929843664169312	0.11872373	Yes	
row_9	IL1RN	interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]	313	0.7532545328140259	0.12789407	Yes	
row_10	RNF144B	ring finger protein 144B [Source:HGNC Symbol;Acc:HGNC:21578]	350	0.7336210012435913	0.13758776	Yes	
row_11	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	373	0.7204309701919556	0.14758147	Yes	
row_12	ACP3	acid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:125]	473	0.6804907321929932	0.15424266	Yes	
row_13	SLC24A4	solute carrier family 24 member 4 [Source:HGNC Symbol;Acc:HGNC:10978]	499	0.6684464812278748	0.1633523	Yes	
row_14	ACADVL	acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]	501	0.6680821180343628	0.173309	Yes	
row_15	SEC24D	SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]	630	0.6273566484451294	0.17814536	Yes	
row_16	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B [Source:HGNC Symbol;Acc:HGNC:20154]	640	0.6236587166786194	0.18715347	Yes	
