NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	73	1.0053092241287231	0.014572919	No	
row_1	MTMR11	myotubularin related protein 11 [Source:HGNC Symbol;Acc:HGNC:24307]	285	0.7686643600463867	0.020208567	No	
row_2	CREB5	cAMP responsive element binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16844]	418	0.702613890171051	0.027519958	No	
row_3	DUSP6	dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072]	425	0.6990312933921814	0.039241437	No	
row_4	BAMBI	BMP and activin membrane bound inhibitor [Source:HGNC Symbol;Acc:HGNC:30251]	432	0.6967064142227173	0.05092323	No	
row_5	INPPL1	inositol polyphosphate phosphatase like 1 [Source:HGNC Symbol;Acc:HGNC:6080]	539	0.6568373441696167	0.058375724	No	
row_6	SLC26A7	solute carrier family 26 member 7 [Source:HGNC Symbol;Acc:HGNC:14467]	635	0.6253377795219421	0.06568079	No	
row_7	TSPAN13	tetraspanin 13 [Source:HGNC Symbol;Acc:HGNC:21643]	712	0.6023054718971252	0.07326686	No	
row_8	ADCYAP1	adenylate cyclase activating polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:241]	868	0.5674152374267578	0.07745385	No	
row_9	MYO3B	myosin IIIB [Source:HGNC Symbol;Acc:HGNC:15576]	1017	0.5382217168807983	0.081390835	No	
row_10	TAC3	tachykinin precursor 3 [Source:HGNC Symbol;Acc:HGNC:11521]	1310	0.4878414571285248	0.079357676	No	
row_11	EYA1	EYA transcriptional coactivator and phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3519]	1682	0.43949228525161743	0.07369567	No	
row_12	STEAP2	STEAP2 metalloreductase [Source:HGNC Symbol;Acc:HGNC:17885]	1756	0.431533545255661	0.078472644	No	
row_13	C1orf122	chromosome 1 open reading frame 122 [Source:HGNC Symbol;Acc:HGNC:24789]	1852	0.42198023200035095	0.08230583	No	
row_14	LRGUK	leucine rich repeats and guanylate kinase domain containing [Source:HGNC Symbol;Acc:HGNC:21964]	1878	0.419131338596344	0.08857441	No	
row_15	USP32	ubiquitin specific peptidase 32 [Source:HGNC Symbol;Acc:HGNC:19143]	1900	0.41676947474479675	0.094944604	No	
row_16	PRPF19	pre-mRNA processing factor 19 [Source:HGNC Symbol;Acc:HGNC:17896]	2140	0.39700210094451904	0.09324134	No	
row_17	YRDC	yrdC N6-threonylcarbamoyltransferase domain containing [Source:HGNC Symbol;Acc:HGNC:28905]	2222	0.38948535919189453	0.09701655	No	
