NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	62	1.03531813621521	0.017264733	No	
row_1	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	65	1.025398850440979	0.036471397	No	
row_2	TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]	107	0.9280051589012146	0.052463576	No	
row_3	ACACA	acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]	302	0.755825400352478	0.059791304	No	
row_4	SRGAP2	SLIT-ROBO Rho GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:19751]	912	0.5584871172904968	0.048687518	No	
row_5	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	1282	0.4910338222980499	0.04482926	No	
row_6	OTUD5	OTU deubiquitinase 5 [Source:HGNC Symbol;Acc:HGNC:25402]	1331	0.4845364987850189	0.052235868	No	
row_7	PHF23	PHD finger protein 23 [Source:HGNC Symbol;Acc:HGNC:28428]	1588	0.4492277503013611	0.051600162	No	
row_8	OAZ2	ornithine decarboxylase antizyme 2 [Source:HGNC Symbol;Acc:HGNC:8096]	1680	0.439680278301239	0.056638107	No	
row_9	EYA1	EYA transcriptional coactivator and phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3519]	1682	0.43949228525161743	0.064865135	No	
row_10	NEUROD2	neuronal differentiation 2 [Source:HGNC Symbol;Acc:HGNC:7763]	1693	0.43779468536376953	0.07274099	No	
row_11	SEMA3A	semaphorin 3A [Source:HGNC Symbol;Acc:HGNC:10723]	1752	0.43188872933387756	0.07880308	No	
row_12	RFX1	regulatory factor X1 [Source:HGNC Symbol;Acc:HGNC:9982]	1764	0.43056437373161316	0.08650752	No	
row_13	CSNK1A1	casein kinase 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2451]	1828	0.42502710223197937	0.092263244	No	
row_14	MSRA	methionine sulfoxide reductase A [Source:HGNC Symbol;Acc:HGNC:7377]	2630	0.35689666867256165	0.07055861	No	
row_15	ROBO1	roundabout guidance receptor 1 [Source:HGNC Symbol;Acc:HGNC:10249]	2632	0.3567955791950226	0.07723093	No	
row_16	NUP62CL	nucleoporin 62 C-terminal like [Source:HGNC Symbol;Acc:HGNC:25960]	2977	0.3327185809612274	0.07128317	No	
row_17	SHARPIN	SHANK associated RH domain interactor [Source:HGNC Symbol;Acc:HGNC:25321]	3035	0.329278826713562	0.07545165	No	
row_18	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]	3362	0.3139123022556305	0.06978885	No	
row_19	DYRK1B	dual specificity tyrosine phosphorylation regulated kinase 1B [Source:HGNC Symbol;Acc:HGNC:3092]	3514	0.30620434880256653	0.07018902	No	
row_20	OLFML3	olfactomedin like 3 [Source:HGNC Symbol;Acc:HGNC:24956]	3567	0.3034045696258545	0.07404843	No	
row_21	SRPX	sushi repeat containing protein X-linked [Source:HGNC Symbol;Acc:HGNC:11309]	3800	0.2917821705341339	0.0713041	No	
row_22	FOXO4	forkhead box O4 [Source:HGNC Symbol;Acc:HGNC:7139]	3883	0.2875862121582031	0.07380192	No	
row_23	GNAS	GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]	4023	0.281167596578598	0.074157074	No	
row_24	WASF2	WASP family member 2 [Source:HGNC Symbol;Acc:HGNC:12733]	4038	0.28064975142478943	0.07893669	No	
row_25	MNT	MAX network transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:7188]	4160	0.2748936712741852	0.07981242	No	
row_26	MTMR3	myotubularin related protein 3 [Source:HGNC Symbol;Acc:HGNC:7451]	4666	0.2535640001296997	0.0666653	No	
row_27	ITGB8	integrin subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:6163]	4739	0.2501594126224518	0.068814225	No	
row_28	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	4786	0.248019739985466	0.07184524	No	
row_29	MAF1	MAF1 homolog, negative regulator of RNA polymerase III [Source:HGNC Symbol;Acc:HGNC:24966]	4833	0.24677471816539764	0.07485285	No	
row_30	NECAP1	NECAP endocytosis associated 1 [Source:HGNC Symbol;Acc:HGNC:24539]	5356	0.22803422808647156	0.06062271	No	
row_31	FSBP	fibrinogen silencer binding protein [Source:HGNC Symbol;Acc:HGNC:43653]	5371	0.22721603512763977	0.06439777	No	
row_32	POU4F3	POU class 4 homeobox 3 [Source:HGNC Symbol;Acc:HGNC:9220]	5432	0.22440612316131592	0.066488214	No	
row_33	GABARAP	GABA type A receptor-associated protein [Source:HGNC Symbol;Acc:HGNC:4067]	5526	0.2205842137336731	0.06733618	No	
row_34	POU4F2	POU class 4 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:9219]	5572	0.2203904092311859	0.06988323	No	
row_35	HJV	hemojuvelin BMP co-receptor [Source:HGNC Symbol;Acc:HGNC:4887]	5677	0.214752197265625	0.07023134	No	
row_36	RBMS1	RNA binding motif single stranded interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:9907]	5731	0.21351847052574158	0.07236542	No	
row_37	SLC25A34	solute carrier family 25 member 34 [Source:HGNC Symbol;Acc:HGNC:27653]	5825	0.2096046507358551	0.073006965	No	
row_38	TCF7L2	transcription factor 7 like 2 [Source:HGNC Symbol;Acc:HGNC:11641]	5942	0.20404203236103058	0.072728045	No	
row_39	SLC45A2	solute carrier family 45 member 2 [Source:HGNC Symbol;Acc:HGNC:16472]	6159	0.19776701927185059	0.06878379	No	
row_40	CALCOCO1	calcium binding and coiled-coil domain 1 [Source:HGNC Symbol;Acc:HGNC:29306]	6221	0.19501815736293793	0.07028627	No	
row_41	RHEBL1	RHEB like 1 [Source:HGNC Symbol;Acc:HGNC:21166]	6442	0.18928617238998413	0.06604068	No	
row_42	RBBP6	RB binding protein 6, ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:9889]	6538	0.18848927319049835	0.06621431	No	
row_43	TNFRSF8	TNF receptor superfamily member 8 [Source:HGNC Symbol;Acc:HGNC:11923]	6558	0.18784113228321075	0.06907175	No	
row_44	ANKRD20A11P	ankyrin repeat domain 20 family member A11, pseudogene [Source:HGNC Symbol;Acc:HGNC:42024]	6806	0.18249593675136566	0.063740715	No	
row_45	LMO3	LIM domain only 3 [Source:HGNC Symbol;Acc:HGNC:6643]	6920	0.179652601480484	0.063109696	No	
row_46	NTRK2	neurotrophic receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:8032]	7597	0.1626163125038147	0.042186763	No	
row_47	PITX2	paired like homeodomain 2 [Source:HGNC Symbol;Acc:HGNC:9005]	7707	0.1625809520483017	0.041376684	No	
row_48	IRS4	insulin receptor substrate 4 [Source:HGNC Symbol;Acc:HGNC:6128]	7813	0.15890872478485107	0.04063946	No	
row_49	PDCD4	programmed cell death 4 [Source:HGNC Symbol;Acc:HGNC:8763]	7895	0.1556730568408966	0.040692773	No	
row_50	SALL2	spalt like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:10526]	7920	0.15465383231639862	0.042748913	No	
row_51	ANKS1B	ankyrin repeat and sterile alpha motif domain containing 1B [Source:HGNC Symbol;Acc:HGNC:24600]	8017	0.15062110126018524	0.042175144	No	
row_52	FBXL20	F-box and leucine rich repeat protein 20 [Source:HGNC Symbol;Acc:HGNC:24679]	8089	0.1478695422410965	0.042436484	No	
row_53	EYA4	EYA transcriptional coactivator and phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3522]	8334	0.13774354755878448	0.036370527	No	
