NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KCNJ2	potassium inwardly rectifying channel subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:6263]	49	1.0740607976913452	0.05141697	No	
row_1	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	491	0.672667920589447	0.06913329	No	
row_2	SLCO1C1	solute carrier organic anion transporter family member 1C1 [Source:HGNC Symbol;Acc:HGNC:13819]	2122	0.3985723853111267	0.0313112	No	
row_3	DRAM2	DNA damage regulated autophagy modulator 2 [Source:HGNC Symbol;Acc:HGNC:28769]	2728	0.35000938177108765	0.027271941	No	
row_4	MALL	mal, T cell differentiation protein like [Source:HGNC Symbol;Acc:HGNC:6818]	2795	0.3443136215209961	0.0419793	No	
row_5	IRAG1	inositol 1,4,5-triphosphate receptor associated 1 [Source:HGNC Symbol;Acc:HGNC:7237]	3598	0.3015527129173279	0.028587567	No	
row_6	CLUAP1	clusterin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:19009]	3698	0.29679688811302185	0.03977869	No	
row_7	GNAO1	G protein subunit alpha o1 [Source:HGNC Symbol;Acc:HGNC:4389]	4018	0.2813555598258972	0.04243903	No	
row_8	TIMM9	translocase of inner mitochondrial membrane 9 [Source:HGNC Symbol;Acc:HGNC:11819]	4368	0.26547104120254517	0.043254267	No	
row_9	ITGB8	integrin subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:6163]	4739	0.2501594126224518	0.042570487	No	
row_10	HOXC6	homeobox C6 [Source:HGNC Symbol;Acc:HGNC:5128]	4809	0.2478172332048416	0.052397087	No	
row_11	SDR9C7	short chain dehydrogenase/reductase family 9C member 7 [Source:HGNC Symbol;Acc:HGNC:29958]	5284	0.22887878119945526	0.04698876	No	
row_12	GK	glycerol kinase [Source:HGNC Symbol;Acc:HGNC:4289]	5644	0.21625930070877075	0.045015864	No	
row_13	FLT1	fms related receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:3763]	6216	0.19523754715919495	0.034518477	No	
row_14	HNF1B	HNF1 homeobox B [Source:HGNC Symbol;Acc:HGNC:11630]	6588	0.18685382604599	0.030666895	No	
row_15	CLUH	clustered mitochondria homolog [Source:HGNC Symbol;Acc:HGNC:29094]	7545	0.1646057367324829	0.0050620283	No	
row_16	RASAL1	RAS protein activator like 1 [Source:HGNC Symbol;Acc:HGNC:9873]	7747	0.1619720160961151	0.0059807966	No	
row_17	INSR	insulin receptor [Source:HGNC Symbol;Acc:HGNC:6091]	7942	0.1539348065853119	0.006748989	No	
row_18	WBP1L	WW domain binding protein 1 like [Source:HGNC Symbol;Acc:HGNC:23510]	9782	0.08687684684991837	-0.053874847	No	
row_19	ARMC8	armadillo repeat containing 8 [Source:HGNC Symbol;Acc:HGNC:24999]	9968	0.08000759780406952	-0.056447	No	
row_20	TNKS1BP1	tankyrase 1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19081]	10039	0.07786630839109421	-0.055065237	No	
row_21	MIR9-1HG	MIR9-1 host gene [Source:HGNC Symbol;Acc:HGNC:30780]	11420	0.033516354858875275	-0.102125265	No	
row_22	TRPS1	transcriptional repressor GATA binding 1 [Source:HGNC Symbol;Acc:HGNC:12340]	12337	0.006494775414466858	-0.13414167	No	
row_23	NFE2	nuclear factor, erythroid 2 [Source:HGNC Symbol;Acc:HGNC:7780]	12374	0.005702184978872538	-0.13513044	No	
row_24	MYL3	myosin light chain 3 [Source:HGNC Symbol;Acc:HGNC:7584]	13269	-0.018653523176908493	-0.16576853	No	
row_25	GPR155	G protein-coupled receptor 155 [Source:HGNC Symbol;Acc:HGNC:22951]	13645	-0.029933705925941467	-0.17752607	No	
row_26	ABTB2	ankyrin repeat and BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23842]	13714	-0.03171851858496666	-0.17835718	No	
row_27	CPNE1	copine 1 [Source:HGNC Symbol;Acc:HGNC:2314]	13833	-0.03504636511206627	-0.1807888	No	
row_28	IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	13853	-0.035664092749357224	-0.17969483	No	
row_29	NOL4L	nucleolar protein 4 like [Source:HGNC Symbol;Acc:HGNC:16106]	14022	-0.04025930166244507	-0.18363366	No	
