NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANKRD22	ankyrin repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:28321]	44	1.0886907577514648	0.013553936	Yes	
row_1	VAT1	vesicle amine transport 1 [Source:HGNC Symbol;Acc:HGNC:16919]	118	0.9184116721153259	0.023712454	Yes	
row_2	REXO2	RNA exonuclease 2 [Source:HGNC Symbol;Acc:HGNC:17851]	184	0.8485405445098877	0.033185087	Yes	
row_3	NDRG3	NDRG family member 3 [Source:HGNC Symbol;Acc:HGNC:14462]	266	0.7837971448898315	0.041189924	Yes	
row_4	SLC31A1	solute carrier family 31 member 1 [Source:HGNC Symbol;Acc:HGNC:11016]	275	0.7778028845787048	0.05170643	Yes	
row_5	SLC11A1	solute carrier family 11 member 1 [Source:HGNC Symbol;Acc:HGNC:10907]	279	0.77278071641922	0.062330928	Yes	
row_6	PSMA3	proteasome 20S subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:9532]	341	0.7384522557258606	0.07041702	Yes	
row_7	IRAK1	interleukin 1 receptor associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:6112]	459	0.6871137022972107	0.075799584	Yes	
row_8	DOC2A	double C2 domain alpha [Source:HGNC Symbol;Acc:HGNC:2985]	502	0.6674859523773193	0.0835756	Yes	
row_9	BCL3	BCL3 transcription coactivator [Source:HGNC Symbol;Acc:HGNC:998]	520	0.6618376970291138	0.09216185	Yes	
row_10	TBL1X	transducin beta like 1 X-linked [Source:HGNC Symbol;Acc:HGNC:11585]	546	0.655364990234375	0.100373834	Yes	
row_11	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B [Source:HGNC Symbol;Acc:HGNC:20154]	640	0.6236587166786194	0.105728365	Yes	
row_12	CST7	cystatin F [Source:HGNC Symbol;Acc:HGNC:2479]	651	0.619637131690979	0.113977425	Yes	
row_13	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	688	0.609169602394104	0.121156916	Yes	
row_14	TBC1D10B	TBC1 domain family member 10B [Source:HGNC Symbol;Acc:HGNC:24510]	698	0.6063932180404663	0.1292576	Yes	
row_15	GAB2	GRB2 associated binding protein 2 [Source:HGNC Symbol;Acc:HGNC:14458]	717	0.6015098094940186	0.13697058	Yes	
row_16	TTLL7	tubulin tyrosine ligase like 7 [Source:HGNC Symbol;Acc:HGNC:26242]	723	0.599011242389679	0.14511095	Yes	
row_17	AKT1S1	AKT1 substrate 1 [Source:HGNC Symbol;Acc:HGNC:28426]	770	0.5896751284599304	0.15166426	Yes	
row_18	RELL2	RELT like 2 [Source:HGNC Symbol;Acc:HGNC:26902]	805	0.5806494951248169	0.1585188	Yes	
row_19	ZFAND5	zinc finger AN1-type containing 5 [Source:HGNC Symbol;Acc:HGNC:13008]	856	0.5713580250740051	0.16467556	Yes	
row_20	CPNE8	copine 8 [Source:HGNC Symbol;Acc:HGNC:23498]	859	0.5702210664749146	0.1725228	Yes	
row_21	IPO11	importin 11 [Source:HGNC Symbol;Acc:HGNC:20628]	902	0.5605097413063049	0.1788133	Yes	
row_22	P2RX6	purinergic receptor P2X 6 [Source:HGNC Symbol;Acc:HGNC:8538]	1038	0.5329675674438477	0.18141548	Yes	
row_23	NECAB3	N-terminal EF-hand calcium binding protein 3 [Source:HGNC Symbol;Acc:HGNC:15851]	1055	0.5288199186325073	0.18819015	Yes	
row_24	PAK5	p21 (RAC1) activated kinase 5 [Source:HGNC Symbol;Acc:HGNC:15916]	1123	0.5158774852752686	0.19297218	Yes	
row_25	PPP2CA	protein phosphatase 2 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9299]	1131	0.5146046280860901	0.19986936	Yes	
row_26	ROM1	retinal outer segment membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:10254]	1139	0.5136645436286926	0.20675349	Yes	
row_27	WDFY3	WD repeat and FYVE domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20751]	1198	0.504115879535675	0.21169214	Yes	
row_28	LYVE1	lymphatic vessel endothelial hyaluronan receptor 1 [Source:HGNC Symbol;Acc:HGNC:14687]	1203	0.5027576684951782	0.21853144	Yes	
row_29	GLRX5	glutaredoxin 5 [Source:HGNC Symbol;Acc:HGNC:20134]	1245	0.49558717012405396	0.22395594	Yes	
row_30	MAP1A	microtubule associated protein 1A [Source:HGNC Symbol;Acc:HGNC:6835]	1288	0.4904246926307678	0.22927321	Yes	
