NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	65	1.025398850440979	0.016637782	No	
row_1	THRA	thyroid hormone receptor alpha [Source:HGNC Symbol;Acc:HGNC:11796]	283	0.7712920904159546	0.023188068	No	
row_2	CREB5	cAMP responsive element binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16844]	418	0.702613890171051	0.03141437	No	
row_3	NRG1	neuregulin 1 [Source:HGNC Symbol;Acc:HGNC:7997]	600	0.6373592615127563	0.03676756	No	
row_4	KREMEN1	kringle containing transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:17550]	897	0.5615597367286682	0.036640186	No	
row_5	BEST3	bestrophin 3 [Source:HGNC Symbol;Acc:HGNC:17105]	1022	0.5364827513694763	0.042152062	No	
row_6	SH3RF1	SH3 domain containing ring finger 1 [Source:HGNC Symbol;Acc:HGNC:17650]	1044	0.5312778353691101	0.0512222	No	
row_7	EGR2	early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]	1116	0.5179456472396851	0.058272038	No	
row_8	IKZF4	IKAROS family zinc finger 4 [Source:HGNC Symbol;Acc:HGNC:13179]	1242	0.49626222252845764	0.063005365	No	
row_9	KCNN3	potassium calcium-activated channel subfamily N member 3 [Source:HGNC Symbol;Acc:HGNC:6292]	1296	0.4898085296154022	0.070174016	No	
row_10	SH3KBP1	SH3 domain containing kinase binding protein 1 [Source:HGNC Symbol;Acc:HGNC:13867]	1655	0.441836953163147	0.06563505	No	
row_11	EYA1	EYA transcriptional coactivator and phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3519]	1682	0.43949228525161743	0.07283207	No	
row_12	IER5L	immediate early response 5 like [Source:HGNC Symbol;Acc:HGNC:23679]	1760	0.43108075857162476	0.078064226	No	
row_13	TMEM242	transmembrane protein 242 [Source:HGNC Symbol;Acc:HGNC:17206]	1885	0.41785362362861633	0.08138446	No	
row_14	PTH1R	parathyroid hormone 1 receptor [Source:HGNC Symbol;Acc:HGNC:9608]	2380	0.3750014901161194	0.070785455	No	
row_15	DLC1	DLC1 Rho GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:2897]	2622	0.3576279580593109	0.06884189	No	
row_16	CACNA1C	calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390]	2692	0.3528391718864441	0.072912395	No	
row_17	TSHZ3	teashirt zinc finger homeobox 3 [Source:HGNC Symbol;Acc:HGNC:30700]	2762	0.34708449244499207	0.07687657	No	
row_18	CDH9	cadherin 9 [Source:HGNC Symbol;Acc:HGNC:1768]	3086	0.3266451954841614	0.07145126	No	
row_19	KCNMA1	potassium calcium-activated channel subfamily M alpha 1 [Source:HGNC Symbol;Acc:HGNC:6284]	3362	0.3139123022556305	0.067493744	No	
row_20	ZNF423	zinc finger protein 423 [Source:HGNC Symbol;Acc:HGNC:16762]	3380	0.3131403625011444	0.07267577	No	
row_21	ELAVL2	ELAV like RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3313]	3421	0.3111760914325714	0.077005476	No	
row_22	DCAF11	DDB1 and CUL4 associated factor 11 [Source:HGNC Symbol;Acc:HGNC:20258]	3523	0.3056788444519043	0.079069346	No	
row_23	CRACDL	CRACD like [Source:HGNC Symbol;Acc:HGNC:33454]	3592	0.302062451839447	0.082237236	No	
row_24	NR4A1	nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]	3673	0.29760104417800903	0.08489695	No	
row_25	RAPH1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1 [Source:HGNC Symbol;Acc:HGNC:14436]	3822	0.29047060012817383	0.085012294	No	
row_26	FOXO4	forkhead box O4 [Source:HGNC Symbol;Acc:HGNC:7139]	3883	0.2875862121582031	0.08819658	No	
row_27	COMMD3	COMM domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23332]	4045	0.2803996205329895	0.087664634	No	
row_28	TRIM24	tripartite motif containing 24 [Source:HGNC Symbol;Acc:HGNC:11812]	4135	0.2765231132507324	0.08961562	No	
row_29	FOXP2	forkhead box P2 [Source:HGNC Symbol;Acc:HGNC:13875]	4181	0.27365079522132874	0.09307465	No	
row_30	C12orf50	chromosome 12 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:26665]	4184	0.27352628111839294	0.09805702	No	
row_31	LINC01597	long intergenic non-protein coding RNA 1597 [Source:HGNC Symbol;Acc:HGNC:51594]	4198	0.272703617811203	0.1026339	No	
row_32	SLC35C2	solute carrier family 35 member C2 [Source:HGNC Symbol;Acc:HGNC:17117]	4401	0.2644042670726776	0.10035177	No	
row_33	ZNF710	zinc finger protein 710 [Source:HGNC Symbol;Acc:HGNC:25352]	4657	0.2540489137172699	0.09599789	No	
row_34	HOXC6	homeobox C6 [Source:HGNC Symbol;Acc:HGNC:5128]	4809	0.2478172332048416	0.095218785	No	
row_35	TCF12	transcription factor 12 [Source:HGNC Symbol;Acc:HGNC:11623]	5030	0.23812314867973328	0.09181248	No	
row_36	ARX	aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060]	5097	0.23634111881256104	0.09383715	No	
row_37	RS1	retinoschisin 1 [Source:HGNC Symbol;Acc:HGNC:10457]	5316	0.22832702100276947	0.09032082	No	
row_38	HOXD3	homeobox D3 [Source:HGNC Symbol;Acc:HGNC:5137]	6342	0.19279219210147858	0.057515744	No	
row_39	SLITRK2	SLIT and NTRK like family member 2 [Source:HGNC Symbol;Acc:HGNC:13449]	6585	0.18685382604599	0.05238169	No	
row_40	LMO3	LIM domain only 3 [Source:HGNC Symbol;Acc:HGNC:6643]	6920	0.179652601480484	0.043850448	No	
row_41	CASC3	CASC3 exon junction complex subunit [Source:HGNC Symbol;Acc:HGNC:17040]	7109	0.1732032746076584	0.04038012	No	
row_42	LMO1	LIM domain only 1 [Source:HGNC Symbol;Acc:HGNC:6641]	7376	0.16913241147994995	0.03406715	No	
row_43	MLF2	myeloid leukemia factor 2 [Source:HGNC Symbol;Acc:HGNC:7126]	7488	0.1671961098909378	0.03321779	No	
row_44	SPTB	spectrin beta, erythrocytic [Source:HGNC Symbol;Acc:HGNC:11274]	8203	0.14276012778282166	0.010522623	No	
row_45	LMNA	lamin A/C [Source:HGNC Symbol;Acc:HGNC:6636]	8471	0.13279873132705688	0.0035029203	No	
row_46	ZFPM2	zinc finger protein, FOG family member 2 [Source:HGNC Symbol;Acc:HGNC:16700]	8514	0.13092228770256042	0.0044315206	No	
row_47	RP1L1	RP1 like 1 [Source:HGNC Symbol;Acc:HGNC:15946]	8774	0.12126683443784714	-0.002517392	No	
row_48	RNF111	ring finger protein 111 [Source:HGNC Symbol;Acc:HGNC:17384]	8786	0.12095478177070618	-6.730629E-4	No	
row_49	LYSMD2	LysM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28571]	9171	0.1076345443725586	-0.012308812	No	
row_50	TLK1	tousled like kinase 1 [Source:HGNC Symbol;Acc:HGNC:11841]	9318	0.1028299555182457	-0.015589115	No	
row_51	CCIN	calicin [Source:HGNC Symbol;Acc:HGNC:1568]	9559	0.09408964216709137	-0.022366002	No	
row_52	PSMA1	proteasome 20S subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9530]	9566	0.09369955956935883	-0.020847807	No	
row_53	SIX3	SIX homeobox 3 [Source:HGNC Symbol;Acc:HGNC:10889]	9586	0.0927840992808342	-0.019807762	No	
row_54	LINC00671	long intergenic non-protein coding RNA 671 [Source:HGNC Symbol;Acc:HGNC:44339]	9724	0.08857694268226624	-0.02303207	No	
row_55	VPS37A	VPS37A subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:24928]	9807	0.0859900712966919	-0.024352774	No	
row_56	ASB4	ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:16009]	9824	0.08551428467035294	-0.023340598	No	
row_57	DIP2B	disco interacting protein 2 homolog B [Source:HGNC Symbol;Acc:HGNC:29284]	9899	0.08245901763439178	-0.024442699	No	
row_58	LRP2	LDL receptor related protein 2 [Source:HGNC Symbol;Acc:HGNC:6694]	9906	0.08227897435426712	-0.023135496	No	
row_59	ELMO3	engulfment and cell motility 3 [Source:HGNC Symbol;Acc:HGNC:17289]	10458	0.06402295082807541	-0.041502096	No	
row_60	PNMA1	PNMA family member 1 [Source:HGNC Symbol;Acc:HGNC:9158]	10459	0.06402162462472916	-0.040319312	No	
row_61	DENND4A	DENN domain containing 4A [Source:HGNC Symbol;Acc:HGNC:24321]	10513	0.06257965415716171	-0.041043602	No	
row_62	PTN	pleiotrophin [Source:HGNC Symbol;Acc:HGNC:9630]	10569	0.060593169182538986	-0.041875552	No	
row_63	STC1	stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373]	10774	0.05343581736087799	-0.048126232	No	
row_64	CALHM5	calcium homeostasis modulator family member 5 [Source:HGNC Symbol;Acc:HGNC:21568]	10815	0.051916033029556274	-0.04858629	No	
row_65	RLIM	ring finger protein, LIM domain interacting [Source:HGNC Symbol;Acc:HGNC:13429]	11136	0.042082205414772034	-0.05916239	No	
row_66	MIR9-1HG	MIR9-1 host gene [Source:HGNC Symbol;Acc:HGNC:30780]	11420	0.033516354858875275	-0.06858399	No	
row_67	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:812]	11493	0.031555477529764175	-0.07055556	No	
row_68	AP3M1	adaptor related protein complex 3 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:569]	11998	0.017144247889518738	-0.08812068	No	
