NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KCNJ2	potassium inwardly rectifying channel subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:6263]	49	1.0740607976913452	0.014414387	No	
row_1	LIMK2	LIM domain kinase 2 [Source:HGNC Symbol;Acc:HGNC:6614]	122	0.9136693477630615	0.025598876	No	
row_2	EGR1	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]	144	0.8861271739006042	0.03818145	No	
row_3	NUDT4	nudix hydrolase 4 [Source:HGNC Symbol;Acc:HGNC:8051]	278	0.7737979888916016	0.045094308	No	
row_4	TNFSF13	TNF superfamily member 13 [Source:HGNC Symbol;Acc:HGNC:11928]	345	0.736099123954773	0.05382106	No	
row_5	ALDOC	aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]	458	0.6872352957725525	0.060178135	No	
row_6	CREB3L1	cAMP responsive element binding protein 3 like 1 [Source:HGNC Symbol;Acc:HGNC:18856]	551	0.6541159152984619	0.06674777	No	
row_7	SRSF2	serine and arginine rich splicing factor 2 [Source:HGNC Symbol;Acc:HGNC:10783]	667	0.6155884861946106	0.07192055	No	
row_8	GSTM5	glutathione S-transferase mu 5 [Source:HGNC Symbol;Acc:HGNC:4637]	914	0.5583510398864746	0.07157708	No	
row_9	GAS6	growth arrest specific 6 [Source:HGNC Symbol;Acc:HGNC:4168]	1016	0.5383813977241516	0.076086044	No	
row_10	MYCL	MYCL proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7555]	1200	0.5034335255622864	0.07715534	No	
row_11	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	1282	0.4910338222980499	0.08166285	No	
row_12	PCYT2	phosphate cytidylyltransferase 2, ethanolamine [Source:HGNC Symbol;Acc:HGNC:8756]	1300	0.48908132314682007	0.08841533	No	
row_13	GRIN2D	glutamate ionotropic receptor NMDA type subunit 2D [Source:HGNC Symbol;Acc:HGNC:4588]	1405	0.47344228625297546	0.09184089	No	
row_14	ZNF410	zinc finger protein 410 [Source:HGNC Symbol;Acc:HGNC:20144]	1457	0.46546080708503723	0.097029835	No	
row_15	C2CD2L	C2CD2 like [Source:HGNC Symbol;Acc:HGNC:29000]	1604	0.44735008478164673	0.09857039	No	
row_16	TLCD4	TLC domain containing 4 [Source:HGNC Symbol;Acc:HGNC:26477]	1650	0.44219687581062317	0.10362263	No	
row_17	CERT1	ceramide transporter 1 [Source:HGNC Symbol;Acc:HGNC:2205]	1691	0.43811002373695374	0.108791076	No	
row_18	NEUROD2	neuronal differentiation 2 [Source:HGNC Symbol;Acc:HGNC:7763]	1693	0.43779468536376953	0.11534071	No	
row_19	CLEC18C	C-type lectin domain family 18 member C [Source:HGNC Symbol;Acc:HGNC:28538]	2071	0.4030856192111969	0.10800649	No	
row_20	CACNA1E	calcium voltage-gated channel subunit alpha1 E [Source:HGNC Symbol;Acc:HGNC:1392]	2233	0.3886723220348358	0.10813139	No	
row_21	OLIG1	oligodendrocyte transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:16983]	2429	0.37127092480659485	0.10678629	No	
row_22	CAPN6	calpain 6 [Source:HGNC Symbol;Acc:HGNC:1483]	2462	0.3694482445716858	0.11120624	No	
row_23	MAP1LC3A	microtubule associated protein 1 light chain 3 alpha [Source:HGNC Symbol;Acc:HGNC:6838]	2599	0.35968098044395447	0.111783475	No	
