NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPR162	G protein-coupled receptor 162 [Source:HGNC Symbol;Acc:HGNC:16693]	39	1.1034877300262451	0.033489235	Yes	
row_1	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	65	1.025398850440979	0.065006	Yes	
row_2	TMED10	transmembrane p24 trafficking protein 10 [Source:HGNC Symbol;Acc:HGNC:16998]	155	0.8770589232444763	0.08957266	Yes	
row_3	POLL	DNA polymerase lambda [Source:HGNC Symbol;Acc:HGNC:9184]	228	0.8101987838745117	0.11262773	Yes	
row_4	ADISSP	adipose secreted signaling protein [Source:HGNC Symbol;Acc:HGNC:15873]	274	0.7785935401916504	0.13563877	Yes	
row_5	E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	348	0.7343818545341492	0.15626281	Yes	
row_6	KLHDC8B	kelch domain containing 8B [Source:HGNC Symbol;Acc:HGNC:28557]	360	0.7300362586975098	0.17894167	Yes	
row_7	ORAI3	ORAI calcium release-activated calcium modulator 3 [Source:HGNC Symbol;Acc:HGNC:28185]	457	0.687823474407196	0.19728135	Yes	
row_8	KLHL18	kelch like family member 18 [Source:HGNC Symbol;Acc:HGNC:29120]	525	0.6607199311256409	0.21578994	Yes	
row_9	GNB2	G protein subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:4398]	617	0.6318874955177307	0.23253894	Yes	
row_10	SOX12	SRY-box transcription factor 12 [Source:HGNC Symbol;Acc:HGNC:11198]	1321	0.4858051538467407	0.22303355	Yes	
row_11	GRIN2D	glutamate ionotropic receptor NMDA type subunit 2D [Source:HGNC Symbol;Acc:HGNC:4588]	1405	0.47344228625297546	0.23505881	Yes	
row_12	FNDC9	fibronectin type III domain containing 9 [Source:HGNC Symbol;Acc:HGNC:33547]	1419	0.47098371386528015	0.24948138	Yes	
row_13	PPP1R21	protein phosphatase 1 regulatory subunit 21 [Source:HGNC Symbol;Acc:HGNC:30595]	1420	0.47093716263771057	0.26436213	Yes	
row_14	RRAGD	Ras related GTP binding D [Source:HGNC Symbol;Acc:HGNC:19903]	1636	0.44333311915397644	0.27076888	Yes	
row_15	IER5L	immediate early response 5 like [Source:HGNC Symbol;Acc:HGNC:23679]	1760	0.43108075857162476	0.28004134	Yes	
row_16	C10orf67	chromosome 10 open reading frame 67 [Source:HGNC Symbol;Acc:HGNC:28716]	1872	0.41980937123298645	0.2893819	Yes	
row_17	MAPRE3	microtubule associated protein RP/EB family member 3 [Source:HGNC Symbol;Acc:HGNC:6892]	1889	0.4175736904144287	0.30201074	Yes	
row_18	FXYD7	FXYD domain containing ion transport regulator 7 [Source:HGNC Symbol;Acc:HGNC:4034]	1930	0.41465580463409424	0.31369883	Yes	
row_19	FXYD6	FXYD domain containing ion transport regulator 6 [Source:HGNC Symbol;Acc:HGNC:4030]	2246	0.38786619901657104	0.31481722	Yes	
row_20	RIN1	Ras and Rab interactor 1 [Source:HGNC Symbol;Acc:HGNC:18749]	2349	0.37791550159454346	0.32315224	Yes	
row_21	MINK1	misshapen like kinase 1 [Source:HGNC Symbol;Acc:HGNC:17565]	2473	0.36792486906051636	0.33042908	Yes	
row_22	KATNAL1	katanin catalytic subunit A1 like 1 [Source:HGNC Symbol;Acc:HGNC:28361]	2699	0.3523828387260437	0.33360842	Yes	
row_23	CCDC181	coiled-coil domain containing 181 [Source:HGNC Symbol;Acc:HGNC:28051]	3707	0.2958367168903351	0.3073519	No	
row_24	CRYGD	crystallin gamma D [Source:HGNC Symbol;Acc:HGNC:2411]	3787	0.2923009395599365	0.31379485	No	
row_25	CYRIA	CYFIP related Rac1 interactor A [Source:HGNC Symbol;Acc:HGNC:25373]	3886	0.287387877702713	0.3194108	No	
row_26	FXYD1	FXYD domain containing ion transport regulator 1 [Source:HGNC Symbol;Acc:HGNC:4025]	4101	0.2776276171207428	0.32061693	No	
