NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	65	1.025398850440979	0.016629415	Yes	
row_1	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	73	1.0053092241287231	0.03494582	Yes	
row_2	EGR1	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]	144	0.8861271739006042	0.048825927	Yes	
row_3	EMILIN2	elastin microfibril interfacer 2 [Source:HGNC Symbol;Acc:HGNC:19881]	219	0.8176324963569641	0.061299235	Yes	
row_4	EGR3	early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]	240	0.8002263307571411	0.07536716	Yes	
row_5	PADI2	peptidyl arginine deiminase 2 [Source:HGNC Symbol;Acc:HGNC:18341]	257	0.7907634377479553	0.08940226	Yes	
row_6	TLE3	TLE family member 3, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11839]	325	0.7483460307121277	0.10084445	Yes	
row_7	DUSP6	dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072]	425	0.6990312933921814	0.11024052	Yes	
row_8	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3797]	474	0.6797211170196533	0.12108959	Yes	
row_9	TBL1X	transducin beta like 1 X-linked [Source:HGNC Symbol;Acc:HGNC:11585]	546	0.655364990234375	0.1306728	Yes	
row_10	MAP3K20	mitogen-activated protein kinase kinase kinase 20 [Source:HGNC Symbol;Acc:HGNC:17797]	582	0.6428885459899902	0.14130297	Yes	
row_11	GAB2	GRB2 associated binding protein 2 [Source:HGNC Symbol;Acc:HGNC:14458]	717	0.6015098094940186	0.14765625	Yes	
row_12	MMP14	matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]	874	0.5669256448745728	0.15259026	Yes	
row_13	MAPK14	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]	961	0.5471157431602478	0.15964222	Yes	
row_14	SLC35A2	solute carrier family 35 member A2 [Source:HGNC Symbol;Acc:HGNC:11022]	1003	0.5396714806556702	0.16815342	Yes	
row_15	XK	X-linked Kx blood group antigen, Kell and VPS13A binding protein [Source:HGNC Symbol;Acc:HGNC:12811]	1010	0.5389662384986877	0.17789347	Yes	
row_16	BEST3	bestrophin 3 [Source:HGNC Symbol;Acc:HGNC:17105]	1022	0.5364827513694763	0.18741025	Yes	
row_17	CKM	creatine kinase, M-type [Source:HGNC Symbol;Acc:HGNC:1994]	1026	0.53522789478302	0.1971877	Yes	
row_18	MCL1	MCL1 apoptosis regulator, BCL2 family member [Source:HGNC Symbol;Acc:HGNC:6943]	1054	0.5295168161392212	0.20600814	Yes	
row_19	EGR2	early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]	1116	0.5179456472396851	0.21340847	Yes	
row_20	HOXA5	homeobox A5 [Source:HGNC Symbol;Acc:HGNC:5106]	1137	0.5139384269714355	0.22218959	Yes	
row_21	NPR3	natriuretic peptide receptor 3 [Source:HGNC Symbol;Acc:HGNC:7945]	1161	0.5103288292884827	0.2307976	Yes	
row_22	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	1282	0.4910338222980499	0.23560752	Yes	
row_23	IL17B	interleukin 17B [Source:HGNC Symbol;Acc:HGNC:5982]	1286	0.4907780885696411	0.24456413	Yes	
row_24	MAP1A	microtubule associated protein 1A [Source:HGNC Symbol;Acc:HGNC:6835]	1288	0.4904246926307678	0.2535852	Yes	
row_25	DSTN	destrin, actin depolymerizing factor [Source:HGNC Symbol;Acc:HGNC:15750]	1298	0.489422470331192	0.2623039	Yes	
row_26	KCNMB1	potassium calcium-activated channel subfamily M regulatory beta subunit 1 [Source:HGNC Symbol;Acc:HGNC:6285]	1329	0.4847562909126282	0.27019128	Yes	
row_27	STX10	syntaxin 10 [Source:HGNC Symbol;Acc:HGNC:11428]	1475	0.46259477734565735	0.27358896	Yes	
row_28	TLCD4	TLC domain containing 4 [Source:HGNC Symbol;Acc:HGNC:26477]	1650	0.44219687581062317	0.27558094	Yes	
row_29	DUSP5	dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071]	1901	0.41669610142707825	0.2744054	Yes	
row_30	AKAP12	A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]	2037	0.40595823526382446	0.27711198	Yes	
row_31	IER2	immediate early response 2 [Source:HGNC Symbol;Acc:HGNC:28871]	2077	0.4023717939853668	0.28315866	Yes	
row_32	PRUNE2	prune homolog 2 with BCH domain [Source:HGNC Symbol;Acc:HGNC:25209]	2146	0.39645904302597046	0.28806716	Yes	
