NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_MIRNA_CATABOLIC_PROCESS	GOBP_MIRNA_CATABOLIC_PROCESS	Details ...	18	-0.5997197	-1.889213	0.00407332	0.9820612	0.534	4249	tags=44%, list=15%, signal=52%	
GOBP_REGULATION_OF_HISTONE_ACETYLATION	GOBP_REGULATION_OF_HISTONE_ACETYLATION	Details ...	18	-0.59833133	-1.8273768	0.012295082	0.9704927	0.73	4564	tags=44%, list=16%, signal=53%	
GOBP_REGULATION_OF_PEPTIDYL_LYSINE_ACETYLATION	GOBP_REGULATION_OF_PEPTIDYL_LYSINE_ACETYLATION	Details ...	28	-0.47037685	-1.7091666	0.019723866	1.0	0.948	4564	tags=36%, list=16%, signal=43%	
GOBP_HOMOLOGOUS_CHROMOSOME_PAIRING_AT_MEIOSIS	GOBP_HOMOLOGOUS_CHROMOSOME_PAIRING_AT_MEIOSIS	Details ...	51	-0.4235918	-1.7028875	0.0020283975	1.0	0.957	3470	tags=27%, list=12%, signal=31%	
GOBP_MITOTIC_RECOMBINATION	GOBP_MITOTIC_RECOMBINATION	Details ...	24	-0.49313506	-1.6516429	0.043568466	1.0	0.99	3685	tags=33%, list=13%, signal=38%	
GOBP_CHROMOSOME_ORGANIZATION_INVOLVED_IN_MEIOTIC_CELL_CYCLE	GOBP_CHROMOSOME_ORGANIZATION_INVOLVED_IN_MEIOTIC_CELL_CYCLE	Details ...	63	-0.40464637	-1.6296237	0.006134969	1.0	0.992	3949	tags=29%, list=14%, signal=33%	
GOBP_INTERNAL_PROTEIN_AMINO_ACID_ACETYLATION	GOBP_INTERNAL_PROTEIN_AMINO_ACID_ACETYLATION	Details ...	58	-0.3732711	-1.6238735	0.024640657	1.0	0.993	4564	tags=28%, list=16%, signal=33%	
GOBP_PEPTIDYL_LYSINE_ACETYLATION	GOBP_PEPTIDYL_LYSINE_ACETYLATION	Details ...	68	-0.35187563	-1.6111557	0.013972056	1.0	0.996	4564	tags=26%, list=16%, signal=31%	
GOBP_DORSAL_VENTRAL_NEURAL_TUBE_PATTERNING	GOBP_DORSAL_VENTRAL_NEURAL_TUBE_PATTERNING	Details ...	22	-0.47196516	-1.6076201	0.016161617	1.0	0.996	4728	tags=41%, list=17%, signal=49%	
GOBP_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS	GOBP_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS	Details ...	24	-0.44511408	-1.6008474	0.013207547	1.0	0.997	5961	tags=42%, list=21%, signal=53%	
GOBP_RESPONSE_TO_POTASSIUM_ION	GOBP_RESPONSE_TO_POTASSIUM_ION	Details ...	16	-0.5035377	-1.5784414	0.015594542	1.0	0.998	2978	tags=25%, list=10%, signal=28%	
GOBP_NCRNA_CATABOLIC_PROCESS	GOBP_NCRNA_CATABOLIC_PROCESS	Details ...	54	-0.39715666	-1.5763779	0.037924152	1.0	0.998	7260	tags=41%, list=26%, signal=55%	
GOBP_GLUTAMINE_METABOLIC_PROCESS	GOBP_GLUTAMINE_METABOLIC_PROCESS	Details ...	27	-0.42620412	-1.5597061	0.016359918	1.0	0.999	6488	tags=37%, list=23%, signal=48%	
GOBP_HISTONE_MRNA_CATABOLIC_PROCESS	GOBP_HISTONE_MRNA_CATABOLIC_PROCESS	Details ...	15	-0.49272767	-1.5549178	0.040816326	1.0	0.999	8402	tags=53%, list=30%, signal=76%	
