NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOCC_TERTIARY_GRANULE_MEMBRANE	GOCC_TERTIARY_GRANULE_MEMBRANE	Details ...	72	0.6679997	2.170979	0.0019646366	0.008393836	0.004	3861	tags=51%, list=14%, signal=59%	
GOCC_LIPID_DROPLET	GOCC_LIPID_DROPLET	Details ...	100	0.5160547	2.168903	0.0	0.004196918	0.004	3033	tags=31%, list=11%, signal=35%	
GOCC_LYSOSOMAL_LUMEN	GOCC_LYSOSOMAL_LUMEN	Details ...	90	0.61716926	2.1611235	0.0	0.0030908748	0.005	3795	tags=42%, list=13%, signal=49%	
GOCC_SPECIFIC_GRANULE	GOCC_SPECIFIC_GRANULE	Details ...	158	0.60392857	2.1553564	0.0019157088	0.0025639187	0.006	3679	tags=43%, list=13%, signal=49%	
GOCC_VACUOLAR_LUMEN	GOCC_VACUOLAR_LUMEN	Details ...	163	0.5757765	2.147945	0.0019723866	0.002516426	0.007	4704	tags=43%, list=17%, signal=51%	
GOCC_TERTIARY_GRANULE	GOCC_TERTIARY_GRANULE	Details ...	161	0.65000236	2.1448512	0.0019762847	0.0024100402	0.007	3608	tags=49%, list=13%, signal=56%	
GOCC_TERTIARY_GRANULE_LUMEN	GOCC_TERTIARY_GRANULE_LUMEN	Details ...	54	0.77575976	2.1017983	0.0	0.00446943	0.015	3073	tags=65%, list=11%, signal=73%	
GOCC_CANONICAL_INFLAMMASOME_COMPLEX	GOCC_CANONICAL_INFLAMMASOME_COMPLEX	Details ...	16	0.78128135	2.0780993	0.0	0.0048441114	0.02	1874	tags=56%, list=7%, signal=60%	
GOCC_FICOLIN_1_RICH_GRANULE	GOCC_FICOLIN_1_RICH_GRANULE	Details ...	182	0.64470863	2.0539641	0.001984127	0.00543499	0.024	4045	tags=48%, list=14%, signal=55%	
GOCC_VESICLE_LUMEN	GOCC_VESICLE_LUMEN	Details ...	307	0.57481515	2.0453537	0.001984127	0.0058787144	0.028	4704	tags=43%, list=17%, signal=51%	
GOCC_SECRETORY_GRANULE_MEMBRANE	GOCC_SECRETORY_GRANULE_MEMBRANE	Details ...	303	0.5221051	2.038577	0.001968504	0.005432458	0.029	3608	tags=36%, list=13%, signal=41%	
GOCC_AZUROPHIL_GRANULE	GOCC_AZUROPHIL_GRANULE	Details ...	152	0.61212325	2.030313	0.0020242915	0.0054816147	0.032	5765	tags=55%, list=20%, signal=69%	
GOCC_SPECIFIC_GRANULE_MEMBRANE	GOCC_SPECIFIC_GRANULE_MEMBRANE	Details ...	90	0.58368826	2.0277429	0.0058027077	0.00519309	0.033	3544	tags=41%, list=12%, signal=47%	
