NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_ASTROCYTE_ACTIVATION	GOBP_ASTROCYTE_ACTIVATION	Details ...	24	0.68781227	2.4171917	0.0	0.0	0.0	381	tags=29%, list=1%, signal=30%	
GOBP_POSITIVE_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	GOBP_POSITIVE_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	Details ...	63	0.5843808	2.2642577	0.0	0.0029660342	0.005	3717	tags=41%, list=13%, signal=47%	
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	Details ...	81	0.57640827	2.2222877	0.0	0.005307888	0.008	3014	tags=37%, list=11%, signal=41%	
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	Details ...	117	0.54776835	2.2148407	0.0	0.0058327275	0.012	2648	tags=34%, list=9%, signal=38%	
GOBP_INTERLEUKIN_1_PRODUCTION	GOBP_INTERLEUKIN_1_PRODUCTION	Details ...	115	0.57371914	2.204531	0.0	0.0062124073	0.017	3618	tags=39%, list=13%, signal=45%	
GOBP_POSITIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	GOBP_POSITIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	Details ...	50	0.56773126	2.2014515	0.0	0.0053845737	0.018	4528	tags=40%, list=16%, signal=48%	
GOBP_ASTROCYTE_DEVELOPMENT	GOBP_ASTROCYTE_DEVELOPMENT	Details ...	41	0.6076928	2.1938062	0.0	0.005523763	0.021	1244	tags=29%, list=4%, signal=31%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	Details ...	35	0.66713804	2.173353	0.0	0.008027515	0.034	3161	tags=46%, list=11%, signal=51%	
GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE	GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE	Details ...	83	0.567671	2.1651893	0.0	0.008756796	0.036	2664	tags=31%, list=9%, signal=34%	
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	Details ...	331	0.49065194	2.1620922	0.0	0.0082077375	0.037	4013	tags=35%, list=14%, signal=40%	
