NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOMF_TELOMERIC_DNA_BINDING	GOMF_TELOMERIC_DNA_BINDING	Details ...	39	-0.41549194	-1.6920164	0.00996016	1.0	0.799	3034	tags=23%, list=11%, signal=26%	
GOMF_DNA_REPLICATION_ORIGIN_BINDING	GOMF_DNA_REPLICATION_ORIGIN_BINDING	Details ...	16	-0.52255887	-1.6360077	0.026871402	1.0	0.901	3767	tags=38%, list=13%, signal=43%	
GOMF_ATP_DEPENDENT_CHROMATIN_REMODELER_ACTIVITY	GOMF_ATP_DEPENDENT_CHROMATIN_REMODELER_ACTIVITY	Details ...	36	-0.4718079	-1.6353841	0.03787879	1.0	0.903	4874	tags=36%, list=17%, signal=44%	
GOMF_DNA_SECONDARY_STRUCTURE_BINDING	GOMF_DNA_SECONDARY_STRUCTURE_BINDING	Details ...	38	-0.43978205	-1.6062242	0.029821074	1.0	0.94	4466	tags=32%, list=16%, signal=37%	
GOMF_FOUR_WAY_JUNCTION_DNA_BINDING	GOMF_FOUR_WAY_JUNCTION_DNA_BINDING	Details ...	18	-0.48206833	-1.5584017	0.03984064	1.0	0.986	4466	tags=28%, list=16%, signal=33%	
GOMF_OXIDOREDUCTION_DRIVEN_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_OXIDOREDUCTION_DRIVEN_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	Details ...	67	-0.45482266	-1.5399953	0.06042885	1.0	0.99	1135	tags=18%, list=4%, signal=19%	
GOMF_DAMAGED_DNA_BINDING	GOMF_DAMAGED_DNA_BINDING	Details ...	71	-0.37451926	-1.5334548	0.058	1.0	0.991	4946	tags=30%, list=17%, signal=36%	
GOMF_PROTEIN_KINASE_C_ACTIVITY	GOMF_PROTEIN_KINASE_C_ACTIVITY	Details ...	16	-0.49200606	-1.5126265	0.041198503	1.0	0.995	4594	tags=44%, list=16%, signal=52%	
GOMF_ATP_DEPENDENT_ACTIVITY_ACTING_ON_DNA	GOMF_ATP_DEPENDENT_ACTIVITY_ACTING_ON_DNA	Details ...	121	-0.34178272	-1.4889617	0.06779661	1.0	0.998	4887	tags=26%, list=17%, signal=31%	
GOMF_3_5_DNA_HELICASE_ACTIVITY	GOMF_3_5_DNA_HELICASE_ACTIVITY	Details ...	15	-0.5051542	-1.4620109	0.11264822	1.0	0.999	4887	tags=40%, list=17%, signal=48%	
GOMF_NAD_P_H_DEHYDROGENASE_QUINONE_ACTIVITY	GOMF_NAD_P_H_DEHYDROGENASE_QUINONE_ACTIVITY	Details ...	45	-0.44226387	-1.4304621	0.09533074	1.0	1.0	708	tags=16%, list=2%, signal=16%	
