NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOMF_MITOGEN_ACTIVATED_PROTEIN_KINASE_BINDING	GOMF_MITOGEN_ACTIVATED_PROTEIN_KINASE_BINDING	Details ...	29	0.5982322	2.2701728	0.0	0.0012717149	0.001	3203	tags=31%, list=11%, signal=35%	
GOMF_MONOSACCHARIDE_BINDING	GOMF_MONOSACCHARIDE_BINDING	Details ...	73	0.65291685	2.2504005	0.0	6.3585746E-4	0.001	3102	tags=44%, list=11%, signal=49%	
GOMF_PATTERN_RECOGNITION_RECEPTOR_ACTIVITY	GOMF_PATTERN_RECOGNITION_RECEPTOR_ACTIVITY	Details ...	34	0.75398207	2.1186266	0.0	0.00980691	0.021	1488	tags=44%, list=5%, signal=47%	
GOMF_CARBOHYDRATE_BINDING	GOMF_CARBOHYDRATE_BINDING	Details ...	251	0.4647089	2.0211535	0.0	0.027879795	0.065	3837	tags=33%, list=14%, signal=37%	
GOMF_MANNOSE_BINDING	GOMF_MANNOSE_BINDING	Details ...	23	0.6941714	2.0193608	0.0018867925	0.0226845	0.066	2533	tags=48%, list=9%, signal=52%	
GOMF_CARBOHYDRATE_KINASE_ACTIVITY	GOMF_CARBOHYDRATE_KINASE_ACTIVITY	Details ...	21	0.6760758	1.982001	0.0019646366	0.031734895	0.107	6106	tags=57%, list=22%, signal=73%	
GOMF_IMMUNOGLOBULIN_BINDING	GOMF_IMMUNOGLOBULIN_BINDING	Details ...	22	0.73221135	1.9490803	0.001953125	0.041961215	0.156	2483	tags=55%, list=9%, signal=60%	
GOMF_LYSOPHOSPHOLIPID_ACYLTRANSFERASE_ACTIVITY	GOMF_LYSOPHOSPHOLIPID_ACYLTRANSFERASE_ACTIVITY	Details ...	22	0.7119531	1.9382857	0.0	0.043423235	0.182	3057	tags=55%, list=11%, signal=61%	
GOMF_SULFURIC_ESTER_HYDROLASE_ACTIVITY	GOMF_SULFURIC_ESTER_HYDROLASE_ACTIVITY	Details ...	16	0.6132906	1.9124252	0.0018796993	0.057545327	0.248	2986	tags=38%, list=11%, signal=42%	
GOMF_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY	GOMF_ACYLGLYCEROL_O_ACYLTRANSFERASE_ACTIVITY	Details ...	28	0.62999934	1.8989826	0.0	0.06066827	0.278	3277	tags=50%, list=12%, signal=56%	
GOMF_CHEMOATTRACTANT_ACTIVITY	GOMF_CHEMOATTRACTANT_ACTIVITY	Details ...	26	0.6148926	1.8935286	0.003773585	0.0589674	0.292	5716	tags=50%, list=20%, signal=63%	
GOMF_AMYLOID_BETA_BINDING	GOMF_AMYLOID_BETA_BINDING	Details ...	85	0.45382825	1.8882254	0.0019455253	0.05772409	0.305	2820	tags=22%, list=10%, signal=25%	
GOMF_CARGO_RECEPTOR_ACTIVITY	GOMF_CARGO_RECEPTOR_ACTIVITY	Details ...	64	0.47414187	1.8867127	0.0018115942	0.0540167	0.312	1569	tags=23%, list=6%, signal=25%	
GOMF_LIPID_TRANSFER_ACTIVITY	GOMF_LIPID_TRANSFER_ACTIVITY	Details ...	49	0.49677417	1.8784015	0.0	0.05503002	0.324	4412	tags=39%, list=16%, signal=46%	
GOMF_PEPTIDASE_REGULATOR_ACTIVITY	GOMF_PEPTIDASE_REGULATOR_ACTIVITY	Details ...	179	0.44398934	1.8680986	0.0	0.05724425	0.352	5434	tags=42%, list=19%, signal=51%	
GOMF_PROTEASE_BINDING	GOMF_PROTEASE_BINDING	Details ...	133	0.4384252	1.8593217	0.0019011407	0.0585585	0.369	4851	tags=37%, list=17%, signal=44%	
GOMF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_BINDING	GOMF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_BINDING	Details ...	17	0.6139568	1.8460785	0.0039138943	0.065101385	0.409	1569	tags=29%, list=6%, signal=31%	
GOMF_PEPTIDASE_ACTIVATOR_ACTIVITY	GOMF_PEPTIDASE_ACTIVATOR_ACTIVITY	Details ...	51	0.5584317	1.8458452	0.0	0.06156725	0.409	5434	tags=51%, list=19%, signal=63%	
GOMF_NADPLUS_BINDING	GOMF_NADPLUS_BINDING	Details ...	18	0.60125047	1.841862	0.004032258	0.060371913	0.415	2901	tags=33%, list=10%, signal=37%	
GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY	GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY	Details ...	137	0.44038886	1.8349425	0.0	0.061347947	0.437	5130	tags=40%, list=18%, signal=49%	
