NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HP_VENOUS_THROMBOSIS	HP_VENOUS_THROMBOSIS	Details ...	77	0.52515846	2.2403345	0.0	0.01599918	0.007	2696	tags=29%, list=9%, signal=31%	
HP_PAPULE	HP_PAPULE	Details ...	93	0.5295792	2.2119927	0.0	0.017540732	0.013	2664	tags=29%, list=9%, signal=32%	
HP_PULMONARY_EMBOLISM	HP_PULMONARY_EMBOLISM	Details ...	41	0.6943036	2.189279	0.0	0.015404936	0.016	2322	tags=44%, list=8%, signal=48%	
HP_ABNORMAL_ENDOCARDIUM_MORPHOLOGY	HP_ABNORMAL_ENDOCARDIUM_MORPHOLOGY	Details ...	61	0.53589475	2.11986	0.0	0.030348333	0.054	5289	tags=39%, list=19%, signal=48%	
HP_GASTROINTESTINAL_HEMORRHAGE	HP_GASTROINTESTINAL_HEMORRHAGE	Details ...	152	0.44703165	2.050273	0.0	0.061123498	0.125	4387	tags=32%, list=15%, signal=37%	
HP_HEMATOCHEZIA	HP_HEMATOCHEZIA	Details ...	20	0.60732925	2.047847	0.0	0.052618142	0.129	2487	tags=35%, list=9%, signal=38%	
HP_RECURRENT_STAPHYLOCOCCAL_INFECTIONS	HP_RECURRENT_STAPHYLOCOCCAL_INFECTIONS	Details ...	33	0.62222785	2.0380259	0.001984127	0.050570577	0.142	2687	tags=36%, list=9%, signal=40%	
HP_HEMOPTYSIS	HP_HEMOPTYSIS	Details ...	83	0.51184034	2.0288103	0.0	0.049262922	0.159	2664	tags=25%, list=9%, signal=28%	
HP_ABNORMAL_URINE_CARBOHYDRATE_LEVEL	HP_ABNORMAL_URINE_CARBOHYDRATE_LEVEL	Details ...	37	0.54429525	2.0153952	0.0037664783	0.051702987	0.186	2570	tags=32%, list=9%, signal=36%	
HP_ARTERIAL_THROMBOSIS	HP_ARTERIAL_THROMBOSIS	Details ...	33	0.6322859	2.0145042	0.0019723866	0.04722614	0.189	2723	tags=39%, list=10%, signal=44%	
HP_ENDOCARDITIS	HP_ENDOCARDITIS	Details ...	17	0.7062668	1.9893742	0.005769231	0.059547056	0.242	2322	tags=41%, list=8%, signal=45%	
HP_ABSCESS	HP_ABSCESS	Details ...	65	0.51529497	1.9795879	0.0019607844	0.062127404	0.267	6557	tags=51%, list=23%, signal=66%	
HP_RECURRENT_ASPERGILLUS_INFECTIONS	HP_RECURRENT_ASPERGILLUS_INFECTIONS	Details ...	23	0.7031992	1.9767741	0.0020283975	0.05902098	0.269	2877	tags=43%, list=10%, signal=48%	
HP_LOSS_OF_SPEECH	HP_LOSS_OF_SPEECH	Details ...	44	0.5521676	1.9755913	0.002	0.055580802	0.271	1742	tags=30%, list=6%, signal=31%	
HP_CUTANEOUS_ABSCESS	HP_CUTANEOUS_ABSCESS	Details ...	26	0.56217915	1.9664748	0.0019493178	0.057360888	0.288	6398	tags=58%, list=23%, signal=74%	
HP_ABNORMALITY_OF_BODY_MASS_INDEX	HP_ABNORMALITY_OF_BODY_MASS_INDEX	Details ...	27	0.5910622	1.9545382	0.0018761726	0.061975405	0.321	2101	tags=30%, list=7%, signal=32%	
HP_NONTUBERCULOUS_MYCOBACTERIAL_PULMONARY_INFECTION	HP_NONTUBERCULOUS_MYCOBACTERIAL_PULMONARY_INFECTION	Details ...	18	0.6618431	1.9512978	0.002016129	0.060086932	0.327	1821	tags=33%, list=6%, signal=36%	
